"","site","year","plot","plotCTI","plotCPI"
"1","Angelo",2002,"6",14.4639744423384,682.861104214558
"2","Angelo",2002,"17",14.4213770687462,616.535230886565
"3","Angelo",2002,"24",14.3950431067082,625.528334927506
"4","Angelo",2002,"28",14.611413903825,648.255545736699
"5","Angelo",2002,"33",13.7246075719964,674.599258585138
"6","Angelo",2003,"6",14.3906800998545,706.403876734571
"7","Angelo",2003,"17",13.9951934075654,701.847057773096
"8","Angelo",2003,"24",14.5564361456969,650.002171652215
"9","Angelo",2003,"28",14.4557441268368,703.240281538775
"10","Angelo",2003,"33",13.9928714296379,710.968380900138
"11","Angelo",2004,"6",14.2441615214523,711.021163831017
"12","Angelo",2004,"17",13.8755534259596,696.947794611245
"13","Angelo",2004,"24",14.505674848219,639.465274204591
"14","Angelo",2004,"28",14.4430163699427,709.888949719907
"15","Angelo",2004,"33",14.0853083287936,715.011509398903
"16","Angelo",2005,"6",14.3936470609052,719.351475810818
"17","Angelo",2005,"17",14.6729998065394,625.663765915188
"18","Angelo",2005,"24",14.4770762431544,672.148331529509
"19","Angelo",2005,"28",14.6256880064636,662.788749738966
"20","Angelo",2005,"33",14.3373534692485,679.879061758092
"21","Angelo",2006,"6",14.0863031519301,713.618926419165
"22","Angelo",2006,"17",14.9670489524599,575.058922437213
"23","Angelo",2006,"24",14.8898975975399,591.942794106383
"24","Angelo",2006,"28",14.6471282581026,662.711352344809
"25","Angelo",2006,"33",14.1582292739878,671.603138830013
"26","Angelo",2007,"6",14.1754317306114,711.905483425265
"27","Angelo",2007,"17",14.2144657463592,672.823247963939
"28","Angelo",2007,"24",14.4506467886747,663.927422839601
"29","Angelo",2007,"28",14.5046702681264,663.37748003945
"30","Angelo",2007,"33",14.6395136086921,631.268412310857
"31","Angelo",2008,"6",13.9842490854752,715.756676120776
"32","Angelo",2008,"17",14.4383417580974,645.64075566727
"33","Angelo",2008,"24",14.438698629792,641.959838136525
"34","Angelo",2008,"28",14.557612165348,659.32576678061
"35","Angelo",2008,"33",14.4319909173194,639.85396193028
"36","Angelo",2009,"6",14.2566475885531,686.579551709214
"37","Angelo",2009,"17",14.647387107888,617.989409802582
"38","Angelo",2009,"24",14.7368002844226,603.053885006773
"39","Angelo",2009,"28",14.6408456010953,651.064551439365
"40","Angelo",2009,"33",14.6113577393874,622.655595885681
"41","Angelo",2010,"6",14.552600490215,645.778898271926
"42","Angelo",2010,"17",14.6404512429349,615.532968360736
"43","Angelo",2010,"24",14.6787411769338,603.084915139682
"44","Angelo",2010,"28",14.6189770447423,633.917252099241
"45","Angelo",2010,"33",14.7795029273817,604.691083307651
"46","Angelo",2011,"6",14.650032473588,639.03659219554
"47","Angelo",2011,"17",14.7552405907628,620.686964711784
"48","Angelo",2011,"24",14.7914843370996,608.979150828247
"49","Angelo",2011,"28",14.6311526264031,648.677580088486
"50","Angelo",2011,"33",14.629423577087,618.00686147953
"51","Angelo",2012,"6",14.6195750734286,612.921373496977
"52","Angelo",2012,"17",14.9152046007442,583.567247517442
"53","Angelo",2012,"24",14.7728520552807,601.514459587438
"54","Angelo",2012,"28",14.8578963404515,600.29486109755
"55","Angelo",2012,"33",14.769551045468,598.196312292222
"56","Angelo",2013,"6",14.6612353862435,609.146396232821
"57","Angelo",2013,"17",14.7896913726149,594.974070556944
"58","Angelo",2013,"24",14.7544207470589,602.720127825537
"59","Angelo",2013,"28",14.414887103624,643.852032933114
"60","Angelo",2013,"33",14.7493333566484,597.359737201877
"61","Angelo",2014,"6",14.7341755782083,616.819137326184
"62","Angelo",2014,"17",14.7140120860187,620.455402894909
"63","Angelo",2014,"24",14.7398117526684,617.875673097181
"64","Angelo",2014,"28",14.8360446097066,623.062176349407
"65","Angelo",2014,"33",14.5581576762708,626.977504524189
"66","Angelo",2015,"6",14.592973637717,636.998952029429
"67","Angelo",2015,"17",14.7911899801139,618.334205461695
"68","Angelo",2015,"24",14.6143231746096,630.774595990673
"69","Angelo",2015,"28",14.7504590595276,635.408312137139
"70","Angelo",2015,"33",14.5340977721844,639.439427436823
"71","Carrizo",2007,"EP1",15.0051614454955,561.511893978539
"72","Carrizo",2007,"EP10",16.3162196079502,383.960227470737
"73","Carrizo",2007,"EP2",15.0846151814484,566.150794173832
"74","Carrizo",2007,"EP3",14.7389533008672,599.243673045455
"75","Carrizo",2007,"EP4",14.7728662861266,599.414332603279
"76","Carrizo",2007,"EP5",15.4731017925252,478.16649657198
"77","Carrizo",2007,"EP6",15.4278588951543,510.329663826468
"78","Carrizo",2007,"EP7",15.1473112249287,552.998622391239
"79","Carrizo",2007,"EP8",15.729146498797,481.433391774066
"80","Carrizo",2007,"EP9",16.3095513098669,390.211587806883
"81","Carrizo",2007,"SC1",14.9957093083214,572.248430915808
"82","Carrizo",2007,"SC10",16.1517340002038,394.377169529826
"83","Carrizo",2007,"SC2",15.4481334923124,390.586160109674
"84","Carrizo",2007,"SC3",15.9067486211761,452.727664399301
"85","Carrizo",2007,"SC4",16.2697822495763,395.227743627385
"86","Carrizo",2007,"SC5",15.6647772182513,381.199558615576
"87","Carrizo",2007,"SC6",14.6086776866257,464.986524879914
"88","Carrizo",2007,"SC7",14.1394717459461,496.160905310274
"89","Carrizo",2007,"SC8",16.8627933950554,301.696044853992
"90","Carrizo",2007,"SC9",16.1523722477407,393.704011146472
"91","Carrizo",2008,"EP1",15.6423900850028,458.252233489047
"92","Carrizo",2008,"EP10",15.8715668891611,386.480933006063
"93","Carrizo",2008,"EP2",15.6842166520476,464.686282846387
"94","Carrizo",2008,"EP3",15.6178613705751,445.282125577757
"95","Carrizo",2008,"EP4",15.6364189890351,474.604428936723
"96","Carrizo",2008,"EP5",16.0585695144804,414.562798614337
"97","Carrizo",2008,"EP6",15.6868017767657,468.528853990024
"98","Carrizo",2008,"EP7",15.8842488598709,421.601103417982
"99","Carrizo",2008,"EP8",16.0180133947731,418.093337036265
"100","Carrizo",2008,"EP9",15.9226936855881,395.088990380248
"101","Carrizo",2008,"SC1",15.9375977598333,429.664788642909
"102","Carrizo",2008,"SC10",16.1227236992952,376.487059754477
"103","Carrizo",2008,"SC2",15.5161699057691,419.255177329854
"104","Carrizo",2008,"SC3",16.1725165698008,397.655178268197
"105","Carrizo",2008,"SC4",16.114703533005,388.630596429676
"106","Carrizo",2008,"SC5",15.0739652658176,455.639069006635
"107","Carrizo",2008,"SC6",14.682575612411,475.21180844238
"108","Carrizo",2008,"SC7",14.2023919711231,521.491391336211
"109","Carrizo",2008,"SC8",15.9650684613841,425.061200820015
"110","Carrizo",2008,"SC9",16.0770673699499,386.143479371709
"111","Carrizo",2009,"EP1",15.3613338902408,486.407967471533
"112","Carrizo",2009,"EP10",15.8239915459563,408.358109940116
"113","Carrizo",2009,"EP2",15.4663546662081,482.556024872478
"114","Carrizo",2009,"EP3",15.4985795974421,450.464159762152
"115","Carrizo",2009,"EP4",15.3580192426392,504.565126613162
"116","Carrizo",2009,"EP5",15.8209170404329,445.295846716389
"117","Carrizo",2009,"EP6",15.5291870662674,493.745929645542
"118","Carrizo",2009,"EP7",15.6871841798164,450.52599527282
"119","Carrizo",2009,"EP8",15.760092146382,450.394652644115
"120","Carrizo",2009,"EP9",15.6101175280365,404.493205635553
"121","Carrizo",2009,"SC1",15.5862164985426,471.16815718722
"122","Carrizo",2009,"SC10",15.7618249844587,414.803130778481
"123","Carrizo",2009,"SC2",15.2246758161565,436.802616842529
"124","Carrizo",2009,"SC3",16.2017575621904,373.132092567532
"125","Carrizo",2009,"SC4",15.8265677035317,411.19732398382
"126","Carrizo",2009,"SC5",14.8300617828859,466.912416711138
"127","Carrizo",2009,"SC6",14.3346384337995,488.96183450213
"128","Carrizo",2009,"SC7",14.2686597879438,518.251961338536
"129","Carrizo",2009,"SC8",15.627344764228,458.625916924322
"130","Carrizo",2009,"SC9",15.7380267404351,420.975466154888
"131","Carrizo",2010,"EP1",14.9294721328975,551.300623828143
"132","Carrizo",2010,"EP10",15.6369447898209,434.290355608648
"133","Carrizo",2010,"EP2",15.1070465683798,507.545290932402
"134","Carrizo",2010,"EP3",15.2918301764213,484.299524344983
"135","Carrizo",2010,"EP4",15.0965138918221,525.792469938515
"136","Carrizo",2010,"EP5",15.9791504734345,427.53480032177
"137","Carrizo",2010,"EP6",15.4437370807492,481.015751096288
"138","Carrizo",2010,"EP7",15.6903662620728,443.227348758335
"139","Carrizo",2010,"EP8",15.4792362035406,477.226374111408
"140","Carrizo",2010,"EP9",15.6078267197709,413.830411261086
"141","Carrizo",2010,"SC1",15.508304094302,483.891237760812
"142","Carrizo",2010,"SC10",15.459608339788,459.94682658403
"143","Carrizo",2010,"SC2",15.1344681006579,461.659897572358
"144","Carrizo",2010,"SC3",16.5422661573756,360.959484686651
"145","Carrizo",2010,"SC4",15.8968900566711,418.774298508911
"146","Carrizo",2010,"SC5",15.0133349192309,469.62775268439
"147","Carrizo",2010,"SC6",14.8417893069041,468.626025578906
"148","Carrizo",2010,"SC7",14.5685575460016,515.54293145674
"149","Carrizo",2010,"SC8",15.344182607216,496.601360608308
"150","Carrizo",2010,"SC9",15.7100609922115,440.983483673445
"151","Carrizo",2011,"EP1",15.2258184735819,523.01139752545
"152","Carrizo",2011,"EP10",16.0270851567073,399.568721531748
"153","Carrizo",2011,"EP2",15.4049466130541,475.05088679654
"154","Carrizo",2011,"EP3",15.7105585563795,460.998730892885
"155","Carrizo",2011,"EP4",15.1333512051198,536.104823977108
"156","Carrizo",2011,"EP5",16.3579582112897,384.709889126897
