"","year","plot","CTI","CPI","Site"
"1",1999,1,15.8342913273658,589.504208673837,"UCSC"
"2",1999,2,15.7777219865565,586.184954642202,"UCSC"
"3",1999,3,16.084558099007,551.778314276729,"UCSC"
"4",2000,1,15.7566931832227,595.789119873933,"UCSC"
"5",2000,2,15.7316866971859,602.298277287298,"UCSC"
"6",2000,3,16.1297373716154,545.626371068292,"UCSC"
"7",2001,1,16.1590534103074,569.70441274075,"UCSC"
"8",2001,2,15.9818315061643,598.925879277654,"UCSC"
"9",2001,3,16.5033239426899,526.731972903027,"UCSC"
"10",2002,1,15.2587627620018,644.781602004354,"UCSC"
"11",2002,2,15.1370515140691,644.232139322645,"UCSC"
"12",2002,3,15.6910776921725,623.47786635605,"UCSC"
"13",2003,1,16.3482532545344,564.529112319133,"UCSC"
"14",2003,2,16.1995879872749,568.234225378596,"UCSC"
"15",2003,3,16.3289505294291,559.678509000407,"UCSC"
"16",2004,1,16.21034736088,562.791218230712,"UCSC"
"17",2004,2,15.8686080829516,609.317426569572,"UCSC"
"18",2004,3,16.4758110455386,534.381135124278,"UCSC"
"19",2005,1,16.5328870305411,540.930072072102,"UCSC"
"20",2005,2,16.4565284279989,539.525736867012,"UCSC"
"21",2005,3,16.1072378079854,572.884984875017,"UCSC"
"22",2006,1,16.5952330003065,542.715197672733,"UCSC"
"23",2006,2,16.3519839318438,559.845332119149,"UCSC"
"24",2006,3,15.673574430184,616.684544456045,"UCSC"
"25",2007,1,16.3637768441863,557.736844296635,"UCSC"
"26",2007,2,16.3439426990972,552.224515935018,"UCSC"
"27",2007,3,16.3178223346571,554.925578475452,"UCSC"
"28",2008,1,16.5734691983349,533.049853855067,"UCSC"
"29",2008,2,16.6011460961802,526.214621110445,"UCSC"
"30",2008,3,16.6458234232042,530.349369387694,"UCSC"
"31",2009,1,15.8781493492017,586.339508668385,"UCSC"
"32",2009,2,15.9523398633356,571.356881195402,"UCSC"
"33",2009,3,16.3223165987705,546.6942099266,"UCSC"
"34",2010,1,16.7967884028402,517.289862336642,"UCSC"
"35",2010,2,16.8073606038609,511.985425556944,"UCSC"
"36",2010,3,16.688046619994,523.953960496712,"UCSC"
"37",2011,1,16.7230240247379,525.936912498137,"UCSC"
"38",2011,2,16.6944917242198,519.720976012212,"UCSC"
"39",2011,3,16.3357664447722,558.513682281479,"UCSC"
"40",2012,1,16.6554268059471,532.565770051167,"UCSC"
"41",2012,2,16.6727453645579,514.778537417685,"UCSC"
"42",2012,3,16.4948014704752,542.277234214948,"UCSC"
