Species,n,Temperature mean,Temperature median,Temperature lower limit (5%),Temperature upper limit (95%),Precipitation mean,Precipitation median,Precipitation lower limit (5%),Precipitation upper limit (95%)
Acaena californica,265,13.09792452830192,13.050000000000011,12.450000000000045,14.050000000000011,762.9203773584907,746,478.8,1074.42
Achillea millefolium,13246,12.717809149932089,13.350000000000023,5.4500000000000455,16.750000000000057,831.3456364185415,740.7,348.55,1664
Achyrachaena mollis,2456,14.924307817589611,14.550000000000011,12.850000000000023,17.850000000000023,663.9876628664496,595.25,326.25,1036.8
Acmispon americanus,3483,14.256144128624783,14.950000000000045,7.550000000000011,17.450000000000045,764.6469997128912,597.2,320,1723.6399999999985
Acmispon brachycarpus,1207,14.389105219552643,14.550000000000011,10.850000000000023,17.350000000000023,878.1369511184756,839,307.86,1677.3600000000001
Acmispon parviflorus,632,13.886075949367122,13.850000000000023,11.250000000000057,16.950000000000045,1027.2738924050634,969,492.96500000000003,1932.654999999998
Acmispon wrangelianus,1102,15.085390199637057,14.950000000000045,12.455000000000044,17.750000000000057,642.1530852994556,592.6,296.33000000000004,1122.895
Adenostoma fasciculatum,11781,15.171891180714743,15.450000000000045,12.450000000000045,17.05000000000001,573.7519395637042,495.40000000000003,287.90000000000003,1118.7
Aegilops triuncialis,665,15.611353383458678,15.950000000000045,12.750000000000057,17.950000000000045,888.2800000000001,826.7,414.5,1814.7
Agoseris grandiflora,906,13.13565121412807,13.450000000000045,8.075000000000017,16.350000000000023,839.9896247240619,642.05,363.90000000000003,1962.5
Agoseris heterophylla,852,13.335563380281725,14.050000000000011,7.9500000000000455,16.950000000000045,878.9697183098592,695.35,410.555,1976.1699999999996
Agrostis pallens,931,12.020998925886177,13.650000000000034,3.9500000000000455,16.80000000000004,905.3125671321161,684.6,305.25,1917.25
Aira caryophyllea,996,13.889357429718912,13.550000000000011,11.02500000000002,17.350000000000023,1015.6455823293173,888.75,459.1,1961.7
Allium amplectens,1298,14.250077041602498,14.550000000000011,8.535000000000018,18.150000000000034,1104.0897534668723,998.95,509.3,1980.1999999999985
Allium falcifolium,1561,11.330140935297921,12.150000000000034,5.350000000000023,16.150000000000034,1432.2480461242794,1165.5,572,2859
Allium fimbriatum,589,14.471052631578983,15.250000000000057,6.250000000000057,18.010000000000026,569.5152801358234,444.5,222.3,982.7
Allium peninsulare,1148,16.03919860627181,16.55000000000001,12.950000000000045,17.650000000000034,578.6526132404182,455.15000000000003,268.1,1247.8000000000002
Allium serra,909,14.640209020902123,14.250000000000057,13.250000000000057,17.350000000000023,607.1731573157316,548.2,429.8,924.2799999999999
Allophyllum gilioides,796,12.076758793969883,12.650000000000034,6.125000000000028,16.450000000000045,611.8121859296483,556.9,317.15000000000003,1145.5500000000002
Amsinckia menziesii,3514,15.832214001138338,16.450000000000045,12.950000000000045,17.850000000000023,528.8740751280592,459.85,282.1,1031.3
Amsinckia tessellata,567,15.267989417989453,15.550000000000011,11.88000000000003,17.950000000000045,385.7620811287478,365.6,225.20000000000002,552.9300000000001
Ancistrocarphus filagineus,513,15.009259259259293,15.150000000000034,12.07000000000004,17.150000000000034,601.6922027290449,470.6,288.76000000000005,1122.38
Antirrhinum vexillocalyculatum,43,14.682558139534917,14.950000000000045,12.150000000000034,16.55000000000001,974.9953488372093,990.9000000000001,558.59,1430.55
Aphanes occidentalis,278,15.201079136690682,15.250000000000057,12.105000000000032,17.665000000000035,658.6956834532374,559.9000000000001,310,1316.6049999999998
Apocynum cannabinum,614,14.627035830618926,15.350000000000023,9.315000000000035,17.850000000000023,690.1587947882737,562.85,304.07,1471.8300000000004
Asclepias eriocarpa,2925,14.348290598290632,14.650000000000034,10.150000000000034,17.55000000000001,562.8871794871795,524.3000000000001,304.98,987.4000000000001
Asclepias fascicularis,5567,15.273495599065958,15.450000000000045,11.950000000000045,17.750000000000057,571.3247170828095,499.70000000000005,312.83000000000004,1085.3
Astragalus breweri,68,14.520588235294147,14.950000000000045,11.350000000000023,16.380000000000052,1109.9132352941176,1064.65,809.5,1529.79
Astragalus didymocarpus,712,16.132724719101155,16.450000000000045,13.805000000000039,18.05000000000001,373.16896067415735,354.8,236.60000000000002,551.5250000000001
Astragalus gambelianus,955,15.100680628272285,15.250000000000057,12.350000000000023,17.450000000000045,663.0059685863874,572.7,303,1218.0899999999995
Astragalus lentiginosus,686,12.065306122449014,12.150000000000034,1.650000000000034,18.82500000000003,459.3706997084548,433.20000000000005,196.15,1154.425
Astragalus oxyphysus,374,16.642245989304847,16.750000000000057,14.350000000000023,18.650000000000034,296.846256684492,265.7,205.43,434.57499999999993
Astragalus rattanii,146,14.663013698630172,15.250000000000057,9.000000000000043,17.55000000000001,1072.0061643835618,905.5,636.0500000000001,2056.075
