Species,n,Temperature mean,Temperature median,Temperature lower limit (5%),Temperature upper limit (95%),Precipitation mean,Precipitation median,Precipitation lower limit (5%),Precipitation upper limit (95%)
Athysanus pusillus,941,14.75669500531353,15.250000000000057,9.450000000000045,17.750000000000057,712.7652497343253,569,301.5,1476.7
Atriplex prostrata,101,16.478712871287158,16.650000000000034,14.350000000000023,18.350000000000023,469.93861386138616,402.40000000000003,270.1,731.9000000000001
Avena barbata,2711,15.621338989302876,16.150000000000034,12.550000000000011,17.750000000000057,557.9226853559572,480.70000000000005,281.4,1147.2
Avena fatua,2473,15.736170642943828,16.350000000000023,12.710000000000047,17.850000000000023,555.4343712090579,506.6,275.90000000000003,1134.1200000000001
Baccharis pilularis,17577,14.621007566706526,14.250000000000057,12.450000000000045,17.250000000000057,656.9750128008193,600.5,298.90000000000003,1145
Bellardia trixago,1616,13.891646039603994,13.750000000000057,12.850000000000023,15.150000000000034,728.4102103960396,693,485.70000000000005,1017.8000000000001
Brachypodium distachyon,734,15.813896457765702,16.350000000000023,13.21500000000005,17.750000000000057,564.7600817438693,496.90000000000003,268.40000000000003,1109.9
Brassica nigra,954,16.056708595387878,16.650000000000034,12.850000000000023,17.750000000000057,466.3119496855346,409.3,278.755,850.9000000000001
Briza maxima,3953,13.464975967619564,13.250000000000057,11.650000000000034,15.989999999999995,914.9944346066279,832.5,534.4,1504.2199999999996
Briza minor,1397,14.568969219756655,14.350000000000023,12.150000000000034,17.650000000000034,842.9350751610594,783.7,430.72,1444.5
Brodiaea elegans,3186,13.956936597614598,14.050000000000011,9.575000000000017,17.05000000000001,976.7728813559322,929.7,521.2,1791.4750000000001
Bromus berteroanus,226,16.040265486725698,16.100000000000023,12.550000000000011,18.750000000000057,427.34380530973453,363.3,97.80000000000001,704.9000000000001
Bromus carinatus,1981,12.932836951034865,13.550000000000011,6.050000000000011,17.05000000000001,783.310550227158,614.4000000000001,309,1773.5
Bromus diandrus,3134,15.550478621569914,16.150000000000034,12.250000000000057,17.850000000000023,562.8403956604978,491.45000000000005,278.6,1150.384999999999
Bromus hordeaceus,3108,15.164543114543148,15.550000000000011,11.550000000000011,17.650000000000034,651.1629021879022,543.25,284.605,1425.9950000000001
Bromus japonicus,19,11.439473684210554,11.850000000000023,7.4500000000000455,18.000000000000043,950.9736842105264,1017.6,594.3100000000001,1337.39
Bromus laevipes,485,13.31474226804127,13.850000000000023,7.050000000000011,16.950000000000045,1087.7534020618557,960.8000000000001,482.6,2102.5199999999973
Bromus madritensis,3771,15.915712012728752,16.450000000000045,12.850000000000023,17.850000000000023,497.39111641474415,434.8,262.40000000000003,1035.9
Bromus sterilis,342,14.938304093567286,15.550000000000011,9.550000000000011,17.350000000000023,777.4502923976609,620.7,321.175,1889.025
Bromus tectorum,1932,12.410714285714318,12.450000000000045,7.150000000000034,17.150000000000034,679.6333850931677,536.55,324.105,1522.9549999999986
Calandrinia menziesii,6676,15.059691431995242,14.950000000000045,12.450000000000045,17.350000000000023,651.8033253445177,573.1500000000001,300.85,1178.8
Calochortus luteus,4155,14.25796630565587,13.950000000000045,12.350000000000023,17.150000000000034,798.6973285198557,803.6,465.64000000000004,1123.8
Calochortus superbus,723,15.222199170124515,15.550000000000011,10.850000000000023,17.850000000000023,1044.4846473029047,990,560.12,1638.2199999999993
Calochortus vestae,269,14.54442379182159,14.550000000000011,12.150000000000034,16.55000000000001,1148.7427509293682,1122.8,809.1,1698.6999999999998
Calycadenia multiglandulosa,745,13.432818791946344,13.250000000000057,11.350000000000023,16.05000000000001,970.6540939597315,1029.3,529.02,1459.3000000000002
Calycadenia pauciflora,147,15.418707482993229,15.650000000000034,13.140000000000015,17.490000000000013,937.7585034013606,898.7,686.3200000000002,1346.69
Calystegia purpurata,887,13.618996617812886,13.250000000000057,12.150000000000034,16.150000000000034,804.467305524239,780.3000000000001,468.7900000000001,1180.44
Calystegia subacaulis,323,14.025541795665669,13.850000000000023,12.650000000000034,15.350000000000023,671.6814241486069,619.8000000000001,461.58,1089.06
Camissonia campestris,742,15.351078167115936,15.650000000000034,10.955000000000044,18.150000000000034,372.43733153638817,358.30000000000007,210.20000000000002,582.2
Capsella bursa-pastoris,2635,15.702258064516164,16.250000000000057,12.850000000000023,18.150000000000034,564.7581404174573,523.1,292.72,1059.3099999999981
Cardamine oligosperma,498,14.685341365461882,14.550000000000011,11.250000000000057,17.850000000000023,939.6471887550201,803.1000000000001,387.62000000000006,1886.3600000000001
Carduus pycnocephalus,3967,15.16401562893878,15.050000000000011,12.750000000000057,17.450000000000045,635.585202924124,582.5,307.65,1095.79
Carduus tenuiflorus,367,14.87070844686652,14.850000000000023,12.650000000000034,17.250000000000057,583.2730245231608,522.2,297.59000000000003,1036.4
Carex gynodynama,69,12.686231884058007,12.450000000000045,10.050000000000058,16.350000000000037,1208.18115942029,1205.4,522.6600000000001,2067.039999999997
Castilleja attenuata,1575,15.188857142857179,15.350000000000023,11.850000000000023,17.950000000000045,814.0720634920635,728.4000000000001,349.14,1430.02
Castilleja brevistyla,102,17.014705882352978,16.750000000000057,15.650000000000034,19.55000000000001,289.7803921568628,273.9,171.325,439.28999999999985
Castilleja densiflora,2555,14.526203522504925,13.950000000000045,12.550000000000011,16.950000000000045,668.5935812133073,746.4000000000001,296.3,1066.6499999999999
Castilleja exserta,8784,15.191199908925354,15.350000000000023,12.750000000000057,17.450000000000045,550.7323201275046,482.70000000000005,282.315,1094.4
Castilleja lineariloba,192,15.550000000000034,16.250000000000057,12.405000000000037,17.250000000000057,940.4911458333333,956.3000000000001,529.485,1371.5
Castilleja rubicundula,704,13.866051136363673,13.650000000000034,12.350000000000023,16.33500000000003,906.8785511363636,818.6,528.9,1378.13
Caulanthus lasiophyllus,1172,15.37926621160413,15.550000000000011,12.750000000000057,17.750000000000057,491.4425767918089,438.1,234.23,1014.6850000000004
Centaurea melitensis,4616,15.986936741767797,16.55000000000001,13.050000000000011,17.55000000000001,488.92777296360487,445.70000000000005,280.90000000000003,926.9000000000001
Centaurea solstitialis,5286,14.030476730987548,14.150000000000034,10.350000000000023,17.250000000000057,751.4298902762014,695.75,396.20000000000005,1266.275
Cerastium fontanum,38,12.042105263157932,13.150000000000034,5.760000000000028,17.295000000000048,837.0631578947368,622.9000000000001,383.08500000000004,1538.7599999999998
Cerastium glomeratum,1085,15.090092165898652,15.450000000000045,11.450000000000045,17.650000000000034,730.8230414746544,606.6,300.7,1575.7399999999998
Cercocarpus betuloides,4503,14.44986675549637,14.450000000000045,11.350000000000023,17.150000000000034,627.337064179436,532.7,339.42,1236.8199999999993
Chaenactis glabriuscula,3196,15.796339173967493,16.450000000000045,12.050000000000011,17.55000000000001,451.290675844806,412.20000000000005,266.90000000000003,875.1750000000001
Chlorogalum pomeridianum,8805,14.150783645655912,13.950000000000045,12.150000000000034,16.750000000000057,807.3256899488928,757.1,435.62000000000006,1413.5
Chorizanthe membranacea,744,14.28642473118283,13.950000000000045,11.865000000000025,17.55000000000001,725.5092741935484,596.3,350.35,1328.4
Chorizanthe polygonoides,339,15.825221238938086,16.450000000000045,12.450000000000045,17.750000000000057,593.4141592920354,383.90000000000003,274.69,1421.2
Chorizanthe uniaristata,115,15.277826086956557,15.050000000000011,12.350000000000023,18.850000000000023,370.9904347826087,368.6,205.90000000000003,538.51
Chorizanthe watsonii,117,12.617521367521402,12.450000000000045,9.810000000000025,16.450000000000045,432.3735042735043,436.3,253.90000000000003,598.9399999999996
Cirsium vulgare,5531,13.467555595733176,13.350000000000023,8.850000000000023,17.450000000000045,840.1045380582174,750.7,322.90000000000003,1607.6000000000001
Clarkia affinis,259,14.847683397683435,14.550000000000011,12.750000000000057,17.160000000000036,618.4722007722008,574.6,346.93,1029.03
Clarkia gracilis,636,13.755817610062929,13.750000000000057,9.825000000000031,17.450000000000045,1103.9518867924528,1078.5,591.3000000000001,1796.8500000000001
Clarkia purpurea,5564,14.82771387491017,14.750000000000057,12.250000000000057,17.250000000000057,664.0524982027318,573.2,324.8,1205.9999999999989
Claytonia exigua,660,13.391666666666701,13.350000000000023,9.050000000000011,16.55000000000001,956.3616666666667,906.5500000000001,330.75500000000005,2075
Claytonia parviflora,14344,14.578499721137792,14.350000000000023,11.850000000000023,17.250000000000057,680.1166689905187,619.8000000000001,304.1,1275.685
Collinsia heterophylla,4567,14.83215458725644,14.650000000000034,12.650000000000034,17.05000000000001,647.9943945697395,572.4,327,1129.8
Collinsia sparsiflora,993,14.636102719033268,14.650000000000034,11.610000000000024,17.39000000000003,885.8279959718027,893.4000000000001,499.3,1326.9
Convolvulus arvensis,3267,15.215044383226235,15.150000000000034,12.250000000000057,17.750000000000057,631.4682889501072,552.1,306.1,1227.2599999999989
Crassula connata,2071,15.969362626750396,16.55000000000001,13.050000000000011,18.05000000000001,488.76412361178177,411.3,263.75,1035.45
Crepis vesicaria,74,13.651351351351384,13.850000000000023,12.480000000000015,14.550000000000011,778.5081081081081,780.3000000000001,471.42,1343.605
Croton setiger,5628,15.78891257995739,16.450000000000045,12.550000000000011,17.750000000000057,572.933315565032,487.75,300.40000000000003,1144.5549999999998
Cryptantha hispidula,129,15.23217054263569,15.550000000000011,12.950000000000045,16.610000000000024,959.4697674418605,925.6,798.8199999999999,1346.62
Cuscuta californica,1977,15.34398077895805,16.55000000000001,7.130000000000031,17.650000000000034,561.8945371775418,444.70000000000005,290.40000000000003,1625.9
Cynosurus echinatus,1663,13.68896572459414,13.550000000000011,10.950000000000045,16.650000000000034,1026.4559831629585,944.3000000000001,553.9700000000001,1890.02
Dactylis glomerata,1016,12.617618110236254,13.150000000000034,6.9500000000000455,16.950000000000045,1031.7497047244094,884.1500000000001,377.6,2104.8
Danthonia californica,991,11.300857719475312,12.450000000000045,5.500000000000028,15.250000000000057,1315.1878910191726,1107.8,510.25,2750.3
Daucus pusillus,2804,15.576069900142688,16.250000000000057,12.450000000000045,17.350000000000023,566.3215049928674,435.3,275.6,1351.585
Delphinium hesperium,501,14.766367265469098,14.750000000000057,12.350000000000023,17.650000000000034,775.1139720558882,799.5,344,1351.5
Delphinium variegatum,794,15.16158690176326,14.950000000000045,13.350000000000023,18.150000000000034,786.4583123425693,806.3000000000001,345.74000000000007,1176.9999999999995
Descurainia pinnata,928,14.82187500000003,15.650000000000034,8.750000000000057,17.715000000000046,414.4856681034483,411.6,210.10000000000002,614.7
Descurainia sophia,263,13.189923954372656,13.750000000000057,6.360000000000025,17.950000000000045,507.12053231939166,456.20000000000005,251.04000000000002,928.8199999999996
Diplacus douglasii,660,14.444242424242459,13.900000000000034,12.150000000000034,17.35500000000002,1016.1366666666668,924.4000000000001,481.52500000000003,1977.8799999999974
Dipsacus sativus,1883,14.213568773234233,14.050000000000011,12.950000000000045,16.750000000000057,703.7459373340415,687.7,328.5,1040.6000000000001
Dipterostemon capitatus,18116,15.189644513137592,15.450000000000045,12.450000000000045,17.350000000000023,619.4024784720689,534.4,287.70000000000005,1182.3
Elymus caput-medusae,672,14.147619047619083,14.250000000000057,10.250000000000057,18.05000000000001,858.5147321428572,774.4000000000001,455.4050000000001,1634.8449999999948
Elymus elymoides,2075,8.400843373494011,8.150000000000034,1.0500000000000114,15.750000000000057,967.3293975903615,794.4000000000001,381.66,1984
Elymus glaucus,3715,12.45839838492601,13.050000000000011,5.750000000000057,16.950000000000045,949.1048990578736,696.9000000000001,342.6,2183.4
Elymus multisetus,834,13.28657074340531,13.650000000000034,7.750000000000057,17.150000000000034,873.5967625899281,685.9000000000001,336.1,2006.835
Elymus triticoides,1209,13.932630272952888,14.550000000000011,7.650000000000034,18.05000000000001,530.8718775847808,490.70000000000005,304.40000000000003,992.2
Elytrigia repens,25,13.946000000000026,13.950000000000045,8.550000000000022,17.510000000000012,787.716,638.1,430.46000000000004,2128.6399999999962
Epilobium brachycarpum,1721,13.12989540964559,13.650000000000034,7.050000000000011,17.450000000000045,820.8776292852992,653.6,362.90000000000003,1893.4
Epilobium ciliatum,3104,12.426932989690755,13.150000000000034,5.350000000000023,17.350000000000023,872.0117590206186,677.9000000000001,317.445,2032.7
Erigeron canadensis,1803,15.417387687188054,16.450000000000045,10.750000000000057,17.850000000000023,571.6534664448143,477.6,280.2,1324.2899999999995
Eriodictyon californicum,5568,13.81539152298854,13.650000000000034,11.350000000000023,16.750000000000057,957.797970545977,893.4000000000001,513.9,1664.9399999999973
Eriogonum covilleanum,103,14.471359223301004,15.050000000000011,10.680000000000035,17.340000000000025,419.3699029126214,394.20000000000005,261.56,600.8000000000001
Eriogonum gracillimum,223,16.389910313901378,16.450000000000045,13.760000000000055,18.55000000000001,322.2125560538117,312.20000000000005,196.97000000000003,480.1
Eriogonum nudum,4148,10.711933461909387,11.950000000000045,2.8500000000000227,16.450000000000045,1011.9109209257474,881.25,369.52500000000003,2037.23
Eriogonum vimineum,395,12.628481012658261,12.950000000000045,7.320000000000033,17.78000000000004,1014.5569620253165,937.3000000000001,371.61,1912.99
Eriophyllum lanatum,3519,11.424424552429702,12.450000000000045,2.8500000000000227,16.750000000000057,1229.2626882637114,1122.8,550,2213.06
Erodium botrys,5779,15.186719155563281,15.050000000000011,12.850000000000023,17.450000000000045,625.6965045855685,571.7,304.77,1101.41
Erodium brachycarpum,709,16.05507757404799,16.350000000000023,13.550000000000011,17.850000000000023,548.1418899858957,447.20000000000005,279.56,1180.1800000000003
Erodium cicutarium,7894,15.433823156828003,15.950000000000045,12.350000000000023,17.850000000000023,569.9026222447428,494.30000000000007,276.2,1100.4
Erodium moschatum,3521,15.674708889520057,16.250000000000057,13.050000000000011,17.850000000000023,555.6385685884692,529.7,290.7,959.3000000000001
Eryngium armatum,290,13.522413793103487,13.050000000000011,12.450000000000045,16.250000000000057,827.3586206896553,840.6,439.05500000000006,1226.3300000000002
Erythranthe androsacea,40,12.397500000000033,12.750000000000028,8.650000000000034,15.855000000000024,528.91,494.3,419.51000000000005,801.9449999999998
Erythranthe guttata,5729,13.634325362192389,14.250000000000057,6.4500000000000455,17.450000000000045,806.759713737127,654.4000000000001,326.48,1763.4999999999982
Eschscholzia californica,24829,14.763254661887343,14.450000000000045,12.550000000000011,17.450000000000045,641.6605541906641,589.6,308.3,1098.1000000000001
Euphorbia crenulata,300,13.104333333333368,13.250000000000057,7.745000000000055,16.855000000000025,1166.5713333333333,1076.45,385.16,2083.605
Euphorbia ocellata,460,15.592608695652212,16.750000000000057,6.750000000000057,18.55000000000001,646.9180434782609,618.7,245.75,1169.6000000000001
Euphorbia polycarpa,1992,16.34819277108437,16.750000000000057,15.550000000000011,17.450000000000045,386.55075301204823,339.70000000000005,273.7,545.1449999999996
Festuca bromoides,783,14.405172413793139,14.650000000000034,10.650000000000034,17.55000000000001,775.3159642401022,613.1,311.88,1701.4
Festuca microstachys,2241,14.556559571619847,15.050000000000011,9.850000000000023,17.850000000000023,727.0053993752789,574.1,273.7,1725.9
Festuca myuros,2146,15.317986952469745,15.850000000000023,11.250000000000057,17.950000000000045,620.6171481826655,506.3,270.25,1551.775
Festuca octoflora,657,15.413013698630172,15.550000000000011,12.83000000000003,17.450000000000045,479.2637747336378,430.20000000000005,266.3,887.6
Festuca perennis,2078,15.425409047160766,15.950000000000045,11.950000000000045,17.950000000000045,634.7261308950915,541.1500000000001,280.855,1429.6499999999996
Fritillaria purdyi,115,11.948260869565253,12.850000000000023,6.4300000000000175,15.850000000000023,1277.7739130434784,1143.1000000000001,875.71,1969.92
Galium aparine,3500,14.522800000000034,14.650000000000034,10.150000000000034,17.450000000000045,693.2256285714286,591.3000000000001,293.675,1509.8100000000002
Galium murale,125,15.589200000000034,15.550000000000011,12.750000000000057,18.230000000000054,729.12,673.9000000000001,429.3,1087
Galium parisiense,578,15.198961937716296,15.400000000000034,12.020000000000014,17.650000000000034,795.4899653979239,629.8000000000001,310.945,1878.925
Galium porrigens,1207,14.639643744821907,14.550000000000011,11.850000000000023,17.250000000000057,699.8510356255179,612.5,302.23,1347.3000000000002
Gastridium phleoides,876,15.480365296803688,15.850000000000023,12.450000000000045,17.67500000000004,676.419292237443,535.5500000000001,292.29999999999995,1658.8000000000002
Genista monspessulana,5565,13.464627133872453,13.150000000000034,12.550000000000011,15.450000000000045,747.8446900269543,680.9000000000001,477.6,1270.0400000000002
Geranium dissectum,2639,14.55894278135661,14.350000000000023,12.250000000000057,17.150000000000034,747.2382341796135,685.4000000000001,330.08000000000004,1411.58
Geranium molle,1421,14.469985925404679,14.250000000000057,12.150000000000034,16.950000000000045,849.5752287121745,785.9000000000001,474.1,1448
Gilia capitata,2938,13.9618447923758,14.350000000000023,8.450000000000045,17.450000000000045,882.6643635125937,704.45,332.33500000000004,1975.3900000000003
Gilia clivorum,570,14.23105263157898,14.050000000000011,12.350000000000023,16.350000000000023,599.6498245614035,577.9000000000001,354,906.2449999999983
Gilia tricolor,2209,15.480783159800852,15.650000000000034,13.050000000000011,18.05000000000001,769.8192394748755,730.2,300.26,1190.0399999999997
Githopsis specularioides,367,13.794414168937365,13.750000000000057,9.650000000000034,17.52000000000002,1184.6046321525887,1089.7,445.55,2077.5199999999995
Grindelia camporum,1173,15.756649616368321,16.350000000000023,12.750000000000057,17.650000000000034,544.5428815004262,476.40000000000003,281.6,1176.5399999999995
Helianthella californica,383,11.236684073107083,13.050000000000011,5.260000000000054,16.05000000000001,1246.3049608355093,1174.3,627.6400000000001,1905.2499999999998
Helianthus exilis,160,14.784375000000033,15.350000000000023,10.050000000000011,16.455000000000044,986.71875,897,703.475,1765
Helminthotheca echioides,4736,15.236106418918954,15.050000000000011,12.750000000000057,17.450000000000045,575.3646748310811,531,297.57500000000005,1108.8
Hemizonia congesta,3045,14.090952380952416,13.950000000000045,12.450000000000045,16.150000000000034,839.3879146141215,806.3000000000001,484.5,1356.3000000000002
Herniaria hirsuta,281,15.804804270462666,16.150000000000034,12.150000000000034,18.250000000000057,581.8430604982207,423.5,264,1446.1000000000001
Hesperevax sparsiflora,320,14.168125000000035,13.950000000000045,12.350000000000023,16.655000000000037,726.048125,665.5,321,1148.9750000000004
Hesperolinon californicum,110,15.590909090909127,15.650000000000034,13.550000000000011,18.05000000000001,871.0427272727273,881.5,521.165,1220.54
Hesperolinon disjunctum,114,15.125438596491263,15.200000000000045,13.480000000000015,17.05000000000001,819.2201754385966,884.25,373.09000000000003,1250.225
Hesperolinon micranthum,569,14.160017574692478,14.450000000000045,10.03000000000004,16.750000000000057,828.5472759226714,730.3000000000001,320.70000000000005,1888.5800000000002
Hirschfeldia incana,4581,16.121971185330747,16.650000000000034,13.050000000000011,17.850000000000023,470.5070508622572,432.70000000000005,281.40000000000003,794.2
Holcus lanatus,1314,12.940943683409472,12.950000000000045,10.015000000000024,16.650000000000034,1051.497488584475,984.1,522.7249999999999,1923.22
Hollisteria lanata,192,16.771875000000033,16.750000000000057,14.850000000000023,18.55000000000001,300.8989583333333,284.7,210.895,411.68
Holocarpha heermannii,572,14.730069930069963,14.450000000000045,12.150000000000034,17.55000000000001,577.8244755244756,549.7,321.45000000000005,992.3000000000001
Holocarpha virgata,614,15.714657980456062,16.150000000000034,13.450000000000045,17.350000000000023,604.0083061889251,573.6,320.76000000000005,1003.1
Holodiscus discolor,4470,10.841252796420616,12.650000000000034,2.750000000000057,14.950000000000045,1124.36129753915,946.4000000000001,487.6650000000001,2551.355
Hordeum brachyantherum,1896,12.643301687763747,13.950000000000045,4.550000000000011,17.075000000000017,794.2330696202532,648.45,330.3,1623.6750000000002
Hordeum depressum,664,16.788403614457863,17.150000000000034,13.950000000000045,19.435000000000045,403.8909638554217,361.20000000000005,179.4,701.8000000000001
Hordeum marinum,1229,15.367493897477658,16.05000000000001,11.450000000000045,18.05000000000001,688.5246541903987,562.3000000000001,297.58,1794.0800000000002
Hordeum murinum,4301,15.792129737270436,16.350000000000023,12.750000000000057,17.950000000000045,523.498023715415,480.3,264.90000000000003,1005.2
Hosackia gracilis,677,12.72607090103401,12.650000000000034,11.450000000000045,14.350000000000023,1018.9966026587888,1000,572.7,1462.56
Hypochaeris glabra,1974,15.553495440729517,16.150000000000034,12.750000000000057,17.450000000000045,579.2101823708207,484.70000000000005,290.7,1149.5949999999998
Hypochaeris radicata,1183,13.639771766694878,13.250000000000057,11.450000000000045,16.750000000000057,911.1788672865597,794.9000000000001,472.40000000000003,1830.19
Iris douglasiana,3366,12.825787284610849,12.850000000000023,11.450000000000045,13.950000000000045,985.3032976827095,907,584.7750000000001,1827.5
Isolepis carinata,64,14.014062500000032,13.750000000000057,12.165000000000038,16.945000000000007,914.2609375000001,915.5,439.27000000000004,1477.6799999999998
Juncus bufonius,2171,14.489428834638451,15.350000000000023,7.550000000000011,17.750000000000057,660.3764163979733,526.3000000000001,291.95000000000005,1664.8000000000002
Juncus occidentalis,403,12.64007444168738,13.450000000000045,6.050000000000011,17.14000000000003,1096.6531017369728,908.6,474.47,2044.4400000000003
Juncus phaeocephalus,364,14.197252747252783,14.350000000000023,11.610000000000017,17.250000000000057,648.375,571.95,336.8,1124
Kickxia spuria,124,15.277419354838747,15.350000000000023,12.550000000000011,17.70500000000005,708.991935483871,611.25,324.55,1161.9999999999998
Lactuca serriola,3854,15.68339387649199,16.650000000000034,10.21500000000005,18.05000000000001,537.043046185781,477.8,285.2,1075.8449999999998
Lagophylla minor,164,15.404268292682962,15.150000000000034,14.050000000000011,17.05000000000001,910.3963414634147,925.3000000000001,681.4150000000001,1071.0900000000001
Lagophylla ramosissima,818,14.015158924205414,14.150000000000034,10.550000000000011,16.950000000000045,644.3171149144255,565.85,330.19500000000005,1308.86
Lastarriaea coriacea,516,16.13914728682174,16.650000000000034,13.150000000000034,18.17500000000004,411.1717054263566,404.70000000000005,255.3,600.875
Lasthenia californica,1523,14.81664478003943,14.450000000000045,12.050000000000011,18.04,721.9357189757059,690.6,282.92,1297.5899999999997
Lasthenia glabrata,356,16.568820224719133,16.950000000000045,13.825000000000031,18.05000000000001,440.6216292134832,362.90000000000003,269.40000000000003,829.3000000000001
Lasthenia gracilis,1941,15.819706336939756,16.05000000000001,13.150000000000034,17.850000000000023,426.10906749098405,377.20000000000005,257.90000000000003,788.1
Lasthenia minor,111,15.659909909909942,16.05000000000001,12.700000000000045,19.450000000000017,473.92432432432435,428.70000000000005,184.15000000000003,980.55
Lathyrus vestitus,8683,14.909622250374328,15.050000000000011,12.150000000000034,17.05000000000001,598.4575262006219,528.4,313.20000000000005,1105.6799999999998
Layia platyglossa,4009,14.837553005737128,14.350000000000023,12.750000000000057,17.350000000000023,573.7877775006236,521.5,271.6,959.1599999999999
Layia septentrionalis,74,15.572972972973007,15.450000000000045,13.645000000000053,17.285000000000046,967.1824324324325,948,743.21,1271.715
Lepidium dictyotum,457,17.06487964989062,17.250000000000057,14.850000000000023,18.950000000000045,357.14288840262583,332.40000000000003,186.10000000000002,602.36
Lepidium nitidum,3316,15.66311821471656,16.150000000000034,13.050000000000011,17.950000000000045,567.5338661037395,507.90000000000003,269.475,1159.5
