SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,cilmar,cirarv,cirvul,conarv,cynech,dancal,dung,elemac,epicil,erobot,erocic,eromos,esccal,gerdis,horbra,hornur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp
elk,con,none,1,,,,,,,,,,,,5,,,,,,,,10,,,,,,,,,17,,,,3,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,,13,,,,,,,77
elk,con,none,2,,,,,,,,,,,3,,,,,,,,,,,,,,6,,,,1,,,,1,,,,,,,,3,,12,,,,,,,,,,,14,,,,,,,,,,7,,,,,,,85
elk,con,none,3,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,29,,,,3,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,2,,,,,,,76
swa,con,none,1,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,11,,,,,,,,,7,,17,3,,,,,,,,,,,,,,,3,97
swa,con,none,2,,,,,,,,,,,51,,,,,,,,,1,,,,,,,,,,,,,10,,,,,,,,,,7,,,,,,,,,,,35,,,,,,,,,,,,,,,,,86
swa,con,none,3,,,,,1,,,,,,67,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,25,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,81
ucsc,con,none,1,,2,,1,3,55,,,,,,,,,,,,,,,,,,,,,,,32,,,7,,,,,,,,,,,,,,,,,,,,17,,4,,,,,,,,,,1,,,,,,,1
ucsc,con,none,2,,,,5,8,37,,,,,3,,,,,,,,,,,,,,,,,1,25,2,,1,2,,,,,,,,,,2,,,,,,,,,19,,,,,,,,,,,,4,,,,,,,6
ucsc,con,none,3,,,,,,43,,,,,2,,,,,,,,,,,,,,,,,,29,,1,,24,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,48
elk,graz,none,1,,,,,,,,,,,11,,,,,,,,,,,,,,12,,,,13,,,,3,,,,,,,,,,10,,,,,,,,,,,1,,2,,,,,,,,11,,1,10,,,,59
elk,graz,none,2,,,,,,,,,,,2,,,,,,,,,,,,,,39,2,,,11,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,7,,2,13,,,,58
elk,graz,none,3,,,,,,,,,,,3,,,,,,,,,,,,,,47,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,17,,,,52
elk,graz,none,4,,,,1,1,,,,,,5,,,,,,,,,,,,,,24,,,,5,,,,1,,,,,,,,,,15,,,,,,,,,1,,,,,,,,,,,,1,,,3,,,,70
elk,graz,none,5,,,,,,,,,,,7,,,,,,,,,,,,,,33,,,,5,,,,1,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,11,,,,,,,35
elk,graz,none,6,,,,,2,,,,,,8,,,,,,,,,,,,,,24,,,,10,,,,,,,,,,,,,,6,,,,,,,,11,2,,1,,,,,,,,,,3,,,2,,,,61
swa,graz,none,1,,,,,11,,,,,7,15,,,,,,,,,,,,,,,,,,,,16,,1,10,,,1,,,,,,53,,,,,,,,,10,,1,,,,,,,,,,,,2,17,,,1,30
swa,graz,none,2,,,,,1,,,,,,21,,,,,,,,,,,,,,,1,,,,,33,,4,8,,,,,,,,,54,,,,,,,,,1,,2,,,,,,,,,,,,6,48,,,,25
swa,graz,none,3,,,,1,,,,,,1,18,,,,,4,1,,1,,,,,,,1,,,1,,22,,1,,,,,1,,,,,47,,,,,,,,,1,3,10,,,,,,,,,,,1,1,74,,,,10
swa,graz,none,4,,,,,,,,,,,22,,,,,,,,,,,,,,,1,,,,,33,,2,1,,,3,,,,,,36,,,,,,,,,7,,2,,,,,,,,,,,,,52,,,,41
swa,graz,none,5,,,,,1,,,,,10,7,,,,,,,,1,,,,,,35,,,,,,3,,1,,,,3,,,,,1,2,,,,,,,,,3,,2,,,,,,,,,,,,,41,,,,52
swa,graz,none,6,1,,,,1,,,,,3,29,,,,,,,,,,,,,,15,,,,2,,8,,4,,,,2,,,,,,2,,,,,,,4,,8,,2,,,,,,,,,,,4,8,27,,,,28
ucsc,graz,none,1,,,,,,30,,,,,11,,,,,,,,,,,,,,,,,,17,,,,5,,,,,,,,,,4,,,,,,,,,13,,3,,,,,,,,,,4,6,,,,,,55
ucsc,graz,none,2,,1,,,5,26,,,,,5,,,,,,,,,,,,,,,1,,,37,1,,,5,,,,,,,,,,13,,,,,,,,,16,,1,,,,,,,,,,3,,,,,,,26
ucsc,graz,none,3,,,,1,5,30,,,,,9,,,,,,,,,,,,,,,1,,,46,1,,,2,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,,,,3,,,2,,,,28
ucsc,graz,none,4,,,,,2,20,,,,,4,,,,,,,,,,,,,,,,,,54,1,,4,,,,,,,,,,,11,,,,,,,7,,,,15,,,,,,,,,,3,,,,,,,34
ucsc,graz,none,5,,,,,,31,,,,,12,,,,,,,,,,,,,,,,,,62,,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,32
ucsc,graz,none,6,,1,,,7,13,,,,,8,,,,,,,,,,,,2,,,,,,7,1,,,10,,,,,,,,,,,,,,,,,,,7,,13,,,,,,,,,,15,13,2,,,,,27
