A note that in 2009 the cows had broken into Swanton a few days before our sampling and ate a lot.  UCSC had a shorter break in earlier in the year. We only recorded hits for Sisyrhinchium. There were a lot of Lupines out so we recorded the number of seedlings for those in the four quadrats.  All sites were dominated by Erodium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass height,,,
SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirglo,cirarv,cirvul,conarv,conyza,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,jun mex,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madcap,madsat,medpol,naslep,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp,Height 1,Height 2,Height 3,Height 4
elk,CLC,LL,1,,,1,,,2,,,,,,,,,,2,,1,,,,,,,,,,,14,,42,,,,,,,,21,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,13,,,,75,30,18,21,20
elk,CLC,LL,2,,,,,20,,,,,,,,,,,2,,,,,,,,,,,,,44,,9,,,,,,,,5,,,,,,,,,,,,,,,,,,11,,13,,,,,,,,,,,,,26,,,,40,22,22,60,14
elk,CLC,LL,3,,1,,,3,,,,,,,6,,,,1,,5,,,,,,,,,,,40,,20,,,,3,,,,25,,,,,,,,22,,,,,,,,,,4,,3,,1,,,,,,,,1,,,1,,,,24,27,30,32,24
elk,CL1,LL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,17,,,,4,,,,6,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,7,,,,90,39,31,35,31
elk,CL1,LL,2,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,41,,6,,,,,,,,5,9,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,1,,,12,,,,80,25,25,28,31
elk,CL1,LL,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,35,,28,,,,1,,,,3,19,,,,,,,,,,,,,,,,,36,,,,2,,,,,,,,,,,9,,,,68,24,19,27,23
elk,CL1,SD,1,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,17,,43,,,,,,,,11,1,,,,,,,,,,,1,,,,,6,31,,,,,,,,,,,,,,,12,,,,27,20,26,35,45
elk,CL1,SD,2,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,,,,,,,17,1,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,9,,,,65,23,51,53,23
elk,CL1,SD,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,15,,30,,,,,,,,22,12,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,7,,,,72,20,13,21,13
elk,CLA,LL,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,25,,31,,,,,,,,39,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,22,,,,36,20,32,26,27
