,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,CLA,SD,1,,,1,3,12,,,35,,,,,,,,,55,,,,,,,,,,,6,,,,,,,,,,,,,,,3,,,,,,31,
elk,CLA,SD,2,,1,4,17,,,6,2,,,,,,,,,28,,,,,11,,,,,,13,,,,,9,,1,,3,,,,,,,,,,,,36,
elk,CLA,SD,3,,,1,,64,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,36,
elk,NM,LL,1,,,,4,,,,28,,38,,,,,,,4,,8,,,,,,,,,,,,,,,,3,,10,,,,,,23,,,,,,7,
elk,NM,LL,2,,,,,1,,,47,,71,,,,,,,,,,,,,,,,2,,,,,,,,,17,,,,,,,,6,,,,,,3,
elk,NM,LL,3,,,1,3,2,,1,47,,,,,,,,,20,,7,,,,,,,,,1,,,,,,,3,,1,,,,,,30,,,,,,1,
elk,NM,LL,4,,,21,,1,,,9,,36,,,,,,,4,,8,,,,,,,,,3,,,,,,,,,,,,,,,24,,,,,,2,
elk,NM,LL,5,,,,3,,,,30,,2,,,,,,,44,,11,,,,,,,,,,,,,,,,,,10,,,,,,8,,,,,,26,
elk,NM,LL,6,,,5,,11,,,48,,45,,,,,,,4,,4,,,,,,,,,,,,,,,,2,,,,,,,,15,,,,,,6,
elk,CLB,LL,1,,2,,3,28,,,6,,15,,,,,1,,11,,,,,,,,,16,,12,,,,,,,,,,,,,,,10,,,,,,32,
elk,CLB,LL,2,,,,16,,,5,4,,,,,,,1,,16,,,,,11,,,,,,55,,,,,,,5,,3,,,,,1,4,,,,,,11,
elk,CLB,LL,3,,,6,1,,,,4,,,,,,,,,23,,,,,2,,,,,,43,,,,,14,,9,,9,,,,,,,,,,,,42,
elk,CLB,SD,1,,,29,,2,,,6,,14,,,,,,,35,,6,,,13,,,,,,13,,,,,11,,7,,3,,,,,,1,,,,,,26,
elk,CLB,SD,2,,,,3,,,,7,,,,,,,,,16,,,,,,,,,,,76,,,,,,,,,,,,,,,3,,,,,,33,
elk,CLB,SD,3,,,4,5,,,21,,,,,,,,,,17,,,,,12,,,,,,28,,,,,2,,,,18,,,,,,3,,,,,,16,
elk,CLC,LL,1,,,3,,41,,,16,1,,,,,,,,30,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,60,
elk,CLC,LL,2,,,2,,12,,,8,,,,,,2,3,,58,,,,,,,,,,,35,,,,,10,,1,,4,,,,,,,,,1,,,28,
elk,CLC,LL,3,,1,8,14,8,,1,1,,,,,,,5,,19,,1,,,,,,,,,23,,,,,5,,1,,4,,,,,,,,,,,1,46,
elk,NM,SD,1,,1,5,4,4,2,,25,,39,,,,,,,3,,2,,,,,,,6,,,,,,,,,,,,,,,,,10,,,,,,32,
elk,NM,SD,2,,,2,4,8,,5,1,,35,,,1,1,,,3,,1,,,,,,,,,16,,,,,,,,,,,,,,,19,,,,,,28,
elk,NM,SD,3,,,2,3,6,,,10,,17,,,,,,,9,,8,,,,,,,,,,,,,,,,6,,,,,,,,20,,,,,,37,
elk,CONTROL,,1,,2,,,2,1,,27,,12,,,,1,,,16,,5,,,,,,,,,3,,,,,,,19,,4,,,,,,19,,,,,,25,
elk,CONTROL,,2,,,1,2,34,,,20,,2,,,,,,,,,18,,,,,,,1,,,,,,,,,2,,,,,,,,29,,,,,,9,
elk,CONTROL,,3,,,2,,9,,,6,,6,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,56,,,,,,21,
elk,GRAZED,,1,,,,19,,,3,5,,,,,,,,1,9,,2,,,,,,,,5,28,,,,,,,,,8,,,,,,11,,,,,,47,
elk,GRAZED,,2,,,2,6,,,,34,,,,,,,,,14,,,,,,,,,,,29,,,1,,,,,,,,,,,,10,,,,,,16,
elk,GRAZED,,3,,,7,18,,,,13,,,,,,,,,1,,1,,,,,,,,,32,,,3,,,,,,,,,,,,21,,,,,,14,
