,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,FREQ,TREAT,REP,aircar,anaarv,avebar,bare,brach,brassp,brimin,brodia,camova,carpyc,cartum,cerglo,conarv,cynech,dancal,dung,erobot,esccal,gerdis,hollan,hornur,hypgla,hyprad,junbuf,junpat,junpha,linbie,lolmul,lupnan,lythys,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,stipul,solses,sonasp,sonole,thatch,triang,tridub,trisub,verpur,vicia,vulpia,Comments
elk,CL1,LL,1,,,,4,,,,,,1,,,,,,,63,,13,,,37,6,,,,,,,,,,2,,,1,,,,,,,,,,,,,27,
elk,CL1,LL,2,,,4,1,,,1,,,,,,,,16,,22,,1,,,,,,,,,,,,,,36,,,,,,,,,,1,,,,,,46,
elk,CL1,LL,3,,1,13,11,1,,1,1,,,,,,,3,,62,,,,,,,,,,,,,,,,10,,,,16,,,,,,3,,,,,,20,
elk,CL1,SD,1,,,28,6,5,,,2,2,,,,,,,,76,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,5,
elk,CL1,SD,2,,,3,,4,,1,2,1,,,,,,8,,59,,2,,,2,,,,,,,,,,,29,,,,2,,,,,,,,,,,,26,
elk,CL1,SD,3,,4,12,3,,,1,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,31,
elk,CLA,LL,1,,,1,1,40,,,3,2,1,,,,,,,68,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,33,
elk,CLA,LL,2,,,,2,11,,3,7,,,,,,,10,,14,,,,,,,,,,,25,,,,,16,,,,7,,,,,,3,,,,,,52,
elk,CLA,LL,3,,,,1,,,2,3,,,,,,,15,,48,,,,,5,,,,,,44,,,,,7,,,,4,,,,,,1,,,1,,,31,
