SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,broter,calcil,camova,carex,cerglo,cirarv,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,phaaqu,naspul,plalan,poaann,rumace,rumpul,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,trisub,vicia,vulpsp,brohor,carpyc,sonasp,conarv,hormur
elk,cl2,LL,3,,,,,,,,,,,13,,,3,,,,,20,,38,,,,14,,,,,,,,,,,,12,,,,,,,,,4,,,13,,44,,1,,,
elk,cl2,RE,1,,,,,,,,,,,,,,,,,,,13,,59,,,,2,,,,,,,3,,,,,1,,,,,,,,,,,,15,,62,,,,,
elk,cl2,RE,2,,,,,,,,,,,1,,,,,,,,14,,37,,,,,,3,1,,,,,,,,,10,,,,1,,,,,5,,,7,,39,42,,,,
elk,cl2,RE,3,,,,,,,,,,,2,,,1,,,,,13,,34,,,,,,1,1,,,2,,,,,,,,,,6,,,,,7,,1,9,,55,23,,,,
elk,cl2,SD,1,,,,,,,,,,,3,,,,,,,,5,,78,,,,4,,,,,,,,2,,,,,,,,,,,,,,1,,15,,92,,,,,
elk,cl2,SD,2,,,,,,,,,,,3,,,,,,,,8,,53,,,,1,,42,5,,,,,,,,,9,,,,,,,,,,,,27,,71,,,,,
elk,cl2,SD,3,,,,17,,,,,,,1,,,,,,,,13,,42,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,60,15,,,,
elk,cl3,LL,1,,3,,,4,,,,,,,,,2,,,,,26,,19,,,,2,,,,,,,,,,,,,,,,4,,,,,2,,,38,,67,,,,,
elk,cl3,LL,2,,,,,,,,,,,1,,,,,,,,10,,13,,,,8,,6,,,,,,3,,,,,27,,,,,,,,2,,,50,,60,,,,,
elk,cl3,LL,3,,,,,4,,,,,,2,,,,,,,,34,,9,,,,1,,4,,,,,,,,,,4,60,,,,,,,,,,,58,,18,,,,,
elk,cl3,RE,1,,,,,,,,,,,,,,2,,,,,19,,29,,,,3,,5,4,,,,,,,,,5,27,,,6,,1,,,1,,,46,,56,,,,,
elk,cl3,RE,2,4,2,,,1,,,,,,,,,1,,,,,21,,46,,,,,,3,,,,,,,,,,1,23,3,,7,,,,,3,,3,34,,32,,,1,,
elk,cl3,RE,3,,,,,,,,,,,,,,,,,,,5,,43,,,,2,,2,,,,,,,,,,,10,,,6,,1,,,2,,,56,,29,,,,,
elk,cl3,SD,1,,1,,,,,,,,,1,,,,,,,1,11,,73,,,,11,,,1,,,,,,,,,2,11,2,,19,,1,,,3,,,14,,40,,,,,
elk,cl3,SD,2,,2,,,,,,,,,,,,,,,,,12,,67,,,,7,,,7,,,,,,,,,2,13,,,18,,2,,,1,,,42,,34,,,,,
elk,cl3,SD,3,,,,,,,,,,,,,,3,,,,2,13,,39,,,,4,,,,,,,,,,,,1,,,,18,,,,,2,,2,36,,51,,,,,
elk,con,none,1,,2,,,,,,,,,9,,,,,,,1,,,35,,,,11,,,,,,,,4,,,,,,5,,,,,,,7,,,,,65,,7,,,
elk,con,none,2,,4,,,,,,,,,4,,,,,,,6,,,21,,,,5,,,,,,,4,11,,,,,,11,,3,,,,,15,,,,,40,,7,,,
elk,con,none,3,,2,,,1,,,,,,3,,,,,,,,,,23,,,,5,,2,,,,,,7,,,,,,,,,,,,,34,,,,,26,,12,,,
elk,graz,none,1,,,,,,,,,,,1,,,,,,,,27,,25,,,,,,3,,,,,,15,,,,1,,,,4,,,,,,,,40,,82,,,,1,
elk,graz,none,2,,,,1,,,,,,,2,,,,,,,,3,1,59,,,,,,,,,,,,9,,,,,,,,,,,,,2,,,6,,53,3,,,,
elk,graz,none,3,,,,,3,,,,,,2,,,,,,,1,8,,63,,,,2,,,,,,,,3,,,,2,,,,,,,,,,,2,9,,71,,,,,
elk,graz,none,4,,,,,3,,,,,,1,,,,,,,,3,,82,,,,4,,,,,,,,28,,,,,,2,,,,,,,1,,,10,,42,,,,,2
elk,graz,none,5,,,,,1,,,,,,11,,,,,,,,,,70,,,,1,,,,,,,,,,,,6,,1,,,,,,,4,,2,8,,34,,,,,
elk,graz,none,6,,,,,,,,,,,3,,,,,,,,6,,47,,,,,,,,,,2,,17,,,,,,,,,,,,,1,,,13,,60,,,,,
