SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,broter,calcil,camova,carex,cerglo,cirarv,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,phaaqu,naspul,plalan,poaann,rumace,rumpul,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,trisub,vicia,vulpsp,brohor,carpyc,sonasp,conarv,hormur
elk,cl1,LL,1,,,,,,,,,,,,,,,,,,,19,,22,,,,23,,,,,,,,,,,,5,,,,,,,,,2,,,3,,88,2,,,,
elk,cl1,LL,2,,2,,,,,,,,,,26,,,,,,,36,,17,,,,9,,,5,,,,,,,,,15,,,,,,,,,,,2,5,,80,1,,,,
elk,cl1,LL,3,,1,,,,,,,,,,,,,,,,,17,,28,,,,1,,,,,,,,,,,,24,1,,,,,,,,,,,34,,74,,,,,
elk,cl1,RE,1,,,,,,,,,,,,,,,,,,,5,,84,,,,8,,,,,,,,,,,,2,2,,,2,,,,,,,,13,,61,,,,,
elk,cl1,RE,2,,,,,,,,,,,,,,1,,,,,10,,42,,,,7,,,,,,4,,,,,,7,,,,,,,,,1,,2,21,,79,,,,,
elk,cl1,RE,3,,,,,,,,,,,,,,,,,,,3,,67,,,,5,,1,1,,,,,,,,,13,,,,2,,,,,1,,,22,,83,,,,,
elk,cl1,SD,1,3,3,,,,,,,,,1,,,,,,,1,16,,60,,,,1,,,,,,,,1,,4,,10,,,,1,,,,,1,,5,15,,26,,,,,
elk,cl1,SD,2,1,,,21,,,,,,,,,,1,,,,,1,,62,,,,4,,1,,,,,,,,,,10,,,,,,,,,5,,1,9,,47,,,,,
elk,cl1,SD,3,,2,,,,,,,,,,,,,,,,,12,,40,,,,,,1,3,,,,,,,,,4,,,,,,,,,2,,1,18,,82,,,,,
elk,cl2,LL,1,,,,,,,,,,,21,,,,,,,,27,,10,,,,3,,1,,,,,,1,,,,1,,,,1,,,,,5,,,17,,71,1,,,,
elk,cl2,LL,2,,,,,,,,,,,15,,,,,,,,24,,20,,,,2,,,,,,,,2,,,,,,,,,,,,,14,,,20,,45,1,,,,
