SITE,FREQ,TreAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,broter,brohor,bromsp,calcil,camova,carex,cerglo,cirarv,cynech,dancal,diccap,dung,elemac,epibra,erobot,erocic,eromos,esccal,gerdis,gnapur,hirinc,hollan,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,phaaqu,medpol,moss,naspul,plalan,poaann,rapsat,rumace,rumpul,rumcri,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,tripus,trisub,vicia,vulpsp
elk,cl1,ll,1,,,,,,,,,,,3,,,,,,,,,,58,,,,,6,,,,69,,,,,,,,,,,20,,,,,,21,,,,,,,,,,,,2,,,4,,48
elk,cl1,ll,2,,,,,,,,,,,,4,,,,,,,,,66,,,,,3,,,,40,,,,,,,,,,,,8,,,,,6,,,,,,,,,,,,9,,,3,,26
elk,cl1,ll,3,,,,,1,,,,,,,,,,,,,,,,75,,,,,11,,,,2,,,,,,,,,1,,,,,,,,23,,,,,,,,,,,,2,1,,8,,13
elk,cl1,re,1,,1,,,,,,,,,,,,,,,,,,,42,,,,,32,,,,22,,,,,,,6,,,1,6,,,,,,1,,,1,,,,,,,,1,1,,,8,,19
elk,cl1,re,2,,,,,,,,,,,,,,,,,,,,,50,,,,,4,,,,28,,,,,,,,,7,,,2,,,,,16,,,,,,,,,,,1,6,,,2,,13
elk,cl1,re,3,,2,,,,,,,,,,,,,,,,2,,,71,,,,,9,,,,16,,,,,,1,,,,,,1,,,,,6,,,,,,,,,,,,9,2,,18,,20
elk,cl1,sd,1,,2,,,,,,,,,,,,,,,,1,,,45,,,,,29,,,,16,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,1,5,,,9,,25
elk,cl1,sd,2,,,,,10,,,,,,2,,,,,3,,,,,61,,,,,18,2,,,32,,,,,2,,,,,,,,,,,,24,,,,,,1,,,,,,5,1,,17,,57
elk,cl1,sd,3,1,,,,,,,,,,,,,,,1,,,,,73,,,,,24,,,,7,,,,,5,,,,,,,,,,,,7,,,1,,,3,,,,,,,3,,22,,42
elk,cl2,ll,1,,,,,,,,,,,,,,,,,,,,,33,,,,,3,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,3,,99
elk,cl2,ll,2,,3,,,,,,,,,1,,,,,1,,,,,63,,,,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,14,,59
elk,cl2,ll,3,1,,,,,,,,,,1,,,,,,,2,,,54,,,,,19,,,,19,,,,,7,,,,,,,,,,,,5,,,,,,1,,,,,1,1,,,8,,64
elk,cl2,re,1,,1,,,,,,,,,3,,,,,,,,,,35,,,,,19,,,,8,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,1,,,10,,71
elk,cl2,re,2,,,,,7,,,,,,,,,,,2,,1,,,27,,,,,5,,,,11,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,,4,,,3,,84
elk,cl2,re,3,,,,,,,,,,,,,,,,,,3,,,66,,,,,18,3,,,8,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,1,4,,22,,86
elk,cl2,sd,1,,,,,,,,,1,,,,,,,,,,,,56,,,,,7,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,82
elk,cl2,sd,2,4,,,,,,,,,,1,,,,,1,,1,,,46,,,,,9,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,12,,60
elk,cl2,sd,3,,,,,,,,,1,,2,,,,,1,,,,,60,,,,,15,20,,,7,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,34,,80
elk,cl3,ll,1,,2,,,,,,,,,,,,,,4,,,,,67,,,,,9,,,,17,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,11,,26
elk,cl3,ll,2,,1,2,,,,,,3,,,,,,,,,9,,,71,,,,,11,3,,,52,,,,,1,2,,,,,1,,,,,,4,,,,,,4,,,,,,1,2,,18,,55
elk,cl3,ll,3,,,,,,,,,,,,,,,,,,,,,59,,,,,9,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,25,,43
elk,cl3,re,1,,2,,,1,,,,3,,,,,,,,,,,,61,,,,,7,,,,21,,,,,1,,2,,,,,,,,,,4,1,,7,1,,1,,,,,,1,5,,17,,26
elk,cl3,re,2,,5,,,,,,,2,,,,,,,,,2,,,57,,,,,30,1,,,21,,,,,,1,,,,,1,,11,,,,9,,,3,,,3,,,,,,2,9,,32,,48
elk,cl3,re,3,,,,,,,,,,,,,,,,,,,,,18,,,,,28,,,,18,,,,,,,,,,,1,,,,,,4,,,,,,6,,1,,,,4,2,,11,,76
elk,cl3,sd,1,,,,,1,,,,,,,,,,,,,,,4,21,,,,,25,,,,25,,,,,,,,,,,,,,,,,22,,,4,,,,,,,,,1,3,,,,79
