SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,bromin,brocar,brodia,broter,calcil,camova,carex,cerglo,chamisonia,cirarv,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,moss,phaaqu,naspul,plalan,poaann,rumace,rumpul,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,trisub,vicia,vulpsp,branig,brohor
UCSC,CL1,LL,1,,,,,1,30,,,,,,,,,,,,,,,,55,2,,,,,,,,,,,,,1,,,,,,,,,,,,24,,,,,3,,
UCSC,CL1,LL,2,,,,9,31,24,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,4,,,,,,,8,,,,,2,,
UCSC,CL1,LL,3,,1,,8,2,46,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,,,,,,1,,,,,,,15,,,,,,,
UCSC,CL1,RE,1,,,,,8,37,,,,,2,,,,,,,,,,,57,3,,,,,,,,,,,,,1,,18,,,1,,,,,,,6,,,,,,,
UCSC,CL1,RE,2,,,,,6,47,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,,,,,,1,,,,,,,8,,,,,,,
UCSC,CL1,RE,3,,1,,,12,30,,,,,,,,,,,,,,,,53,1,,,,,,,,,,,,,2,,,,,1,,,,,,,11,,,,,,,
UCSC,CL1,SD,1,,,,,25,20,,,,,,,,,,,,,,,,31,8,,2,,,,,,,,,,,,,13,,,,,,,,,5,4,,,,,2,,
UCSC,CL1,SD,2,,,,,25,13,,,,,,,,,,,,,,,,31,5,,1,,,,,,,,,,,2,,5,,,3,,,,,,8,14,,,,,,,
UCSC,CL1,SD,3,,,,1,17,36,,,,,,,,,,,,,,,,37,9,,,,,,,,,,,,,3,,,,,2,,,,,,1,11,,,,,,,
UCSC,CL2,LL,1,,,,,13,30,,,,,8,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,1,,,,,,,28,,,,,,,
UCSC,CL2,LL,2,,,,3,4,24,,,,,2,,,,,,,,,,,74,1,,,,,,,,,,,,,,,,,,3,,,,,,,14,,,,,10,,
UCSC,CL2,LL,3,,,,5,3,6,,,,,1,,,,,,,,,,,50,,,,,,,,,,,,,,,,,1,,,,,,,,,40,,,,,4,,
UCSC,CL2,RE,1,,,,,9,2,,,,,,,,,,,,,,,,70,3,,,,,,,,,,,,,,,,,,2,,,,,,,10,,,,,10,,
UCSC,CL2,RE,2,,,,,8,4,,,,,,,,,,,,,,,,57,3,,,,,,,,,,,,,,,,,,1,,,,,,,24,,,,,12,,
UCSC,CL2,RE,3,,,,2,5,6,,,,,2,,,,,,,,,,,69,13,,,1,,,,,,,,,,,,,,,9,,,,,,,8,,,,,15,2,
UCSC,CL2,SD,1,,,,,7,5,,,,,11,,,,,,,,,,,55,1,,,,,,,,,,,,,,,33,,,1,,,,,,7,5,,,,,5,,
UCSC,CL2,SD,2,,,,5,21,2,,,,,1,,,,,,,,,,,54,1,,,,,,,,,,,,,,,7,,,3,,,,,,4,7,,,,,6,,
UCSC,CL2,SD,3,,,,2,6,3,,,,,,,,,,,,,,,,68,2,,,,,,,,,,,,,1,,3,,,,,,,,,1,16,,,,,7,,
UCSC,CL3,LL,1,,,,,15,22,,,,,,,,,,,,,,,,43,18,,,,,,,,,,,,,2,,,,,4,,,,,,,8,,,,,3,,
UCSC,CL3,LL,2,,,,,4,14,,,,,,,,,,,,,,,,61,4,,,,,,,,,,,,,1,,2,,,,,,,,,,15,,,,,10,,
UCSC,CL3,LL,3,,3,,,8,17,,,,,,,,,,,,,,,,60,2,1,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,6,,
