"","site","wateryear","total_precip","mean_minT","mean_maxT","mean_meanT","mean_vpdmax","mean_vpdmin","mean_vpdmean","win_precip","win_minT","win_maxT","win_meanT","win_vpdmax","win_vpdmin","win_vpdmean"
"1","Angelo",1950,1283.208,5.75308641975309,21.0432098765432,13.3888888888889,19.3911111111111,1.43333333333333,10.4122222222222,782.574,-0.472222222222222,10.1388888888889,4.80555555555556,5.635,0.28,2.9575
"2","Angelo",1951,2171.954,6.0462962962963,19.962962962963,13,16.8025,1.35333333333333,9.07791666666667,1185.418,2.38888888888889,10.8518518518519,6.62962962962963,4.93666666666667,0.266666666666667,2.60166666666667
"3","Angelo",1952,2500.63,5.4537037037037,18.7962962962963,12.125,15.7891666666667,1.28916666666667,8.53916666666667,1525.27,0.166666666666666,8.77777777777778,4.48148148148148,4.55666666666667,0.24,2.39833333333333
"4","Angelo",1953,2532.888,5.23148148148148,19.0833333333333,12.1481481481481,15.295,1.04416666666667,8.16958333333333,1606.804,2.2037037037037,11.462962962963,6.83333333333333,5.89,0.37,3.13
"5","Angelo",1954,2359.152,5.09722222222222,19.6712962962963,12.3888888888889,15.8241666666667,0.959166666666667,8.39166666666667,1230.63,1.68518518518519,12.8888888888889,7.2962962962963,7.45333333333333,0.43,3.94166666666667
"6","Angelo",1955,1406.144,3.72222222222222,19.1527777777778,11.4351851851852,16.2208333333333,0.896666666666667,8.55875,653.034,-0.277777777777778,11.3148148148148,5.51851851851852,6.95333333333333,0.463333333333333,3.70833333333333
"7","Angelo",1956,2902.966,5.11574074074074,19.1990740740741,12.1574074074074,15.2116666666667,0.873333333333333,8.0425,2261.87,1.96296296296296,11.2592592592593,6.62962962962963,5.75,0.41,3.08
"8","Angelo",1957,1978.66,4.92592592592593,19.3055555555556,12.1111111111111,15.3,0.941666666666667,8.12083333333333,786.13,-0.185185185185185,11.7592592592593,5.77777777777778,6.86,0.306666666666667,3.58333333333333
"9","Angelo",1958,3105.658,6.18981481481482,19.5787037037037,12.8935185185185,15.2558333333333,0.865,8.06041666666667,1884.68,3.03703703703704,12.5,7.75925925925926,6.21333333333333,0.386666666666667,3.3
"10","Angelo",1959,1719.326,5.42592592592593,20.8518518518519,13.1388888888889,17.7033333333333,1.11416666666667,9.40875,1196.086,2.03703703703704,13.3703703703704,7.68518518518519,7.64666666666667,0.326666666666667,3.98666666666667
"11","Angelo",1960,1733.55,4.82407407407407,20.3518518518519,12.5833333333333,17.9375,1.09,9.51375,1011.428,0.500000000000001,11.8333333333333,6.14814814814815,7.18333333333333,0.44,3.81166666666667
"12","Angelo",1961,2044.446,5.36574074074074,19.8055555555556,12.5787037037037,16.4283333333333,1.00166666666667,8.715,945.896,1.83333333333333,13.3333333333333,7.59259259259259,7.86333333333333,0.586666666666667,4.225
"13","Angelo",1962,1624.33,4.68981481481481,20.0231481481481,12.3564814814815,17.1841666666667,1.05166666666667,9.11791666666667,826.262,0.648148148148148,12.6111111111111,6.62962962962963,7.83333333333333,0.45,4.14166666666667
"14","Angelo",1963,2175.002,5.86574074074074,19.4027777777778,12.6296296296296,14.7483333333333,1.0175,7.88291666666667,690.88,2.68518518518519,14.4259259259259,8.53703703703704,8.16666666666667,0.64,4.40333333333333
"15","Angelo",1964,1588.262,4.79166666666667,19.5787037037037,12.1805555555556,16.0658333333333,1.02,8.54291666666667,594.106,0.555555555555556,13.6296296296296,7.09259259259259,8.71,0.483333333333333,4.59666666666667
"16","Angelo",1965,2555.24,5.52314814814815,19.6666666666667,12.5925925925926,15.8625,1.0975,8.48,1720.596,2.64814814814815,12.8703703703704,7.74074074074074,6.94,0.483333333333333,3.71166666666667
"17","Angelo",1966,1772.666,5.4537037037037,20.1944444444444,12.8240740740741,17.6275,1.40083333333333,9.51416666666667,1060.704,0.88888888888889,11.4074074074074,6.14814814814815,6.61666666666667,0.593333333333333,3.605
"18","Angelo",1967,2086.61,5.52314814814815,20.2453703703704,12.8842592592593,17.5741666666667,1.17666666666667,9.37541666666667,910.082,1.96296296296296,13.8703703703704,7.92592592592593,8.50333333333333,0.663333333333333,4.58333333333333
"19","Angelo",1968,1782.064,5.75462962962963,20.375,13.0648148148148,17.07,1.44166666666667,9.25583333333333,1052.83,1.59259259259259,12.9444444444444,7.27777777777778,7.62,0.57,4.095
