family,common family name,letter code_4,letter code_6,SCIENTIFIC NAME,GENUS,SPECIES,SUBSPECIES/VARIETY,SYNONYM,NewCode,COMMON NAME,sink,salt,grass,desert,juniper,oak,seep,form,soda,central,western,mountain,elkhorn,teblor,flowering months,flower color,native?,gkr prefer?,reference code,comments,newform
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alfi,allfim,Allium fimbriatum,Allium,fimbriatum,,,allfim,wild onion,,,,x,,,,p,,,,,,,06-May,p,n,,s,,np
POLYGONACEAE,BUCKWHEAT FAMILY,algi,allgil,Allophyllum gilioides,Allophyllum,gilioides,,,allgil,,,,,,,,,nh,,,,,,,,,n,,b,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alho,allhow,Allium howellii,Allium,howellii,,,allhow,Howell's onion,,,,x,,,,p,,,,,,x,06-May,w,n,,t,,np
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,allium,allium,Allium sp.,Allium,sp.,,,allium,,,,,,,,,p,,,,,,,,,n,,,,np
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alla,alllac,Allium lacunosum,Allium,lacunosum,,,alllac,pitted onion,,,C,C,x,,,p,,,C,,C,,06-May,w,n,,h,,np
CHENOPODIACEAE,GOOSEFOOT FAMILY,aloc,allocc,Allenrolfea occidentalis,Allenrolfea,occidentalis,,,allocc,iodine bush,C,,,,,,,s,C,,,,,,07-Jan,,n,,t,,ns
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alpe,allpen,Allium peninsulare,Allium,peninsulare,,,allpen,purple wild onion,,,,x,,,,p,,,,,,x,06-Apr,r,n,,h,,np
POACEAE (GRAMINEAE),GRASS FAMILY,alsa,alosac,Alopecurus saccatus,Alopecurus,saccatus,,,alosac,,,,,,,,,na,,,,,,,,,n,,dk,,na
AMARANTHACEAE,PIGWEED FAMILY,amal,amaalb,Amaranthus albus,Amaranthus,albus,,,amaalb,tumbleweed,,,x,,,,,h,,x,,,,,10-Jun,,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,amac,ambaca,Ambrosia acanthicarpa,Ambrosia,acanthicarpa,,,ambaca,annual bur-sage,,,x,,,,,h,,x,,,,,10-Sep,,n,,k,,nh
BORAGINACEAE,BORAGE FAMILY,ammein,ammein,Amsinckia menziesii v intermedia,Amsinckia,menziesii,intermedia,,ammein,rancher's fireweed,,x,C,C,C,,,h,x,C,C,,,,05-Mar,o,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,ammeme,ammeme,Amsinckia menziesii v menziesii,Amsinckia,menziesii,menziesii,,ammeme,rancher's fireweed,,,x,,,,,h,,x,,,,,05-Mar,y,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,amdo,amsdou,Amsinckia douglasiana,Amsinckia,douglasiana,,,amsdou,fiddleneck,,,,C,C,,,h,,,C,,C,C,06-May,y,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,amly,amslyc,Amsinckia lycopsoides,Amsinckia,lycopsoides,,,amslyc,fiddleneck,,,x,,,,,h,,x,,,,,06-Mar,y,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,amte,amstes,Amsinckia tessellata,Amsinckia,tessellata,,,amstes,devil's lettuce,,,,x,,,,h,,,,,,x,05-Mar,y,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,amvefu,amvefu,Amsinckia vernicosa v furcata*,Amsinckia,vernicosa,furcata,,amvefu,forked fiddleneck. rare,,,,x,,,,h,,,,x,x,,05-Mar,o,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,amveve,amveve,Amsinckia vernicosa v vernicosa,Amsinckia,vernicosa,vernicosa,,amveve,,,,,,,,,nh,,,,,,,,,n,,"b,f",,nh
ASTERACEAE,SUNFLOWER FAMILY,anfi,ancfil,Ancistrocarphus filagineus (Stylocline f.),Ancistrocarphus,filagineus,,Stylocline filagineus,ancfil,woolly fishhooks,,,,,,,,h,,,,,,,05-Apr,,n,,n,,nh
PRIMULACEAE,PRIMROSE FAMILY,anel,andelo,Androsace elongata ssp acuta,Androsace,elongata,acuta,,andelo,rock jasmine,,,,x,,,,h,,,,,,x,05-Mar,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,anac,aniaca,Anisocoma acaulis,Anisocoma,acaulis,,,aniaca,,,,,,,,,h,,,,x,,,,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,anco,antcot,Anthemis cotula,Anthemis,cotula,,,antcot,,,,,,,,,ih,,,,,,,,,i,,s,,ih
SCROPHULARIACEAE,FIGWORT FAMILY,anov,antova,Antirrhinum ovatum*,Antirrhinum,ovatum,,,antova,oval-leaved snapdragon. rare,,,,x,,,,h,,,,x,,,06-May,p,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,arpu,arapul,Arabis pulchra,Arabis,pulchra,,,arapul,desert rock cress,,,,x,,,,p,,,,x,,,06-Apr,p,n,,h,,np
ASTERACEAE,SUNFLOWER FAMILY,arca,artcal,Artemisia californica,Artemisia,californica,,,artcal,California sagebrush,,,,C,C,x,,s,,,C,,,,10-Sep,,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,ardo,artdou,Artemisia douglasiana,Artemisia,douglasiana,,,artdou,mugwort,,,,,,,x,p,,,,,,,10-Jul,,n,,v,,np
ASTERACEAE,SUNFLOWER FAMILY,ardr,artdra,Artemisia dracunculus,Artemisia,dracunculus,,,artdra,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
ERICACEAE,HEATH FAMILY,argl,artgla,Arctostaphylos glauca,Arctostaphylos,glauca,,,artgla,bigberry manzanita,,,,,x,x,,s,,,,x,,,03-Nov,w,n,,t,,ns
APIACEAE,CARROT FAMILY,erar,aryari,Eryngium aristulatum v hooveri,Eryngium,aristulatum,hooveri,,aryari,,,,,,,,,np,,,,,,,,,n,,"b,cs",,np
ASCLEPIADACEAE,MILKWEED FAMILY,aser,ascero,Asclepias erosa,Asclepias,erosa,,,ascero,desert milkweed,,,x,,,,,h,,x,,,,,,w,n,,t,,nh
ASCLEPIADACEAE,MILKWEED FAMILY,asfa,ascfas,Asclepias fascicularis,Asclepias,fascicularis,,,ascfas,narrow-leaf milkweed,,,x,,,,,h,,x,,,,,08-Jun,w,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),asas,astasy,Astragalus asymmetricus,Astragalus,asymmetricus,,,astasy,horse loco,,,,x,,,,p,,,,,,x,10-Sep,w,n,,t,,np
FABACEAE,LEGUME FAMILY (PEA FAMILY),asdi,astdid,Astragalus didymocarpus,Astragalus,didymocarpus,,,astdid,two-seeded milkvetch,,,x,x,,,,h,,,,,x,,06-Mar,w,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),asdo,astdou,Astragalus douglasii,Astragalus,douglasii,,,astdou,,,,,,,,,np,,,,,,,,,n,,b,,np
ASTERACEAE,SUNFLOWER FAMILY,assp,aster,Aster sp.,Aster,sp.,,,aster,purple aster,,,x,,,,,h,,,x,,,x,09-Apr,p,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),asle,astlen,Astragalus lentiginosus v nigricalycis,Astragalus,lentiginosus,nigricalycis,,astlen,freckled milkvetch,,,C,C,C,,,p,,C,C,,C,,06-Feb,w,n,,t,,np
FABACEAE,LEGUME FAMILY (PEA FAMILY),asma,astmac,Astragalus macrodon,Astragalus,macrodon,,,astmac,Salinas milkvetch. uncommon,,,,x,,,,p,,,,,,x,06-Apr,w,n,,h,,np
FABACEAE,LEGUME FAMILY (PEA FAMILY),asox,astoxy,Astragalus oxyphysus,Astragalus,oxyphysus,,,astoxy,diablo loco,,C,C,C,x,,,p,,C,C,,C,,06-Apr,w,n,,t,,np
,,astra,astrag,Astragalus sp.,Astragalus,sp.,,,astrag,,,,,,,,,h,,,,,,,,,n,,,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,atcaca,atcaca,Atriplex canescens ssp canescens,Atriplex,canescens,canescens,,atcaca,,,,,,,,,ns,,,,,,,,,n,,b,,ns
BRASSICACEAE,MUSTARD FAMILY,atpu,athpus,Athysanus pusillus,Athysanus,pusillus,,,athpus,,,,,x,,,,h,,,,,,x,04-Feb,w,n,,t,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,atar,atrarg,Atriplex argentea,Atriplex,argentea,,,atrarg,silverscale,C,C,C,,,,,h,C,x,,,,,10-Jun,,n,,t,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,atca,atrcan,Atriplex canescens,Atriplex,canescens,,,atrcan,fourwing saltbush,,,,x,,,,s,,,,,x,,10-Jul,,n,,h,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,atco1,atrcon,Atriplex confertifolia,Atriplex,confertifolia,,,atrcon,oval-leaf saltbush,,,,x,,,,s,,,,x,,,10-Jul,,n,,j,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,atco2,atrcor,Atriplex coronata,Atriplex,coronata,,,atrcor,crownscale,C,x,,,,,,h,C,,,,,,08-May,,n,,t,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,atfr,atrfru,Atriplex fruticulosa,Atriplex,fruticulosa,,,atrfru,ball saltbush,,x,C,,,,,p,,C,x,,x,,11-Apr,,n,,t,,np
CHENOPODIACEAE,GOOSEFOOT FAMILY,atle,atrlen,Atriplex lentiformis,Atriplex,lentiformis,,,atrlen,big saltbush,,,,x,,,,s,,,x,,,,11-Jul,,n,,h,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,atph,atrphy,Atriplex phyllostegia,Atriplex,phyllostegia,,,atrphy,arrowscale,,x,,,,,,h,,x,,,,,08-Apr,,n,,k,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,atpo,atrpol,Atriplex polycarpa,Atriplex,polycarpa,,,atrpol,common saltbush,,C,,C,,,,s,,x,C,,C,,10-Jul,,n,,t,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,atro,atrros,Atriplex rosea,Atriplex,rosea,,,atrros,tumbling oracle,,,,x,,,,h,,,x,,,,10-Jul,,i,,t,,ih
CHENOPODIACEAE,GOOSEFOOT FAMILY,atsp,atrspi,Atriplex spinifera,Atriplex,spinifera,,,atrspi,spiny saltbush,x,C,,C,,,,s,C,C,,,C,,06-Apr,,n,,t,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,atsu,atrsub,Atriplex suberecta,Atriplex,suberecta,,,atrsub,,,,,,,,,ih,,,,,,,,,i,,b,,ih
CHENOPODIACEAE,GOOSEFOOT FAMILY,atva,atrval,Atriplex vallicola*,Atriplex,vallicola,,,atrval,Lost Hills crownscale,x,x,,,,,,h,x,,,,,,09-May,,n,,t,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,avba,avebar,Avena barbata,Avena,barbata,,,avebar,slender wild oat,,x,C,C,C,,,a,,C,x,,x,,06-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,avfa,avefat,Avena fatua,Avena,fatua,,,avefat,wild oat,,,x,,,,,a,,x,,,,,06-Mar,,i,,t,,ia
ASTERACEAE,SUNFLOWER FAMILY,bado,bacdou,Baccharis douglasii,Baccharis,douglasii,,,bacdou,,,,,,,,,ns,,,,,,,,,n,,b,,ns
ASTERACEAE,SUNFLOWER FAMILY,basa,bacsal,Baccharis salicifolia,Baccharis,salicifolia,,,bacsal,mule fat,,,x,,,,x,s,,x,,,,,most,w,n,,c,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,bahy,bashys,Bassia hyssopifolia,Bassia,hyssopifolia,,,bashys,,,,,,,,,ih,,,,,,,,,i,,b,,ih
ASTERACEAE,SUNFLOWER FAMILY,blna,blenan,Blennosperma nanum,Blennosperma,nanum,,,blenan,,x,x,,,,,,h,x,,,,,,04-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,blpl,bleplu,Blepharizonia plumosa,Blepharizonia,plumosa,,,bleplu,big tarweed,,,x,,,,,h,,,,,,x,11-Sep,w,n,,t,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,blcr,blocro,Bloomeria crocea,Bloomeria,crocea,,,blocro,common goldenstar,,,,,,,,p,,,,x,,,,,n,,h,,np
ASTERACEAE,SUNFLOWER FAMILY,blplvi,blplvi,Blepharizonia plumosa ssp viscida,Blepharizonia,plumosa,viscida,,blplvi,,,,,,,,,nh,,,,,,,,,n,,"b,s",,nh
PTERIDACEAE,BRAKE FAMILY,boin,bowinc,Bowlesia incana,Bowlesia,incana,,,bowinc,,,,,,,,,nh,,,,,,,,,n,,f,,nh
BRASSICACEAE,MUSTARD FAMILY,brni,branig,Brassica nigra,Brassica,nigra,,,branig,black mustard,,,x,,,,,h,,x,,,,,06-Apr,y,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,brne,brinev,Brickellia nevinii,Brickellia,nevinii,,,brinev,Nevin's brickellbush. uncommon,,,,,,,,s,,,,x,,,,,n,,h,,ns
POACEAE (GRAMINEAE),GRASS FAMILY,brar,broare,Bromus arenarius,Bromus,arenarius,,,broare,Australian brome,,,x,,,,,a,,x,,,,,07-Apr,,i,,k,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,brdi,brodia,Bromus diandrus,Bromus,diandrus,,,brodia,ripgut grass,,,x,,,,,a,,,x,,,,06-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,brho,brohor,Bromus hordeaceus (B. mollis),Bromus,hordeaceus,,Bromus mollis,brohor,soft chess,C,C,C,C,C,x,,a,C,C,C,C,C,C,07-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,brma,bromad,Bromus madritensis ssp rubens (B. rubens),Bromus,madritensis,rubens,Bromus rubens,bromad,red brome,C,C,C,C,C,C,,a,C,C,C,C,C,C,06-Mar,,i,y,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,bromus,bromus,Bromus sp.,Bromus,sp.,,,bromus,brome,,,,,,,,a,,,,,,,,,i,,,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,brte,brotec,Bromus tectorum,Bromus,tectorum,,,brotec,,,,,,,,,a,,,,,,,,,i,,"b,dk",,ia
POACEAE (GRAMINEAE),GRASS FAMILY,brtr,brotri,Bromus trinii,Bromus,trinii,,,brotri,Chilean chess,,,,,,,,a,,,,,,,05-Mar,,i,,t,,ia
PORTULACACEAE,PURSLANE FAMILY,caci,calcil,Calandrinia ciliata,Calandrinia,ciliata,,,calmen,red maids,,,C,C,x,,,h,,x,C,,x,,05-Feb,r,n,y,t,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,cacl,calcla,Calochortus clavatus ssp pallidus,Calochortus,clavatus,pallidus,,calcla,yellow mariposa,,,,,x,x,,p,,,,x,,,07-Apr,y,n,,h,,np
CALLITRICHACEAE,WATER-STARWORT FAMILY,cama,calmar,Callitriche marginata,Callitriche,marginata,,,calmar,water starwort,,,,,,,x,h,,,,,,,05-Mar,,n,,h,,nh
PORTULACACEAE,PURSLANE FAMILY,camo,calmon,Calyptridium monandrum,Calyptridium,monandrum,,,calmon,pussy paws,,,x,,,,,h,,,x,,,,,,n,,r,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,casp,calspl,Calochortus splendens,Calochortus,splendens,,,calspl,mariposa lily,,,,x,,,,p,,,,x,,,07-May,p,n,,h,,np
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,cave,calven,Calochortus venustus,Calochortus,venustus,,,calven,butterfly mariposa,,,,x,,,,p,,,,x,,,07-Apr,p,n,,h,,np
ONAGRACEAE,EVENING PRIMROSE FAMILY,cabo,camboo,Camissonia boothii ssp decorticans,Camissonia,boothii,decorticans,,camboo,shredding evening primrose,,,,x,,,,h,,,,,x,,06-Apr,w,n,,t,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,caca1,camcal,Camissonia californica,Camissonia,californica,,,camcal,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,caca2,camcam,Camissonia campestris,Camissonia,campestris,,,camcam,Mojave sun cup,,,C,C,,,,h,,x,C,,C,,07-Apr,y,n,,t,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,caco1,camcon,Camissonia contorta,Camissonia,contorta,,,camcon,sun cup,,,,x,,,,h,,,,,x,,06-May,y,n,,t,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,cagr,camgra,Camissonia graciliflora,Camissonia,graciliflora,,,camgra,,,,,,,,,nh,,,,,,,,,n,,f,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,cahi,camhir,Camissonia hirtella,Camissonia,hirtella,,,camhir,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,cain2,camint,Camissonia intermedia,Camissonia,intermedia,,,camint,,,,,,,,,nh,,,,,,,,,n,,b,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,capa,campal,Camissonia palmeri,Camissonia,palmeri,,,campal,sun cup,,,,,,,,h,,,,,x,,,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,cast,canstr,Canthium strumarium,Canthium,strumarium,,,canstr,cocklebur,,,x,,,,,h,,,,,x,,10-Jul,,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,cabu,capbur,Capsella bursa-pastoris,Capsella,bursa-pastoris,,,capbur,shepherd's purse,,x,x,,,,,h,x,x,,,x,,all,w,i,,t,,ih
CYPERACEAE,SEDGE FAMILY,cado,cardou,Carex douglasii,Carex,douglasii,,,cardou,Douglas's sedge,,,,,,,x,p,,,,x,,,09-Apr,,n,,h,,np
SCROPHULARIACEAE,FIGWORT FAMILY,caaf,casaff,Castilleja affinis,Castilleja,affinis,,,casaff,Indian paintbrush,,,,x,,,,h,,,,,,x,10-Jan,r,n,,t,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,caat,casatt,Castilleja attenuata (Orthocarpus a.),Castilleja,attenuata,,Orthocarpus attenuata,casatt,valley tassels,,,,x,,,,h,,,,,,x,05-Mar,w,n,,h,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cabr,casbre,Castilleja brevistyla (O. b.),Castilleja,brevistyla,,Orthocarpus brevistyla,casbre,"owl's clover, Indian paintbrush",,,x,,,,,h,,x,,,,,05-Mar,p,n,,h,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cade,casden,Castilleja densiflora (O. d.),Castilleja,densiflora,,Orthocarpus densiflora,casden,"owl's clover, Indian paintbrush",,,x,,,,,h,,x,,,,,05-Feb,r,n,,h,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,caex,casexs,Castilleja exserta (O. purpurascens),Castilleja,exserta,,Orthocarpus purpurascens,casexs,purple owl's clover,x,C,C,C,C,x,,h,C,C,C,,C,C,05-Mar,p,n,,t,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cafo,casfol,Castilleja foliolosa,Castilleja,foliolosa,,,casfol,,,,,,,,,np,,,,,,,,,n,,f,,np
SCROPHULARIACEAE,FIGWORT FAMILY,cali,caslin,Castilleja lineariloba (O. l.),Castilleja,lineariloba,,Orthocarpus lineariloba,caslin,owl's clover,,,x,,,,,h,,x,,,,,06-Apr,y,n,,k,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,capl,caspla,Castilleja plagiotoma,Castilleja,plagiotoma,,,caspla,Mojave Indian paintbrush,,,,x,,,,p,,,,x,,,04-Jan,y,n,,h,,np
SCROPHULARIACEAE,FIGWORT FAMILY,casu,cassub,Castilleja subinclusa ssp subinclusa,Castilleja,subinclusa,subinclusa,,cassub,Indian paintbrush,,,,x,,,,p,,,,x,,,06-Apr,r,n,,h,,np
BRASSICACEAE,MUSTARD FAMILY,caca3,caucal,Caulanthus californicus*,Caulanthus,californicus,,,caucal,Calif. jewelflower. Listed endangered (Calif. and U.S.),,,x,x,,,,h,,,x,,,,04-Feb,p,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,caco2,caucou,Caulanthus coulteri,Caulanthus,coulteri,,,caucou,jewelflower,,,,,,,,h,,,,,,x,,,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,cain1,cauinf,Caulanthus inflatus,Caulanthus,inflatus,,,cauinf,desert candle,,,x,,,,,h,,x,,,,,05-Apr,p,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,ceme,cenmel,Centaurea melitensis,Centaurea,melitensis,,,cenmel,tocalote,,,C,,,,,h,,C,,,,,06-May,y,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,ceso,censol,Centaurea solstitialis,Centaurea,solstitialis,,,censol,yellow star-thistle,,,x,,,,,h,,x,,,,,10-May,y,i,,t,,ih
POLYGONACEAE,BUCKWHEAT FAMILY,ceth,centhu,Centrostegia thurberi,Centrostegia,thurberi,,,centhu,,,,,,,,,nh,,,,,,,,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,chfr,chafre,Chaenactis fremontii,Chaenactis,fremontii,,,chafre,desert pincushion,,,,x,,,,h,,x,,,x,,05-Mar,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,chgl,chagla,Chaenactis glabriuscula vglabriuscula,Chaenactis,glabriuscula,glabriuscula,,chagla,yellow pincushion,,,x,C,x,,,h,,,C,,C,,07-Feb,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,choc2,chaocc,Chamomilla occidentalis,Chamomilla,occidentalis,,,chaocc,,x,,,,,,,h,x,,,,,,,,n,,h,,nh
EUPHORBIACEAE,SPURGE FAMILY,choc1,chaoce,Chamaesyce ocellata (Euphorbia o.),Chamaesyce,ocellata,,Euphorbia ocellata,eupoce,prostrate spurge,,,C,,,,,h,C,C,C,,C,,10-May,,n,,t,,nh
EUPHORBIACEAE,SPURGE FAMILY,chpo,chapol,Chamaesyce polycarpa,Chamaesyce,polycarpa,,,chapol,sand mat,,,x,,,,,p,,x,,,,,all,w,n,,t,,np
ASTERACEAE,SUNFLOWER FAMILY,chst,chaste,Chaenactis stevioides,Chaenactis,stevioides,,,chaste,desert pincushion,,,,x,,,,h,,,,,x,,06-Jan,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,chsu,chasua,Chamomilla suaveolens (Matricaria matricarioides),Chamomilla,suaveolens,,Matricaria matricarioides,chasua,pineapple weed,C,C,x,,,,,h,C,x,,,,,06-Mar,y,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,chxa2,chaxan,Chaenactis xantiana,Chaenactis,xantiana,,,chaxan,pincushion,,,,,,,,h,,,,x,,,06-Apr,,n,,h,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,chal,chealb,Chenopodium album,Chenopodium,album,,,chealb,lamb's quarters,,,x,,,,,h,,x,,,,,10-Jun,,i,,t,,ih
CHENOPODIACEAE,GOOSEFOOT FAMILY,chca,checal,Chenopodium californicum,Chenopodium,californicum,,,checal,soap plant,,,,x,,,,p,,,,,,x,04-Mar,,n,,t,,np
POLYGONACEAE,BUCKWHEAT FAMILY,chan,choang,Chorizanthe angustifolia,Chorizanthe,angustifolia,,,choang,spineflower,,,,x,,,,h,,,,,,,07-Apr,w,n,,s,,nh
EUPHORBIACEAE,SPURGE FAMILY,chococ,chococ,Chamaesyce ocellata ssp ocellata,Chamaesyce,ocellata,ocellata,,chococ,,,,,,,,,nh,,,,,,,,,n,,b,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chme,chomem,Chorizanthe membranacea,Chorizanthe,membranacea,,,chomem,pink spineflower,,,,x,,,,h,,,,,,x,06-May,p,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chori,choriz,Chorizanthe sp.,Chorizanthe,sp.,,,choriz,,,,,,,,,h,,,,,,,,,n,,,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chun,chouni,Chorizanthe uniaristata,Chorizanthe,uniaristata,,,chouni,one-awned spineflower,,,,x,,,,h,,,,,,x,07-May,w,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chwa,chowat,Chorizanthe watsonii,Chorizanthe,watsonii,,,chowat,Watson's spineflower,,,,x,,,,h,,,,,x,,06-May,y,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chxa1,choxan,Chorizanthe xanti,Chorizanthe,xanti,,,choxan,Turk's rugging,,,,,,x,,h,,,,,,t,06-May,r,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,chpolo,chpolo,Chorizanthe polygonoides v longispina,Chorizanthe,polygonoides,longispina,,chpolo,,,,,,,,,nh,,,,,,,,,n,,cs,,nh
ASTERACEAE,SUNFLOWER FAMILY,chna,chrnau,Chrysothamnus nauseosus ssp mohavensis,Chrysothamnus,nauseosus,mohavensis,,chrnau,rubber rabbitbrush,,,,C,C,x,,s,,,C,,,,11-Sep,y,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,cisp,cirsium,Cirsium sp.,Cirsium,sp.,,,cirsium,thistle,,,,x,,,,h,,,,,,x,09-May,r,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,civu,cirvul,Cirsium vulgare,Cirsium,vulgare,,,cirvul,,,,,,,,,ib,,,,,,,,,i,,b,,ib
