family,common family name,letter code_4,letter code_6,SCIENTIFIC NAME,GENUS,SPECIES,SUBSPECIES/VARIETY,SYNONYM,NewCode,COMMON NAME,sink,salt,grass,desert,juniper,oak,seep,form,soda,central,western,mountain,elkhorn,teblor,flowering months,flower color,native?,gkr prefer?,reference code,comments,newform
NYCTAGINACEAE,FOUR O'CLOCK FAMILY,abpo,abrpog,Abronia pogonantha,Abronia,pogonantha,,,abrpog,Mojave sand verbena,,,,x,,,,h,,,,,x,,06-May,p,n,,h,,nh
LAMIACEAE,MINT FAMILY,acob,acaobo,Acanthomintha obovata ssp cordata,Acanthomintha,obovata,cordata,,acaobo,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ASTERACEAE,SUNFLOWER FAMILY,acmi,achmil,Achillea millefolium,Achillea,millefolium,,,achmil,yarrow,,,x,,,,,h,,x,,,x,,09-Jun,w,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,acmo,achmol,Achyrachaena mollis,Achyrachaena,mollis,,,achmol,blow-wives,,,x,,,,,h,,x,,,x,,04-Mar,y,n,,t,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,acsp,achspe,Achnatherum speciosum,Achnatherum,speciosum,,,achspe,desert needlegrass,,,,x,x,,,pg,,,x,,x,,07-May,,n,,t,,npg
PTERIDACEAE,BRAKE FAMILY,adjo,adijor,Adiantum jordanii,Adiantum,jordanii,,,adijor,California maiden-hair,,,,,,,,f,,,,,,,,,n,,v,,nf
ASTERACEAE,SUNFLOWER FAMILY,aghe,agohet,Agoseris heterophylla,Agoseris,heterophylla,,,agohet,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ASTERACEAE,SUNFLOWER FAMILY,agre,agoret,Agoseris retrorsa,Agoseris,retrorsa,,,agoret,,,,x,,,,,p,,x,,,x,,06-Apr,y,n,,h,,np
SIMAROUBACEAE,SIMAROUBA FAMILY,aial,ailalt,Ailanthus altissimaro,Ailanthus,altissimaro,,,ailalt,tree of heaven,,,,,,,,t,,,,,,,,,i,,v,,it
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alhoho,alhoho,Allium howellii v howellii,Allium,howellii,howellii,,alhoho,,,,,,,,,np,,,,,,,,,n,,"b,cs",,np
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,alcr,allcri,Allium crispum,Allium,crispum,,,allcri,crinkled purple onion,,,,x,,,,p,,,,,,x,05-Apr,p,n,,t,,np
