Family,Codes,FG,Alternative Codes,Genus,Specific ep,Common Name
Apiaceae,Lomdas,NF,,Lomatium,dasycarpum ssp dasycarpum,wooly-fruited lomatium
Apiaceae,Lomutr,NF,,Lomatium,utriculatum,common lomatium
Fabaceae,Lotham,NF,,Lotus,hamatus,san diego birds-foot trefoil
Fabaceae,Lotpur,NF,,Lotus,purshianus var. purshianus,spanish clover
Fabaceae,Lotwra,NF,,Lotus,wrangelianus,california lotus
Fabaceae,Lupbic,NF,,Lupinus,bicolor ,dwarf lupine
Fabaceae,Lupcon,NF,,Lupinus,consinnus,bajada lupine
Lythraceae,Lythys,NNF,Lyt,Lythrum,hyssopifolia,*grass poly
Malvaceae,Mallep,NF,,Malvella,leprosa,alkali mallow
Marsileaceae,Marves,NF,,Marsilea,vestita ssp. Vestita,clover fern
Marsileaceae,Marvesv,NF,,Marsilea,vestita ssp. Vestita,clover fern
Fabaceae,Medpol,NNF,,Medicago,polymorpha,*california burr clover
Poaceae,Melimp,NG,,Melica,imperfecta ,small-flowered melica
Asteraceae        ,Micdou,NF,,Microseris,douglasii ssp. douglasii,douglas' microseris
Liliaceae,Muimar,NF,,Muilla,maritima ,muilla
Poaceae,Naspul,NG,"Nas, N",Nassella,pulchra ,purple needlegrass
Polemoniaceae,Navpro,NF,Nav,Navarretia,prostrata,prostrate navarretia
,open,bare,,,,
,none,bare,,,,
Cactaceae,Opuvas,NW,,Opuntia,vaseyi,vasey's prickly pear
Poaceae,Orccal,NG,,Orcuttia,califonica,california orcutt grass
Asteraceae        ,Osmten,NF,,Osmadenia,tenella,three spot
Poaceae,Pasdis,NG,,Paspalum,distichum,knot grass
Pteridaceae,Pelmuc,NF,,Pellaea,mucronata ssp. mucronata,birds-foot fern
Poaceae,Phalaris sp,,,Phalaris,unknown sp,
Plantaginaeae,Plaere,NF,,Plantago,erecta ,california plantain
Boraginaceae,Plaful,NF,,Plagiobothrys,fulvus,tawny popcorn flower
Boraginaceae,Plagio sp,NF,,Plagiobothrys,unknown sp,
Boraginaceae,Planot,NF,,Plagiobothrys,nothofulvus,rusty-haired popcorn flower
Boraginaceae,Plaund,NF,,Plagiobothrys,undulatus,hooked popcorn flower
Poaceae,Poasec,NG,,Poa,secunda ssp. secunda,one-sided bluegrass
Poaceae,Polmon,NNG,Polymon,Polypogon,monspeliensis,*rabbits-foot grass
Asteraceae        ,Psibre,NF,,Psilocarphus,brevissimus var. brevissimus,wooly marbles
Fagaceae,Queagr,NW,,Quercus,agrifolia var. agrifolia,coast live oak
Fagaceae,Queeng,NW,,Quercus,engelmannii,engelmann oak
Ranunculaceae,Ranocc,NF,,Ranunculus,occidentalis,western buttercup
Polygonaceae,Rumcri,NNF,,Rumex,crispus,*curly dock
Apiaceae,Sanarg,NF,,Sanicula,arguta ,sharp-toothed sanicle
Apiaceae        ,Sanbip,NF,,Sanicula,bipinnatifida ,purple sanicle
Cyperaceae,Sedge,NG,Sedge unk,unknown,unknown sp ,
Malvaceae,Sidmal,NF,Sidm,Sidalcea,malvaeflora ssp. sparsifolia,checkerbloom
Caryophyllaceae,Silgal,NNF,,Silene,gallica ,*windmill pink
Asteraceae        ,Silmar,NNF,,Silybum,marianum,*milk thistle
Iridaceae,Sisbel,NF,,Sisyrinchium,bellum ,blue-eyed grass
Asteraceae        ,Sonasp,NNF,,Sonchus,asper ssp. asper,*prickly sow thistle
Asteraceae        ,Sonchus sp,NNF,,Sonchus,unknown - young plant,*
Asteraceae        ,Sonole,NNF,,Sonchus ,oleraceus,*sow thistle
Asteraceae        ,Stedie,NF,,Stephanomeria,diegensis,san diego wreathplant
Asteraceae        ,Stehet,NF,,Stebbinsoseris,heterocarpa,brown microseris
Asteraceae        ,Stygna,NF,,Stylocline,gnaphaloides,everlasting nest-straw
Brassicaceae,Thycur,NF,,Thysanocarpus,curvipes,fringe-pod
Apiaceae             ,Tornod,NNF,,Torilis,nodosa,*hedge parsley
Asteraceae        ,Tradub,NNF,,Tragopogon,dubius,*yellow salsify
Fabaceae,Tricil,NF,,Trifolium,ciliolatum,tree clover
Fabaceae,Tridep,NF,,Trifolium,depauperatum var. truncatum,balloon clover
Fabaceae,Trifolium ,,"Trifolium 1, 2,3",Trifolium,unknown sp,
Fabaceae,Trifolium inflated,NF,Tri dep    ,Trifolium,depauperatum var. truncatum,balloon clover
Fabaceae,Trifolium reflexed,NF,Tri gra    ,Trifolium,gracilentum var gracilentum,pinpoint clover
Fabaceae,Trifolium round involucre,NF,Tri mic    ,Trifolium,microcephalum ,small-head field clover
Fabaceae,Trigra,NF,,Trifolium,gracilentum var gracilentum,pinpoint clover
Lamiaceae,Trilan,NF,,Trichostama,lanceolatum,vinegar weed
Fabaceae,Trimic,NF,,Trifolium,microcephalum ,small-head field clover
Fabaceae,Triwil,NF,,Trifolium,willdenovii ,tomcat clover
,Unk 1,Unk,,,,
,Unk 4,Unk,,,,
,Unk 5 red,Unk,,,,
,Unk aster,Unk,,,,
,Unk bunch grass,Unk,,,,
,Unk cala,Unk,,,,
,Unk carrot,Unk,,,,
,Unk forb ,Unk,,,,
,Unk forb 1,Unk,,,,
,Unk forb seedling,Unk,,,,
,Unk grass,Unk,,,,
,Unk grass 1,Unk,,,,
,Unk Lotus,Unk,,,,
,Unk Lotus 1,Unk,,,,
,Unk Lotus 2,Unk,,,,
,Unk mustard,Unk,,,,
,Unk Thistle,Unk,,,,
,Unk uropapis,Unk,,,,
Asteraceae,Urolin,NF,,Uropappus,lindleyi ,silver puffs
Verbenaceae,Verlas,NF,,Verbena,lasiostachys var. lasiostachys,western vervain
Fabaceae        ,Vicia,NNF,,Vicia,unknown sp,*
Fabaceae        ,Vicsat,NNF,,Vicia,sativa ssp sativa,*spring vetch
Fabaceae        ,Vicvilv,NNF,,Vicia,villosa ssp varia,*winter vetch
Violaceae,Vioped,NF,Viop,Viola,pedunculata ,johnny jump-up
Poaceae,Vulmic,NG,,Vulpia,microstachys var. pauciflora,fescue 
Poaceae,Vulmyu,NNG,Vulmy,Vulpia,myuros var. hirsuta,*hairy rattail fescue
Poaceae,Vulpia sp,Unk,Vulpia,Vulpia,unknown sp,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
