Family,Codes,FG,Alternative Codes,Genus,Specific ep,Common Name
Poaceae,Aegcyl,NNG,,Aegilops,cylindrica,*jointed goatgrass
Asteraceae,Agogra,NF,,Agoseris,grandiflora,ground mountain dandelion
Poaceae,Agrostis,NG,,Agrostis,pallens ,seashore bentgrass
Liliaceae,Allhae,NF,,Allium,haematochiton,red-skinned onion
Poaceae,Alesac,NG,,Alopecurus,saccatus,foxtail 
Poaceae,Alpsac,NG,,Alopecurus,saccatus,foxtail 
Amaranthaceae,Amaalb,NNF,,Amaranthus,albus,*tumble pigweed
Asteraceae,Ambpsi,NF,,Ambrosia,psilostachya ,western ragweed
Boraginaceae,Amsmenm,NF,Ams,Amsinckia,menziesii var. menziesii,small-flowered fiddleneck
Primulaceae,Anaarv,NNF,,Anagallis,arvensis ,*scarlet pimpernel
Asclepiadaceae,Asceri,NF,,Asclepias,eriocarpa ,Indian milkweed
Fabaceae,Astgam,NF,,Astragalus,gambelianus ,Gambel's dwarf milk-vetch
Fabaceae,Astpom,NF,,Astragalus,pomonensis ,Pomona locoweed
Poaceae,Avebar,NNG,"Ave, A",Avena,barbata ,*slender wild oats
Poaceae,Avefat,NNG,,Avena,fatua,*wild oats
Poaceae,Avena,NNG,,Avena sp,barbata or fatua,*wild oats
Poaceae,Bradis,NNG,,Brachypodium,disachyon,*purple false brome
Poaceae,Broare,NNG,,Bromus,arenarius,*australian brome
Poaceae,Brodia,NNG,"Brod, BD",Bromus,diandrus ,*ripgut brome
Liliaceae,Brofil,NF,,Brodiaea,filifolia ,thread-leaved brodiaea
Poaceae,Brohor,NNG,"Broh, BH",Bromus,hordeaceus ,*soft chess
Poaceae,Bromadr,NNG,"Brom, Bromad",Bromus,madritensis ssp. rubens,*red brome
Liliaceae,Brosan,NF,,Brodiaea,santarosae,santa rosa basalt brodiaea
Liliaceae,BroterK,NF,Broter,Brodiaea,terrestris ssp. kernensis,earth brodiaea
Portulacaceae,Calcil,NF,,Calandrinia,ciliata ,red maids
Convolvulaceae,Calmac,NF,,Calystegia,macrostegia ssp. arida,southern California morning-glory
Liliaceae,Calspl,NF,,Calochortus,splendens ,splendid mariposa lily
Asteraceae,Carpyn,NNF,,Cardus,pycnocephalus,*italian thistle
Scrophulariaceae,Casden,NF,,Castilleja,densiflora,owl's clover
Scrophulariaceae,Casexs,NF,,Castilleja,exserta ssp. exserta,purple owl's clover
Asteraceae,Cenmel,NNF,,Centaurea,melitensis,*tocalote
Asteraceae,Censal,NNF,,Centaurea,,*yellow star thistle
Caryophyllaceae,Cerglo,NNF,,Cerastium,glomeratum,*mouse-eared chickweed
Euphorbiaceae,Chaalb,NF,,Chamaesyce,albomarginata,rattlesnake weed
Euphorbiaceae,Chapol,NF,,Chamaesyce,polycarpa [var. polycarpa],small-seeded spurge
Liliaceae,Chlorogalum,NF,Chloro,Chlorogalum,unknown - leaves only present,
Liliaceae      ,Chlpar,NF,,Chlorogalum,parviflorum ,small-flowered soap plant
Liliaceae,Chlpom,NF,,Chlorogalum,pomeridianum var. pomeridianum,common soap plant
Asteraceae,Cirsca,NF,,Cirsium,scariosum,elk thistle
Asteraceae,Cirvul,NNF,,Cirsium,vulgare,*bull thistle
Portulacaceae,Clapar,NF,,Claytonia,parviflora ssp. parviflora,narrow-leaved miner's lettuce
Portulacaceae,Claperp,NF,,Claytonia,perfoliata ssp. Perfoliata,miner's lettuce
Onagraceae,Clapur,NF,,Clarkia,purpurea ssp. quadrivulnera,purple clarkia
Convolvulaceae,Conarv,NNF,,Convolvulus,arvensis ,*field bindweed
Asteraceae,Concan,NF,,Conyza,canadensis ,horseweed
Convolvulaceae,Consim,NF,,Convolvulus,simulans ,small-flowered morning-glory
Asteraceae,Conyza sp,,,Conyza ,unknown - leaves only present,horseweed
Crassulaceae,Craaqu,NF,,Crassula,aquatica,water pygmyweed
Crassulaceae,Cracon,NF,,Crassula,connata,pygmy weed
Boraginaceae,Cryptantha sp,NF,Crypt,Cryptantha,unknown sp,
Apiaceae,Daupus,NF,,Daucus,pusillus ,rattlesnake weed
Poaceae,Desdan,NG,,Deschampsia,danthonioides,annual hairgrass
Liliaceae,Diccap,NF,,Dichelostemma,capitatum ssp. capitatum,blue dicks
Primulaceae,Dodcle,NF,,Dodecatheon,clevelandii ssp. clevelandii,shooting star
Campanulaceae,Dowbel,NF,,Downingia,bella,spotted downingia
Campanulaceae,Dowcus,NF,,Downingia,cuspidata,toothed downingia
Crassulaceae,Dudlan,NF,,Dudleya,lanceolata ,lanceleaf dudleya
Cyperaceae,Eleacib,NG,,Eleocharis,acicularis var. bella,needle spikerush
Cyperaceae,Elemac,NG,,Eleocharis,macrostachya,common spikerush
Cyperaceae,Eleocharis,NG,,Eleocharis,unknown species,
Poaceae,Elymus,NG,,Elymus,elymoides ssp. brevifolius,short-leaved squirreltail
Onagraceae,Epican,NF,,Epilobium,canum ssp canum,hoary fuchsia
Euphorbiaceae,Ereset,NF,,Eremocarpus,setigerus ,dove weed
Polygonaceae,Erielo,NF,,Erodium,elongatum var. elongatum,long-stemmed buckwheat
Polygonaceae,Erifas,NW,,Eriogonum,fasciculatum var. foliolosum,California buckwheat
Asteraceae,Erifol,NF,,Erigeron,foliousus var. foliosus,leafy daisy
,Erigra,NF,,Eriogonum,,buckwheat
Asteraceae,Eripalp,NW,"Ericam, Ericameria",Ericameria,palmeri var. pachylepis,Palmer's goldenbush
Geraniaceae,Erobot,NNF,"Erob, EB",Erodium,botrys ,*long-beaked filaree
Geraniaceae,Erobra,NNF,,Erodium,brachycarpum,*short-fruited filaree
Geraniaceae,Erocic,NNF,Eroc,Erodium,cicutarium ,*redstem filaree
Geraniaceae,Eromos,NNF,,Erodium,moschatum ,*white-stemmed filaree
Apiaceae,Eryari,NF,Ery,Eryngium,aristulatum var. parishii,san diego button celery
Apiaceae,Eryarip,NF,Ery,Eryngium,aristulatum var. parishii,san diego button celery
Euphorbiaceae,Eupspa,NF,Euphorbia,Euphorbia,spathulata ,warty spurge
Asteraceae,Filcal,NF,,Filago,californica ,california filago
Asteraceae,Filgal,NNF,,Filago,gallica ,*narrowleaf filago
Liliaceae,Fribif,NF,,Fritillaria,biflora var. biflora,chocolate lily
Fabaceae,Fuzzy Lotus,NF,,Lotus,wrangelianus,california lotus
Fabaceae,Fuzzy Lotus 2,NF,,Lotus,unknown sp,
Fabaceae,Fuzzy trifolium,,,Trifolium,unknown sp,
Rubiaceae,Galapa,NF,,Galium,aparine,common bedstraw
Poaceae,Gasven,NNG,,Gastridium,ventricosum ,*nit grass
Geraniaceae,Gerdis,NNF,,Geranium,dissectum ,*cut-leaved geranium
Polemoniaceae,Gilang,NF,,Gilia,angelensis ,chaparral gilia
Asteraceae,Gnacal,NF,,Gnaphalium,californicum ,California everlasting
Asteraceae,Gnacanb,NF,,Gnaphalium,canescens ssp beneolens,fragrant everlasting
Asteraceae,Gnacanm    ,NF,,Gnaphalium,canescens ssp microcephalum,white everlasting
Asteraceae,Gnaphalium,NF,Gnacan,Gnaphalium,unknown sp or ssp,
Asteraceae,Hedcre,NNF,,Hedypnois,cretica,*crete weed
Asteraceae,Hemfas,NF,,Hemizonia ,fasciculata,slender tarweed
Asteraceae,Hemizonia,NF,,Hemizonia ,unknown sp,
Asteraceae,Hempan,NF,,Hemizonia ,paniculata,san diego tarweed
Brassicaceae,Hirinc,NNF,,Hirschfeldia,incana ,*shortpod mustard
Asteraceae,Holvir,NF,,Holocarpha,virgata ssp. elongata,graceful tarplant
Poaceae,Hordeum,,,Hordeum,unknown sp,
Poaceae,Hormur,NNG,,Hordeum,murinum ssp. glaucum,*foxtail barley
Asteraceae,Hypgla,NNF,"Hyp, Hypg",Hypochaeris,glabra ,*smooth cat's ear
Juncaceae,Junbuf,NG,,,,toad rush
Juncaceae,Junbufb,NG,Jun,Juncus,bufonius var. bufonius,toad rush
Juncaceae,Juncus 2,NG,Juncus 3,Juncus,unknown sp,
Asteraceae,Lacser,NNF,,Lactuca,serriola ,*prickly lettuce
Asteraceae,Lagram,NF,,Lagophylla,ramosissima ssp. ramosissima,common hareleaf
Poaceae,Lamaur,NNG,,Lamarckia,aurea ,*goldentop
Asteraceae        ,Lascal,NF,,Lasthenia,californica ,goldfields
Fabaceae,Lathyrus,NF,,Lathyrus,vestitus var. alefedii,San Diego pea
Brassicaceae,Lepnit,NF,,Lepidium,nitidum var. nitidum,shining peppergrass
Asteraceae        ,Lesfil,NF,,Lessingia,filaginifolia var. filaginifolia,california aster
Polemoniaceae,Lindia,NF,,Linanthus,dianthiflorus,ground pink
Poaceae,Lolmul,NNG,,Lolium,multiflorum ,*Italian rye-grass
Poaceae,Lolten,NNG,,Lolium,tenulentum,*darnel
Apiaceae,Lomatium,NF,Lomatium 2,Lomatium,unknown sp,
