g= grass; f= forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,
a = annual; p = perennial,,,,,a ,p,a,p,a,a,p,p,a,a,a,p,a,a,p,p,a,p ,p,a,p,p,p,a,a,a,a,a,a,a,a ,a,a,a,a,a,p,a,a,p,p,p,a,a,p,p,a,p,p ,a,a,a,,,,,
n= native; e = introduced,,,,,e,e,n,n,e,e,e,n,e,e,e,n,e,e,e,e,n,e,n,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,n,e,e,n,n,e,e,n,n,n,e,n ,e,e,n,e,,,,,
site,freq,treat,rep,plot,anaarv,brassp,calcil,camova,cervis,cirvul,conarv,diccap,erobot,erocic,eromos,esccal,gerdis,hypgla,hyprad,linbie,madsat,plalan,rancal,rapsat,rumace,rumcri,rumpul,shearv,silgal,sonole,triang,tridub,trisub,vicisp,aircar,avebar,bradis,brimaj,brimin,brizsp,brocar,brodia,brohor,dancal,elemac,horbra,hormur,junbuf,junocc,junpha,lolmul,naspul,phaaqu,poaann,scikoi,vulpsp,bare,dung,moss,thatch,
elk,cl1,ll,1,1,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,4,9,,,,,9,,,,,37
elk,cl1,ll,1,2,,,,,,,,,,,,,7,,,,1,6,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,21,,,,,6,,,,,45
elk,cl1,ll,1,3,,,,,,,,,,,,,5,,,,,1,,,1,,,,,,,,,,,,,2,,,,1,,1,,,,,,,2,,,,,1,,,,1,15
elk,cl1,ll,1,4,,,,,,,,,,,,,3,,,,2,1,,,,,,,,,,,,,,,,,,,,2,,6,,,,,,,14,,,,,11,,,,2,41
elk,cl1,ll,2,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,18,,,,,,,1,,,,,1,,,,,25
elk,cl1,ll,2,2,,,,,,,,,,,,,3,,1,,13,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,3,,,,,8,,,,1,37
elk,cl1,ll,2,3,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,17,,,,,13,,,,,37
elk,cl1,ll,2,4,,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,,,,7,,,,2,16
elk,cl1,ll,3,1,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,1,7,,,,,,,,,1,,9,,,,,,,4,,,,,7,,,,,34
elk,cl1,ll,3,2,,,,,,,,,1,,,,1,,,,,5,,,,,,,,1,,,5,,,,,,,,,,,15,,,,,,,,,,,,12,,,,,40
elk,cl1,ll,3,3,,,,,,,,,,,,,5,,2,,,5,,,,,,,,,2,,1,,,,,,,,,,,11,,,,,,,7,,,,,2,,,,,35
elk,cl1,ll,3,4,,,,,,,,,1,,,,,1,,,,4,,,,1,,,,,1,1,3,,,,,1,,,,,,1,,,,,,,14,,3,,,5,,,,,36
elk,cl1,re,1,1,,,,,,,,,13,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,4,,,,,3,,,,,32
elk,cl1,re,1,2,,,,,,,,,2,,,,2,,,,,2,,,1,,,,,,,,,,,,,,,,,,,13,,,,,,,8,,,,,3,,,,,31
elk,cl1,re,1,3,,,,,,,,,4,,,,5,,,,,,,,5,,,,,,1,,,,,,,1,,,,,,1,,,,,,1,6,,,,,,1,,,,25
elk,cl1,re,1,4,,,,,,,,,6,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,,12,1,,,,31
elk,cl1,re,2,1,,,,,1,,,,4,,,,6,,1,,1,,,,,,,,,,2,,,,,,,1,,,,1,,2,,,,,2,,4,,1,,,18,,,,,44
elk,cl1,re,2,2,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,4,,,,,,1,,,1,,16,,,,,,,2,,,,,15,,,,,48
elk,cl1,re,2,3,,,,,,,,,1,,,,1,,1,,7,3,,,,,,,,,4,1,,,,,,,,,,,,8,1,,,,,,3,,,,,11,,1,,,42
elk,cl1,re,2,4,1,,,,,,,,1,,,,3,,1,,1,2,,,,,,,,,,,,,,,,,1,,,,,3,9,,,1,,,9,,,,,7,1,,,,40
elk,cl1,re,3,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,9,,,,,,,5,,,,,11,,,,,31
elk,cl1,re,3,2,,,,,,,,,6,,,,1,,,,,1,,,4,,,,,,3,1,1,,,,,,,,,,,5,,,,,,,,,,,,18,,,,,40
elk,cl1,re,3,3,,,,,,,,,3,,,,1,,,,,1,,,,,,,,,6,3,1,,,,,,,,,,,6,,,,,,,4,,,,,15,,,,,40
elk,cl1,re,3,4,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,4,1,6,,,,,,,,,,,16,,,,,,,1,,,,,9,,,,,41
elk,cl1,sd,1,1,,,,,,,,,7,,,,1,,,,,7,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,4,,,,,11,,,,,36
elk,cl1,sd,1,2,1,,,,,,,,12,,,,1,,,,,4,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,7,,,,,3,,,,,33
elk,cl1,sd,1,3,,,,,,,,,12,,,,4,,,,,4,,,,,,,,,3,,1,,,,,,,,,1,,5,,,,,,,4,,,,,2,,,,1,37
elk,cl1,sd,1,4,,,,,,,,,2,,,,2,,,,,,,,,,,,,,4,1,,,,,,,,,,,,8,,,,,,,7,,4,,,5,,,,,33
elk,cl1,sd,2,1,,,,,,,,,8,,,,4,,,,,1,,,,,,,,,,,3,,,,,,,,,1,2,5,,,,1,,,1,,,,,9,1,,,,36
elk,cl1,sd,2,2,,,,,1,,,,6,,,,4,,,,,3,,,1,,,,,,,,2,,,,,,,,,,,9,,,,,,,11,,,,,1,,,,,38
elk,cl1,sd,2,3,,,,,,,,,5,,,,2,,,,,2,,,1,,,,,,2,1,2,,,,,1,,,,,1,5,,,,,,,3,,,,,9,1,,,,35
elk,cl1,sd,2,4,,,,,,,,,3,,,,1,,1,,,2,,,,,,,,,,1,,,,,,1,,,,,,4,,,,,,,12,,,,,2,1,,,,28
elk,cl1,sd,3,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,,,17,,,,,,,,,,,,7,,,,,34
elk,cl1,sd,3,2,,,,,1,,,,2,,,,1,,,,,3,,,,,,,,,,3,2,,,,,,,2,,1,,16,,,,,,,2,,,,,3,,,,2,38
elk,cl1,sd,3,3,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,1,,,,,12,,,,1,31
elk,cl1,sd,3,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,4,11,,2,,,,,,,,,1,,,,,3,,3,,,,,1,,,,,27
elk,cl2,ll,1,1,1,,,,,,,,,,,,2,,,,1,2,,,,,,,,,2,,3,,,,,2,,,,,,15,,,,,,,4,,,,,12,,,,,44
elk,cl2,ll,1,2,,,,1,,,,,1,,,,1,,3,,3,,,,,,,,,,,,2,,,,,,,,,,,17,,,,,,,,,,,,6,2,,,2,38
elk,cl2,ll,1,3,,,,,,,,,,,,,1,,2,,4,1,,,4,,,,,,,,2,,,,,1,,,,,,8,,,,,,,,,,,,7,6,,,1,37
elk,cl2,ll,1,4,1,,,,,,,,1,,,,3,,3,,3,2,,,,,,,,,1,,,,,,,,,,,,,17,,,,,,,,,,,,1,,,,1,33
elk,cl2,ll,2,1,,,,,,,,,3,,,,6,,2,,,,1,,2,,,,,,,1,1,,,,,3,,,,,,13,,,,,,,1,,,,,8,,,,1,42
elk,cl2,ll,2,2,,,,,1,,,,1,,,,4,,2,,3,,,,,,,,,,,,4,,,,,,,,,,,15,,,,,,,2,,,,,7,,,1,,40
elk,cl2,ll,2,3,,,,,,,,,4,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,19,2,,,,32
elk,cl2,ll,2,4,,,,,1,,,,5,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,,,,3,,,3,,,,,,6,,,,35
elk,cl2,ll,3,1,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,1,,3,1,,,,4,,,,,,17,,,,,,,1,,,,,12,,,,,43
elk,cl2,ll,3,2,,,,,,,,,5,,,,4,,1,,2,2,,,,,,,,,2,,,1,,,,9,,,,,,1,,,,,,,,,,,,12,,,,,39
elk,cl2,ll,3,3,,,,,,,,,4,,,,4,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,19,,,,,,,1,,,,,4,,,,1,37
