SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,cerglo,cirarv,cynech,dancal,dung,elemac,erobot,erocic,eromos,esccal,gerdis,horbra,hormur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,vicia,vulpsp
elk,cl1,ll,1,,,,,,,,,,,,,,,,,,,,46,,,3,,,,33,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,8,,,7,,52
elk,cl1,ll,2,,,,,,,,,,,,,,,,,,,,76,,,2,,,,14,,,,,2,,,,,,,,2,,,,,7,,,,9,,,,,,,,1,,,11,,60
elk,cl1,ll,3,,,,,,,,,,,,,,,,,,,,76,,,12,,1,,6,,,,,,,,,,,,,,1,,,,11,,,,32,,,,,,,,,,4,35,,24
elk,cl1,re,1,,,,,,,,1,,,,,,,,,,,,63,,,27,,,,1,,,,,4,,,,,1,,1,,,,,,4,,,,30,,,,,,,,,1,,10,,71
elk,cl1,re,2,,,3,,,,,,,,,,,,,,,,,63,,,19,,,,39,,,,2,4,2,,4,,,,,,,,,,4,,,,14,,,,,,1,,,4,,12,,33
elk,cl1,re,3,,,,,,,,,,,,,,,,,,,,49,,,31,,,,26,,,,,,,,4,,,,,,,,,,2,,2,,,,,,,,,,,,,11,,88
elk,cl1,sd,1,,,,,,,,,,,,,,,,,,,,54,,,40,,,,28,,,,,,,,,,,,,,,,,6,17,,,,,,,,,,,,,2,2,22,,38
elk,cl1,sd,2,,,1,,,,,,2,,,,,,1,,,,,39,,,32,,,,21,,,,1,1,,,,,,,,,,,,,8,,,,32,,,,,,,,,3,1,10,,51
elk,cl1,sd,3,,,,,,,,,,,,,,,,,,,,52,,,23,,,,2,,,,,3,,,,,,,,,,,,,5,,,,23,,,,,,,,,,1,23,,55
elk,cl2,ll,1,,1,,,,,,,1,,3,,,,,,,,,73,,,11,,,,20,,,,,3,,,,,12,,1,,,,,,15,,1,,8,,,,,,,,,3,4,28,,39
elk,cl2,ll,2,2,2,1,,,,,,,,7,,,,,,,,,68,,,15,,1,,13,,,,9,5,,,,,,,,,,,,,2,,,,5,,,,,1,,,,2,9,39,,23
elk,cl2,ll,3,,,,,,,,,,,6,5,,,,,,,,92,,,17,,,,6,,,3,,1,,,,,,,,,,,,,6,,,,1,,,,,,,,,15,3,20,,5
elk,cl2,re,1,,4,,1,,,,,,,12,,,,,,,,,51,,,41,,,,25,,,,,,,,1,,7,,,,,,,,18,,6,,,,,,,,,,,,1,20,,8
elk,cl2,re,2,1,,,,,,,,,,6,,,,,,5,,,78,,,40,,,,22,,,4,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,12,3,15,,37
elk,cl2,re,3,6,1,,,,,,,,,6,,,,,,,,,82,,,27,,,,4,,,5,,1,1,,,,,,,,,,,,,,,,26,,,,,,,,,11,14,28,,16
elk,cl2,sd,1,1,,,,,,,,,,3,,,,1,,,,,68,,,42,,,,4,,,2,,2,,,,,,,,,,,,,4,,,,2,,,,,,,,1,1,3,48,,53
elk,cl2,sd,2,4,,,,,,,,,,17,,,,,,2,,,68,,,17,,,,13,,,7,3,3,,,,,2,,,,,,,,4,,,,9,,,,,,,,,15,9,28,1,22
elk,cl2,sd,3,1,1,,,,,,,,,44,,,,1,,,,,26,,,38,,1,,3,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,3,38,,33
elk,cl3,ll,1,1,,,,,,,,,,1,,,,3,,,,,72,,,22,,,,13,,,,,10,,,,,2,,,,,,,,1,,,,14,,,,,,,,,,4,27,,33
elk,cl3,ll,2,3,,3,,,,,,2,,,,,,,,1,,,62,,,7,,,,28,,,,3,13,,,,,1,,,,,,,,4,2,,,20,,,,,,1,,,4,4,20,,20
elk,cl3,ll,3,1,1,1,,,,,,2,,,,,,,,,,,82,,,21,,,,2,,,,,6,,,,,,,,,,,,,1,2,,,29,,,,,,,,,,6,47,,2
elk,cl3,re,1,,1,,,,,,,,,,,,,,,,,3,76,,6,12,,,,6,,,,1,1,,,,,1,,,,,,,,8,15,1,1,24,,,,,,3,,,1,2,20,,16
elk,cl3,re,2,1,6,,,8,,,,,,,,,,4,,,,1,50,,,25,,,,11,,,,,7,,,,,,,,,,,,8,,5,,,16,,,,1,,,,,1,3,23,,25
elk,cl3,re,3,5,3,2,,,,,,3,,,,,,,,,,,59,,,24,,,,18,,,,1,1,,,,,,,,,,,,,1,,,,41,,,,,,1,,,4,3,20,,18
elk,cl3,sd,1,,1,2,,,,,,,,,,,,,,,,3,70,,,28,,,,27,,,,,1,,,,,,,1,,,,,,11,,6,,15,,,,,,,,,,1,3,,21
elk,cl3,sd,2,,2,,,,,,,1,,,,,,,,,,,69,,,34,,,,15,,,,1,,,,,,1,,,,,,,,3,,1,,26,,,,,,,,,,11,31,,8
elk,cl3,sd,3,,,,,,,,,1,,,,,,,,,,1,77,,,18,,,,14,,,,,3,,,,,,,,,,,,,8,,,,12,,,,,,5,,,2,2,38,,39
elk,con,none,1,,,,1,,,,,1,,8,,,,,,,,,,,,15,,,,21,,,,,,,,,,9,,,,,,,,,,33,,,,,,,,,,5,,,,,51
elk,con,none,2,,1,,,,,,,,,1,,,,,,,,,4,,,10,,,,20,,,,,,,,,,38,,,,,,,,,,17,,,,,,,,,,3,,,1,,40
elk,con,none,3,,1,,1,,,,,,,11,,,,,,,,,4,,,29,,,,13,,,,,,,,,,69,,,,,,,,,,2,,2,,,,,,,,8,,1,,1,27
elk,graz,none,1,,,1,,4,,,,,,1,,,,,,,,,63,,,27,,,,20,,,,,5,,,,,26,,,,,,,,,,,,,,,,,,,,,2,,5,,21
elk,graz,none,2,1,,,,,,,,,,9,,,,,,1,,,40,,,32,,,,19,,,,,,,,,,35,,,,,,,,7,,,,,,,,,,,,2,3,,7,,41
elk,graz,none,3,1,,,,,,,,,,1,,,,,,,,,75,,,3,,,,6,,2,,,,15,,,,22,,,,,,,,1,,3,,6,,,,,,,,,,,26,,49
swa,cl1,ll,1,,,,78,,,,,,,,,,1,,,,,,,,,2,,6,,43,,,,,,,,,,13,,,,,,,,27,,7,,,,,,,,,,1,,,30,12,5
swa,cl1,ll,2,,,,52,,,,,,,15,,,,,,,,,,,,,,10,,21,,,,2,,,,,,5,,,,,,,,24,,9,,,,,,,,,,,,2,53,,
swa,cl1,ll,3,,,,15,,,,,,1,28,,,,,,,,,,,,12,,6,,10,,,,,,,,,,52,,,,,,,,16,,7,,,,,,,,,,,1,,28,3,5
swa,cl1,re,1,,,,16,,,,,,4,1,,,,,,,,1,49,,,5,,1,,3,,,,,,,,,,1,,,,,,,,38,,7,,,,,,,,,,,,10,80,,
swa,cl1,re,2,,,,,,,,,,2,,,,,,,,,,77,,,,,1,,,,,,1,,,,,,,,,,,,,,21,1,1,,,,,,,,,,,,5,62,,
swa,cl1,re,3,,,,13,,,,,,,20,,,,,,5,,,,,,27,,23,,6,,,,,,,,,,7,,,,,,,,5,,8,,,,,,,,,,,2,,63,,1
swa,cl1,sd,1,,1,,7,,,,,,,19,,,1,,,1,,,,,,,,3,4,2,,,,,,,,,,4,,,,,,,,66,,3,,,,,,,,,,,6,3,82,5,9
swa,cl1,sd,2,,2,,7,,,,,,8,7,,,,,,2,,2,3,,,38,,24,2,7,4,,,3,,,,,,6,1,,,,,,,28,,18,,,,,,,,,,,,3,63,1,5
swa,cl1,sd,3,,,,25,2,,,,,,14,,,1,,,1,,3,1,,,26,,17,4,5,,,,,,,,,,6,,,,,,,,37,,26,,,,,,,,,,,2,1,68,,8
swa,cl2,ll,1,,,,17,,,,,,3,58,,,,,,,,,4,,,14,,15,,8,,,,7,,,,,,,,,,,,,,6,1,20,,,,,,,,,,,2,9,55,,20
swa,cl2,ll,2,,,,8,,,,,,,51,,,,,,,,,,,,8,,18,,32,,,,,,,,,,11,,,,,,,,,,3,,,,,,,,,,,1,1,72,,3
swa,cl2,ll,3,,,,36,,,,,,,45,,,,,,,,,,,,6,,4,,20,,,,,,,,,,14,,,,,,,,3,,4,,,,,,,,,,,,1,58,,2
swa,cl2,re,1,,,,3,,,,,,11,63,,,,,,,,,,,,1,,10,,1,,,,,,,,,,5,,,,,,,,18,,4,,,,,,,,,,,,1,67,,7
swa,cl2,re,2,,,,8,,,,,,,69,,,,,,,,,,,,40,,5,,1,,,,,,,,,,2,,,,,,,,,,2,1,,,,,,,,,,,,53,,12
swa,cl2,re,3,,,,11,,,,,,,48,,,,,,1,,,,,,4,,5,,3,,,,3,,,,,,4,,,,,,,,15,,6,,,8,,,,,,,,,11,69,,29
swa,cl2,sd,1,,,,10,,,,,,26,44,,,,,8,,,,9,,,5,,2,,,,,,1,,,1,,,,,,,,,,,16,,2,,,2,,,,,,,,,3,59,,77
swa,cl2,sd,2,,,,28,,,,,,9,56,,,,,,,,,,,,52,,5,,1,,,,,,,,,,3,,,,,,,,5,,4,,,1,,,,,,,,,,48,,18
swa,cl2,sd,3,,,,9,,,,,,8,81,,,,,,2,,,,,,15,,4,,,,,,4,,,,,,1,,,,,,,,2,,15,,,,,,,,,,,1,,51,,5
swa,cl3,ll,1,9,,,,,,,,,19,11,,,3,,,1,,14,,,,8,,20,1,5,,,,5,,,,,,22,,,,,,,,10,29,19,,,5,,,,,3,2,,15,,89,,1
swa,cl3,ll,2,,,,17,,,,,,,2,,,,,,1,,,,,,10,,15,,18,,,,,,,,,,66,,,,,,,,,,19,,,,,,,,,,,,1,54,,2
swa,cl3,ll,3,,3,,1,,,,,,2,6,,,3,,,10,,3,1,,,7,,37,8,5,,,,1,,,,,,18,,,,,,,,5,3,13,,,4,,,,,,,,,1,49,,37
swa,cl3,re,1,19,,,,,,,,,19,7,,,14,,,,,2,,,,15,,50,,12,,,,3,,,,,,44,,,,,,,,3,5,20,,,,,,,,4,,,,,62,,
swa,cl3,re,2,,,,1,,,,,,,6,,,2,,,,,3,3,,,4,4,14,,,,,,5,,,,,,16,,,1,,,,,17,4,3,,,,,,,,,,,,1,87,,34
swa,cl3,re,3,,5,,,25,,,,,2,,,,1,,,,,6,34,,,3,,25,,4,,,,,,,,,,,,,,,,1,,16,3,8,,,,,,,,,,,,,40,,7
swa,cl3,sd,1,,1,,,,,,,,,6,,,,,,3,,5,9,,,7,,14,1,,,,,,,,,,,,,,,,,,,3,5,11,7,,,,,,,,,,,1,75,,86
swa,cl3,sd,2,17,3,,1,3,,,,,3,1,,,1,,,4,,5,35,,,16,,22,1,3,,,,6,,,,,,1,,,,,,,,28,,3,,,5,1,,,,,,,1,10,38,,26
swa,cl3,sd,3,,1,,39,,,,,,6,16,,,2,,,,,1,1,,,5,,36,2,2,,,,,,,,,,17,,,,,,,,18,,3,,,,,,,,,,,,,76,,21
swa,con,none,1,,,,24,4,,,,,,17,,,,,,,,,,,,2,,3,,10,,,,,,,,,,58,,,,,,,,,,19,2,,,,,,,,,2,1,,6,3,52
swa,con,none,2,,,,6,,,,,,,31,,,,,,,,,,,,,,,,6,,,,3,,,,,,44,,,,,,,,,,20,,,,,,,,,,5,,,1,,57
swa,con,none,3,,,,,,,,,,,26,,,,,,,,,,,,,,,,6,14,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,3,3,33
swa,graz,none,1,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,22,,,,,,,,,49,,,,,,,,8,,,,,,,,,,,,,1,,61,4,19
swa,graz,none,2,,,,1,,,,,,,,,,,,,,,,,,,,,9,,,16,,,,,,,,2,40,,,,,,,,10,,,,,,,,,,,,,2,6,52,,11
swa,graz,none,3,,,,,,,,,,,4,,,,,,1,,,,,,,,32,,1,,1,,,,,,,,64,,,,,,,,3,,8,,,,,,,,,,,3,,36,1,
ucsc,cl1,ll,1,,3,,,,27,,,,,,,,,,,,,,,,,28,11,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,2,2,,,,30
ucsc,cl1,ll,2,,,,22,,18,5,,,,,,,,,,,,,,,,17,7,,8,10,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,89
ucsc,cl1,ll,3,,2,,2,7,21,,,,,,,,,,,,,,,,,39,27,,2,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,37
ucsc,cl1,re,1,,5,,,,32,,,,,,,,,,,,,,1,,,34,37,,,,,,,,,,,,,,,,,,,5,,16,,5,,,,,,,,,,,4,,2,,11
ucsc,cl1,re,2,,1,,,1,43,,,,,,,,,,,,,,,,,43,28,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,2,,,,,5
ucsc,cl1,re,3,,7,,,3,42,2,,,,,,,,,,,,,,,,20,29,,,,,,,,,,,,,,,,,,,,,17,,4,,,,,,,,,,,2,,,,16
ucsc,cl1,sd,1,,4,,,,24,,,,,,,,,,,,,,,,,23,34,,,,,,,,,,,,,,,,,,,,,19,,2,,,,,,,,,,5,,,,,37
ucsc,cl1,sd,2,,5,,1,1,29,7,,,,,,,,,,,,,,,,48,25,,4,1,,,,,,,,,,,,,,,,,,1,,3,,,,1,,,,,,1,,,,,37
ucsc,cl1,sd,3,,4,,,2,25,,,,,,,,,,,,,,,,,24,41,,1,,,,,,,,,,,,,,,,,,,7,,4,,,,1,,,,,,2,,,,,40
ucsc,cl2,ll,1,,,,,,46,,,,,2,,,,,,,,,,,,57,,,,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,26
ucsc,cl2,ll,2,,1,,,,56,,,,,3,,,,,,,,,,,,19,9,,6,,,,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,,,,,,41
ucsc,cl2,ll,3,,1,,19,7,22,,,,,,,,,,,,,,,,,53,5,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
ucsc,cl2,re,1,,4,,,1,35,,,,,,,,,,,,,,,,,51,12,,,,,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,30
ucsc,cl2,re,2,,2,,,3,34,,,,,,,,,,,,,,,,,34,16,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,43
ucsc,cl2,re,3,,3,,3,,39,,,,,,,,,,,,,,,,,49,16,,2,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,42
ucsc,cl2,sd,1,,3,,2,,29,,,,,,5,,,,,,,,,,,32,2,1,,,,,,,,,,,,,,,,,,15,,14,,,,,,,1,,,,,4,8,1,,,67
ucsc,cl2,sd,2,,1,,1,5,47,,,,1,,,,,,,,,,,,,39,15,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
ucsc,cl2,sd,3,,2,,1,,48,,,,,,,,,,,,,,,,,47,9,,2,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,1,,,,41
ucsc,cl3,ll,1,,7,,,,52,,,,,,,,,,,,,,,,,24,37,,,,,,,,,,,,,,,,,,,,,5,,9,,,,,,,,,,,,,,,35
ucsc,cl3,ll,2,,1,,,4,30,,,,,,,,,,,,,,,,,42,13,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,1,,,,,60
ucsc,cl3,ll,3,,2,,,,13,,,,,,,,,,,,,,,,,60,11,,,16,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,52
ucsc,cl3,re,1,,,,,,25,5,,,,,,,,,,,,,,,,37,13,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,55
ucsc,cl3,re,2,,3,,,1,30,,,,,,,,,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,15,,4,,,,,,,,,,,2,,,,40
ucsc,cl3,re,3,,3,,1,,30,,,,,,,,,,,,,,,,,52,16,,4,4,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,44
ucsc,cl3,sd,1,,1,,,,34,,,,,,,,,,,,,,,,,46,4,,2,5,,,,,,,,,,,,,,,,,,2,,10,,,,1,,,,,,1,,,,,75
ucsc,cl3,sd,2,,1,,,,41,3,,,,,,,,,,,,,,,,58,5,,3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,61
ucsc,cl3,sd,3,,3,,,10,30,,,,,,,,,,,,,,,,,12,16,4,,5,,,,,,,,,,,,,,,1,,,5,,,,,,1,,,,,,2,,,,,67
ucsc,con,none,1,,,,,,66,,,,,1,,,,,,,,,,,,26,1,,10,4,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,1,,,,,
ucsc,con,none,2,,,,,4,37,,,,,4,,,,,,,,,,,,24,15,,,12,,,,,,,,,,5,,,,,,,,10,,,,,,,,,,,,2,,,,,2
ucsc,con,none,3,,,,2,,50,,,,,,,,,,,,,,,,,23,1,,6,20,,,,,,,,,,7,,,,,,,,,,17,,,,,,,,,,,,,,,44
ucsc,graz,none,1,,1,,9,,22,,,,,,23,,,,,,,,,,,45,1,,,2,,,,,,,,,,2,,,,,,,,3,,1,,,,,,,,,,,,,,,72
ucsc,graz,none,2,,,,,2,29,1,,,,,,,,,,,,,,,,29,8,,,8,,,,,,,,,,31,,,,,,,,1,,3,,,,,,,,,,,,,,,31
ucsc,graz,none,3,,,,9,,51,,,,,,8,,,,,,,,,,,50,7,1,4,1,,,,,,,,,,8,,,,,,,,8,,,,,,,,,,,,1,1,,,,23
