DATA ON SEEDED SEEDLINGS NEEDS TO BE CLEANED UP PRIOR TO USING THIS SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirglo,cirarv,cirvul,cladav,conarv,conyza,cynech,dancal,dung,elemac,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,jun mex,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madcap,madsat,medpol,naslep,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp,,Madia sativa,Clarkia davyi,Sisyrinch bellum,Comments
elk,CL1,LL,1,,,4,,,,,,,,,,,,,1,2,,,,,,,,,,,,,8,,,48,,,,3,,,,21,,,,,,,,1,,,,,,,,,,11,,,,,,,,,,,,,,,3,,,,67,,,,,
elk,CL1,LL,2,,,11,,,2,,,,5,,,,,,,,,,,,,,,,,,,2,7,,,43,,,,2,,,,24,,,,,,,,,,1,,,,,,,,13,,,,2,,,,,,,,,,,10,,,,53,,,,,
elk,CL1,LL,3,,,2,,6,,3,,,8,,,,,,,,,,,,,,,,,,,,7,,,58,,,,1,,,,24,,,,,,,,,,1,,,,,,,,16,,,,1,,,,,,,,1,,,4,,,,21,,,,,
elk,CL1,SD,1,,,10,,,6,14,,,,,1,,,,,,,,,,,,,,P,,,P - 5,3,,,57,,,,,,,,4,,,,,,,,1,,,,,,,,2,,8,,,,,,,,,,,,4,,,7,,,,18,,,,,
elk,CL1,SD,2,,,3,,,,,,,P - 1,,11,,,,,,,,,,,,,,19,,,2,2,,,55,,,,1,,,,10,6,,,,,,,,,,,,12,,,,,8,,1,,2,,,,,,,,4,,3,4,,,,29,,12,19,,
elk,CL1,SD,3,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,P3,9,,,58,,,,,,,,13,1,P1,,,,,,,,1,,,1,,,,,24,,,,1,,,,,,,,,,,7,,,,29,,1,8,,
elk,CLA,LL,1,,,2,,4,,11,,,,,6,,,,1,,,,,,,,,,,,,1,3,,,54,,,,1,,,,24,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,12,,,,29,,,,,
elk,CLA,LL,2,,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,4,8,,,64,,,,1,,,,15,,,,,,,,,,1,,,,,,,,13,,,,,,,,,,,,,,,9,,,,29,,,,,
elk,CLA,LL,3,,,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,1,6,,,70,,,,,,,,29,,,,,,,,,,,,,,,,,,7,,,,3,,,,,,,,,,,8,,,,13,,,,,
elk,CLA,SD,1,,,1,,,,,,,,,16,,,,,,1,,,,,,,,,,,P1,2,,,68,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,52,,,,,
elk,CLA,SD,2,,,1,,1,,,,,,,9,,,,,,,,,,,,,,P,,,P6,17,,,71,,,,,,,,21,,,,,,,,6,,,,,P1,,,,,25,,,,,,,,,,,,,,,2,,,1,15,,P,P,,
elk,CLA,SD,3,,,3,,13,,1,,,,,5,,,,,,1,,,,,,,,,,,1,,,,74,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,49,,,,,
elk,NM,LL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,NM,LL,2,,,2,,5,,,,,,,5,,,,,,8,,,,,,,,,,,,,,,24,,,,12,,,,,,,,,,,,9,,,,,,,,,,2,,,,,,,,,,,,6,,,,,,,62,,,,,
elk,NM,LL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,NM,LL,4,,,,,4,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,54,,,,4,,,,12,,,,,,,,5,,,,,,,,,,5,,,3,,,,,,,,,3,,,2,,,,46,,,,,
elk,NM,LL,5,,,,,5,,5,,,,,6,,,,,,4,,,,,,,,,,,1,1,,,60,,,,,,,,11,,,,,,,,1,,,,,,,,,,2,,,4,,,,,,1,,,1,,,,,,,35,,,,,
elk,NM,LL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,CLB,LL,1,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,46,,,,15,,,,,,,,,,6,,45,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,15,,,,,
elk,CLB,LL,2,,,3,,1,,1,,,,,11,,,,,,,,,,,,,,,,,,2,,,16,,,,2,,,,7,,,,,,,,35,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,55,,,,,
elk,CLB,LL,3,,,3,,10,,6,,,,,9,,,,,,2,,,,,,,,,,,,1,,,51,,,,1,,,,3,,,,,,,,15,,,,,,,,,,3,,11,3,,,,,,,,,3,,,1,,,,23,,,,,
elk,CLB,SD,1,,,2,,4,,3,,,,,29,,,,,,,,,,,,,,,,,,,,,68,,,,12,,,,6,,,,,,,,3,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,36,,,,,
elk,CLB,SD,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,3,,,P7,,,,74,,,,1,,,,23,,,,,,,,5,,,,,4,,,2,,10,,,,,,,,P1,,,,2,,3,3,,,,25,,4,3,,
elk,CLB,SD,3,,,8,,2,3,1,,,,,2,,,,,,,,,,,,,,7,,,,,,,68,,,,1,,,,29,,,,,,,,2,,6,,,10,,,,,7,,,,1,,,,,,,,,,,1,,,,35,,10,7,,
elk,NM,SD,1,,,11,,6,1,,,,,,11,,,,,,7,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,P4,,,,,,,,,,1,,,,,,,,,,,,,,31,,,,,,,42,,,,,
elk,NM,SD,2,,,1,,11,,,,,,,1,,,,,,49,,,,,,,,,P5,,,,,,31,,,,5,,,,6,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,9,,,,,
elk,NM,SD,3,,,14,,22,1,,,,,,3,,,,,,8,,,,,,,,,,,2,,,,29,,,,1,,,,2,,,,,,,,1,,,,,,,,,,13,,,,,,,,,,,,13,,,2,,,,38,,,,,
elk,CONTROL,,1,,,9,,7,,,,,7,,10,,,,,,5,,,,,,,,,,,3,,,,21,,,,11,,,,,,,,,,,,4,,,,,,,,,,1,,6,,,,,,,1,,,5,,,,,,,53,,,,,
elk,CONTROL,,2,,,4,,6,,5,,,,,6,,,,,,7,,1,,,,,,,,,2,,,,29,,,,4,,,,,,,,,,3,,6,,,,,,,,,,,,11,,,,,,,,,,2,,,,,,,70,,,,,
elk,CONTROL,,3,,,1,,4,,5,,,,,29,,,,,,1,,,,,,,,,,,,,,,45,,,,4,,,,1,,,,,,,,8,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,38,,,,,
