SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirarv,cirvul,conarv,cynech,dancal,dung,elemac,epicil,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp
swa,CL1,LL,3,cows,1,,,,3,,,,,,33,,,,,,,,,,,,,,,2,7,,,,,2,,1,,,,,,,,,,,2,,,,,,,,,16,,2,,,,,,,,,,5,,,24,,,,29
swa,CL1,SD,1,,1,,,,2,,,,,4,3,,,,,,,,,,,,,,,16,,,,,1,2,,3,1,,,,2,,,,,,7,,,,,,,,,22,,1,,,,,,,,,,,,2,53,,,1,4
swa,CL1,SD,2,cows,,,,,3,,,,,3,6,,,,,,,,,,,1,,,,,,,,8,,1,1,1,,,,,4,,,,,,,,,,,,,5,,49,,1,,,1,,,,,,,,,1,20,,,,
swa,CL1,SD,3,cows,,1,,,6,1,,,,,11,,,,,,,,,,,,,,,5,,,,28,,9,,,,,,,,,,,,,3,,,,,,,2,,21,,13,,,,2,,,,,,1,1,2,28,,,,4
swa,CLA,LL,1,cows,,2,,,4,,,,,,6,,,,,,,,,,,,,,1,9,,,,1,,,,2,,,,,2,,,,,1,3,,,,,,,,,53,,1,,,,,,,,,1,,,3,37,,,,14
swa,CLA,LL,2,cows,2,1,,,2,,,,,,3,,,,,,,,,,,,,,1,29,,,,1,,14,,,,1,,,4,,,,,1,2,,,,,,,,,16,5,2,,,4,,,,,,,1,,,58,,,,9
swa,CLA,LL,3,cows,,,,,1,,,,,,,,,,,,,,,,,,,,1,67,,,,,,,,,,,,,3,,,,,,,,,,,,,,,28,,3,,,,,,,,,,2,,13,18,,,,10
swa,CLA,SD,1,cows,,,,,,,,,,,6,,,,,,,,,,,,,,,33,,,,,11,,,,,,,,,,,,,,1,,,,,,,,,4,,1,,,,,,,,,,,,,73,,,,10
swa,CLA,SD,2,cows,,1,,,4,,,,,1,5,,,,,,,,,,,,,,1,34,,,,9,7,,,,,,,,6,,,,,,,,,,,,,2,,11,,,,,1,3,,,,,2,,,2,21,,,,4
swa,CLA,SD,3,cows,,1,,,13,,,,,,4,,,,,,,,,,,,,,,1,,,,,,6,,1,2,,,,2,,,,,,,,1,,,,,3,,24,1,3,,,4,,,,,,,1,,,58,,,,2
swa,CLB,LL,1,cows,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,21,,16,,1,,,,,,,,,,,1,,,,,,,,,15,,2,1,,,,,,,,,5,,,55,,,,8
swa,CLB,LL,2,cows,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,12,,16,,1,,,,,,,,,,,1,,,,,,,,,1,,6,,,,,,,,,,,,,66,,,,5
swa,CLB,LL,3,,,,,,,,,,,,84,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,8,,1,2,,,,2
swa,CLB,SD,1,cows,1,,,,,,,,,3,25,,,,,,,,,,,,,,,2,,,,,,18,,2,2,,,,1,,,,,,,,,,,,,,,26,,1,,,,,,,,,,1,,3,59,,,,11
swa,CLB,SD,2,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,1,
swa,CLB,SD,3,cows pulled up cisbel,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,3,,,,6,,,,,1,,,,,,,,,,,,,,,2,,2,,,,,,,,,,1,,,27,,,,10
swa,CLC,LL,1,cows,,,,3,1,,,,,2,28,,,,,,,,,,,,,,1,23,,,,,,,,3,,2,,,,,,,,,4,,,,,,,,,23,,10,,,,,,,,,,14,,,3,,,,15
swa,CLC,LL,2,cows,,,,,2,,,,,,44,,,,,,,,,,,,,,1,16,,,,15,,,,2,,,,,1,,,,,,,,,,,,,,,16,1,6,,,2,,,,,,,,,,18,,,,5
swa,CLC,LL,3,,,,,,2,,,,,,4,,,,,,,,,,,,,,3,,,,,9,8,9,,,,,,,,,,,,,,,,,,,,,,3,1,7,,,5,,,,,,,,,,71,,,,2
swa,NM,LL,1,cows,,,,,7,,,,,2,2,,,,,,,,,,,,,,,,,,,10,15,3,,,,,,,1,,,,,,,,,,,,,,,,2,11,,,4,,,,,,3,,,,53,,,,4
swa,NM,LL,2,cows,,,,,1,,,,,,10,,,,,,,,,,,,,,2,19,1,,,1,,,,,,,,,5,,,,,,,,,,,,,,,10,11,2,,,4,,,,,,,,,1,64,,,,5
swa,NM,LL,3,cows,,,,,1,,,,,,36,,,,,,,,,,,,,,,,,,,44,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,48,,,,6
swa,NM,LL,4,cows,,,,,,,,,,,49,,,,,,,,,,,,,,,1,,,,2,,,,5,,,,,,,,,,,2,,,,,,,,,20,,4,,,,,,,,,,1,,,5,,,,32
swa,NM,LL,5,cows,,,,,,,,,,6,9,,,,,,,,,,,,,,1,12,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,37,,4,,,1,,,,,,,,,8,38,,,,5
swa,NM,LL,6,cows,2,3,,,2,,,,,1,1,,,,,,,,,,,,,,,52,,,,11,1,14,,,,,,,,,,,,,,,,,,,,,,13,,,,,1,,,,,,,2,,,30,,,,5
swa,NM,SD,1,cows,,,,,5,1,,,,7,6,,,,,,,,,,,,,,,3,,,,18,,,,,,,,,1,,,,,,1,,,,,,,,,29,,4,,,3,,,,,,,,,3,40,,,,2
swa,NM,SD,2,cows,,,,,,,,,,,18,,,,,,,,,,,,,,,,2,,,42,,2,,1,,,,,1,,,,,,1,,,,,,,1,,3,,3,,,,,,,,,,,,,26,,,,5
swa,NM,SD,3,cows,,,,,3,,,,,6,25,,,,,,,,1,,,,,,,,,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,,,,28
swa,CONTROL,,1,cows,,,,,1,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,4,2,,,,,,,,,8,,,,,,2,5
swa,CONTROL,,2,cows,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,32,,,,,,,
swa,CONTROL,,3,cows,,,,,,,,,,,88,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,4,,,,,,,6
swa,GRAZED,,1,,,1,,,1,,,,,13,2,,,,,,,,,,,,,,,,,,,,,19,,,,,,,5,,,,,,,,,,,,,,,8,,2,,,,,,,,,,,,2,40,,,,9
swa,GRAZED,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,3,4,34,1,,,,,,,,,,,,10,,,,,,,,,,,8,,,,,,,,,,,,,29,,,,55
swa,GRAZED,,3,,,,,,,,,,,2,4,,,,,,,,,,,1,,,,,1,,,,,27,,,,,,,1,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,,1,55,,,,9
swa,GRAZED,,4,,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,63,,,,24
swa,GRAZED,,5,cows,,,,,,,,,,1,35,,,,,,,,,,,,,,,1,,,,5,,8,,2,,2,,,,,,,,,6,,,,,,,,,2,,2,,,,,,,,,,,1,,68,,,,2
swa,GRAZED,,6,,,1,,,,,,,,,11,,,,,,,,,,,,,,1,2,,,,38,,1,,,,,,,6,,,,,2,6,,,,,,,,,2,,4,,,1,,,,,,,,2,3,16,,,,6
ucsc,CL1,LL,1,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,92,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucsc,CL1,LL,2,,,,,,,28,4,,,,4,,,,,,,,,,,,,,,,,,,97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ucsc,CL1,LL,3,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,96,6,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
ucsc,CL1,SD,1,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,65,5,4,,,,,,,,,,,,,,,2,,,,,30,,,,,,,,16,,,,,,,,,,,,,4
ucsc,CL1,SD,2,,,,,,1,16,11,,,,,,,,,,,,,,,,,,,,,,,83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,6
ucsc,CL1,SD,3,,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,86,12,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,1
ucsc,CLA,LL,1,1 large lupine seedling outside plot,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,93,1,2,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,,,,,,,,,1,,,,,
ucsc,CLA,LL,2,,,2,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,72,26,,,,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,6,,,,,,,
ucsc,CLA,LL,3,,,1,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,88,15,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,3
ucsc,CLA,SD,1,1 large lupine in plot but outside monitoring area,,5,,13,,1,15,,,,3,,,,,,,,,,,,,,,,,,,78,2,,,,,,,,,,,,,,,,,,,,,6,,,,7,,,,8,,,,,,,,,,,,,5
ucsc,CLA,SD,2,4 lupine seedlings in plot outside monitoring area,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,93,2,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,5,,,,,,,,,,,,,
ucsc,CLA,SD,3,"1 seeded calcil plant, 4 lupines outside monitoring area",,11,,,6,22,,,,,,,,,,,,,,,,,,,,,,,,71,21,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,7,,,,,,,,,,,,,7
ucsc,CLB,LL,1,,,8,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,75,14,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,2,,,,,,,9
ucsc,CLB,LL,2,,,5,,,,16,,,,,,,,,,,,,,,,,,,,,,,,86,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7
ucsc,CLB,LL,3,,,3,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,89,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,12
ucsc,CLB,SD,1,,,3,,,,19,,,,,,,,,,,,,,,,,,,,,,,,90,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,1,,,,,
ucsc,CLB,SD,2,Melica californica seedling in eastern part of plot- several years old,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ucsc,CLB,SD,3,,,,,,2,16,1,,,,1,,,,,,,,,,,,,,,,,,,92,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ucsc,CLC,LL,1,Melica californica seedling in eastern part of plot- several years old,,1,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,92,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,6
ucsc,CLC,LL,2,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ucsc,CLC,LL,3,,,1,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,91,15,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ucsc,CONTROL,,1,,,,,,,38,,,,,1,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ucsc,CONTROL,,2,,,,,,,37,,,,,6,,,,,,,,,,,,,,,,,,,72,4,3,2,1,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
ucsc,CONTROL,,3,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,84,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,2
ucsc,NM,LL,1,,,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,94,18,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,3
ucsc,NM,LL,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,93,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
ucsc,NM,LL,3,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,96,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,3
ucsc,NM,LL,4,,,2,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,74,6,,,,,,,,,,,,,,,,,,,,10,,,1,,1,,,,,,,,,,2,,,,,,,
ucsc,NM,LL,5,,,1,,,,19,,,,,2,,,,,,,,,,,,,,,,,,,84,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
ucsc,NM,LL,6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,96,9,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4
ucsc,NM,SD,1,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,87,6,,,,,,,,,,,,,,,,,,,,,27,,,,1,,,,7,,,,,,1,,,,,,,1
ucsc,NM,SD,2,,,3,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,78,11,,,,,,,,,,,,,,,,,,,,,14,,,,1,,,,6,,,,,,,,,,,,,4
ucsc,NM,SD,3,,,,,,3,10,2,,,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,,,,,,,,,,,18,,,,3,,,,15,,,,,,,,,,,,,1
ucsc,GRAZED,,1,,,1,,,,26,,,,,,,,,,,,,,,,,,,,,,,,89,5,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,19,1,1,,,,2
ucsc,GRAZED,,2,,,,,3,1,22,,,,,2,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,
ucsc,GRAZED,,3,,,2,,,,49,2,,,,,,,,,,,,,,,,,,,,,,,65,4,4,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7
ucsc,GRAZED,,4,,,,,,2,42,,,,,,,,,,,,,,,,,,,,,,,,75,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,2,1,,,,,,
ucsc,GRAZED,,5,,,,,,,26,,,,,1,,,,,,,,,,,,,,,,,,,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ucsc,GRAZED,,6,,,,,,,18,,,,,,,,,,,,,,,,,,,,,2,,,90,4,,,1,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,18,1,,,,,1
