SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirarv,cirvul,conarv,cynech,dancal,dung,elemac,epicil,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp
elk,CLC,LL,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,14,,,,42,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,,70
elk,CLC,LL,2,,,,,,,,,,,,25,,,,2,,,,,,,,,,,29,,,,32,,,,1,,,,,5,,,,,,,,,,,,,,,5,,5,,1,,,,,,,,,,,18,,,,51
elk,CLC,LL,3,,,1,,,,,,,,,24,,,,3,,7,,,,,,,,,18,,,,40,,,,5,,,,,14,,,,,,3,,,,,,,,,5,,1,,,,,,,,,,4,,1,1,,,,5
elk,CL1,LL,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,19,,,,40,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,3,,,,81
elk,CL1,LL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,14,,,,2,,,,,5,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,6,,,,74
elk,CL1,LL,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,23,,,,29,,,,1,,,,,2,,1,,,,,,,,,,,,,29,,,,3,,,,,,,,6,,1,14,,,,58
elk,CL1,SD,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,18,,,,54,,,,,,,,,2,,,,,,,,,,,,,,4,25,,,,1,,,,,,,,9,,,10,,,,11
elk,CL1,SD,2,,,,,18,1,,,,,,1,,,,,,,,,,,,,,,6,,,,55,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,3,,,,42
elk,CL1,SD,3,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,45,,,,,,,,,5,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,,,6,,,,57
elk,CLA,LL,1,,2,,,,1,,,,,,,,,,2,,,,,,,,,,,28,,,,46,,,,,,,,,25,,,,,,1,,,,,,,,8,7,16,,,,,,,,,,,1,,,31,,,,22
elk,CLA,LL,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,35,,,,29,,,,1,,,,,13,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,1,44,,,,25
elk,CLA,LL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,42,12,,,,,,,,9,,,,,,,,,,,,,,,1,,,,10,,,,,,,,1,,2,45,,,,37
elk,CLA,SD,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,7,,,,82,,,,,,,,,,,,,,,3,,1,,,,,,,1,,,,,,,,,,,,1,,,8,,,,40
elk,CLA,SD,2,,,,,,,,,,,,11,,,,,,,,,,,,,,,11,,,,75,,,,,,,,,40,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,10,,,,21
elk,CLA,SD,3,,,,,7,,,,,,,19,,,,1,,,,,,,,,,,3,,,,65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,51
elk,NM,LL,1,,,2,,,,,,,,,7,,,,,,4,,,,,,,,,7,,,,34,,,,9,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,1,,,5,,,,71
elk,NM,LL,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,78,,,,3,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,,,3,,,,39
elk,NM,LL,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,12,,,,57,,,,3,,,,,1,,,,,,,,,,,,,,,,4,,,8,,,,,,,,,,7,11,,,,64
elk,NM,LL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,26,,,,1,,,,,24,,,,,,,,,,,,,,,2,4,,,,,,,,,,1,,,,32,,,,68
elk,NM,LL,5,,,,,,1,,,,,,17,,,,,,,,,,,,,,,1,,,,86,,,,,,,,,8,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,4,,,,11
elk,NM,LL,6,,,,,,,,,,,,5,,,,,,,,,,,,,,,3,,,,82,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,63
elk,CLB,LL,1,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,69,,,,11,,,,,2,,,,14,,11,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,3
elk,CLB,LL,2,,,,,,7,,,,,,1,,,,,,,,,,,,,,,27,,,,20,1,,,1,,,,,21,,,,,,1,,,,,,,,,1,17,,,,,,,,,,,,,,31,,,,40
elk,CLB,LL,3,,,,,,,,,,,,10,,,,4,,,,,,,,,,,40,,,,71,,,,6,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,1,5,,,,20
elk,CLB,SD,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,19,,,,66,,,,7,,,,,3,,,,,,,,,,,,,,,1,2,2,,1,,,,,,,3,,,,8,,,,43
elk,CLB,SD,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,48,,,,1,,,,,1,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,14,,,,84
elk,CLB,SD,3,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,50,,,,,,,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,,4,,,7,,,,60
elk,NM,SD,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,12,,,,95,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7
elk,NM,SD,2,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,48,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,51
elk,NM,SD,3,,,,,,,,,,,,9,,,,,,,,,,,,,,,8,,,,69,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,18,,,,52
elk,CONTROL,,1,,,4,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,36,,,,6,,,,,,,,,,,9,,,,,,,,5,,,17,,,,,,,,,,6,,,,,,,35
elk,CONTROL,,2,,,1,,,3,,,,,,8,,,,,,9,,1,,,,,,,,,,,27,,,,6,,,,,2,,,,4,,16,,,,,,,,,,,12,,,,,,,,,,17,,,,,,,29
elk,CONTROL,,3,,,,,,,,,,,,7,,,,,,24,,,,,,,,,,,,,71,,2,,6,,,,,2,,,,,,21,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,4
elk,GRAZED,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,23,,,,39,,,,,,,,,2,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,14,,,,79
elk,GRAZED,,2,,,,,,2,,,,,,8,,,,1,,,,,,,,,,,6,,,,82,,,,,,,,,2,,,,,,14,,,,,,,,,2,,,,,,,,,,,,,,,,,,,42
elk,GRAZED,,3,,,,,,,,,,,,10,,,,,,,,,,,,,,,7,,,,65,,,,,,,,,1,,,,,,8,,,,,,,,,,,6,,,,,,,,,,2,,,7,,,,36
elk,GRAZED,,4,,,,,,1,14,,,,,1,,,,,,,,,,,,,,,8,,,,88,,,2,,,,,,,,,,,,,,,,,,,5,,2,,1,,,,,,,,,,1,,,,,,,19
elk,GRAZED,,5,,,,,,,1,,,,,18,,,,,,,,,,,,,,,15,,,,65,,,,2,,,,,,,,,,,12,,,,,,,,,2,,5,,,,,,,,,,1,,,1,,,,26
elk,GRAZED,,6,,,,,,2,2,,,,,3,,,,,,,,,,,,,,,1,3,,,90,,,,,,,,,2,,,,,,1,,,,,,,2,,1,,,,2,,,,,,,,2,,,,,,,8
swa,CL1,LL,1,cows,,,,,2,,,,,12,6,,,,,,,,1,,,,,,,1,,,,,,10,,,,,,,3,,,,,,3,,,,,,,,,24,,1,,,,,,,,,1,,1,,40,,,1,7
swa,CL1,LL,2,,,,,,,,,,,,11,,,,,,,,,,,,,,,,6,,,,,19,,,,,,,,,,,,,1,,,,,,,,,28,1,,,,,,,,,,1,,1,5,20,,,,30
