SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,cartum,cerglo,cirarv,cirvul,cynech,dancal,dung,elemac,erobot,erocic,eromos,esccal,gerdis,horbra,hornur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,vicia,vulpsp
elk,cl1,ll,1,,,,,,,,,,,10,,,,,,,,,,1,53,,,1,,,,,,,,,,,,,,1,,,,,,,,2,,5,,,,,,,,,,,,,,,84
elk,cl1,ll,2,,,,,,,,,,,,,7,,,,,,,,1,54,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,19,,,,,,,,,,1,2,,70
elk,cl1,ll,3,1,,,,2,,,,7,,,,,,,,,,,,4,69,,,4,,,,1,,,,,,,,,,,,,,,,,,3,,,,45,,,,,,,,,,5,,,35
elk,cl1,re,1,,,,,,,,,,,1,,,,,,,,,,,33,,,13,,,,10,,,,,,,,9,,,,,,,,,,2,,7,,30,,,,,,,,1,,,3,,43
elk,cl1,re,2,,,,,,,,,,,,,,,1,,,,,,,49,,12,7,,,,4,,,,,,,,8,,,,,,,,,,4,,,,25,,,,,,,,,,,8,,55
elk,cl1,re,3,,,,,,,,,,,,,,,,,,,,,,57,,,10,,,,,,,,,,,,,,,,,,,,,,13,,,,21,,,,,,,,,,,7,,60
elk,cl1,sd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl1,sd,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl1,sd,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl2,ll,1,,,,,,,,,,,5,,,,,,,,,,10,68,,,1,,,,,,,,,,,,,,2,,,,,,,,5,,2,,14,,,,,,,,,,4,,,44
