SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,cartum,cerglo,cirarv,cirvul,cynech,dancal,dung,elemac,erobot,erocic,eromos,esccal,gerdis,horbra,hornur,hypgla,hyprad,junbuf,junocc,junpat,junpha,linbie,lolmul,lupnan,lythys,madsat,medpol,moss,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,vicia,vulpsp
elk,cl2,ll,2,1,,,,,,,1,,,13,,,,1,,,,,,2,61,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,1,,2,6,,44
elk,cl2,ll,3,1,,,,,,,4,,,8,,,,2,,,,,,,65,,,,,,,1,,,,,,,,,,4,,,,,,,,1,,,,2,,,,,,,,,1,5,2,,28
elk,cl2,re,1,,,,,,,,3,,,14,,,,,,,,,,,54,,,8,,,,10,,,,,,,,4,,4,,,,,,,,4,,10,,2,,,,,,,,,,,17,,27
elk,cl2,re,2,8,,,,2,,,,1,,6,,,,,,,,,,7,73,,,5,,,,2,,,16,,,,,,,,,,,,,,,6,,,,26,,,,,,,,,,7,1,,17
elk,cl2,re,3,2,,,,,,,,,,8,,,,,,,,,,9,74,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,4,3,,27
elk,cl2,sd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl2,sd,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl2,sd,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl3,ll,1,4,,,,2,,,,,,,,,,2,1,,,,,19,58,,,6,,,,6,,,,,,,,,,1,,,,,,,,,,,,25,,,,,,,,,,4,10,,33
elk,cl3,ll,2,,,,,,,,,,,,,,,,,,,,,11,62,,1,2,,,,,,,,,,,,,,,,,,,,,,3,,,,39,,,,,,,,,,,12,,16
elk,cl3,ll,3,1,,,,,,,1,,,,,,,,,,,,,2,73,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,52,,,,,,,,,,1,5,,2
elk,cl3,re,1,,1,,,,,,,,,1,,,,,,,,,,9,66,,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,,10,,,,,,,,,,2,8,,49
elk,cl3,re,2,7,,,,3,,,,,,,,,,3,,,,,,4,59,,,10,,,,3,,,,,,,,,,2,,,,,,,11,2,1,,,22,,,,,,,,1,,,14,,33
elk,cl3,re,3,14,,,,,,,1,,,1,,,,1,,,,,,1,58,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,72,,,,,,,,,,2,8,,2
elk,cl3,sd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl3,sd,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,cl3,sd,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,con,none,1,,1,,,,,,3,,,15,,,,,,,,,,2,,,,2,,,,6,,,,,,,,,,26,,,,,,,,,,5,,,,,,,,,,15,,,,,65
elk,con,none,2,,,,,,,,,,,2,,,,,,,,,,3,2,,,7,,,,7,,,,,,,,,,21,,,,,,,,,,15,,,,,,,,,,20,,,,,39
elk,con,none,3,,,,,,,,,,,13,,,,,,,,,,,5,,,1,,,,14,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,26,,,,,38
elk,graz,none,1,,,,,,,,,,,2,,,,,,,,,,1,31,3,,3,,,,5,,,,,,,,,,37,,,,,,,,1,,,,3,,,,,,,,1,,,1,,41
elk,graz,none,2,,,,,,,,,,,17,,,,,,,,,,,19,,,4,,,,8,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,2,,2,3,,65
elk,graz,none,3,,,,,2,,,,,,4,,,,,,,,,,1,39,,,,,,,2,,,,,,,,,,24,,,,,,,,1,,,,12,,,,,,,,2,,1,3,,73
swa,cl1,ll,1,,,,,2,,,,,,35,,,,,,,,,,,7,,,1,,,,3,,,,1,,,,,,5,,,,,,,,56,,18,,,,,,,,,,6,,,,,3
swa,cl1,ll,2,,,,,11,,,,,,53,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,34,,11,,,,,,,,,,,,,,,2
swa,cl1,ll,3,,,,,8,,,,,8,29,,,,,,,,,,,,,,4,,4,,16,,,,,,,,,,15,,,,,,,,27,,19,,,,,,,,,,,,,1,,10
swa,cl1,re,1,,,,,3,,,,,27,28,,,1,,,,2,,,4,3,,,1,,,,,,,,5,,,,,,11,,,,,,,,32,,10,,,1,,,,,,,,,,1,,21
swa,cl1,re,2,1,,,,3,,,,1,3,4,,,,,,,,,,4,44,,,5,,,,3,,,,2,,,,,,2,,,,,,30,,35,3,12,,,,,,,,,,1,,,2,,7
swa,cl1,re,3,,,,,5,,,,,,61,,,,,,,,,,,,,,15,1,4,,3,,,,,,,,,,1,,,,,,,,10,,32,,,,,,,,,,,,,,,15
swa,cl1,sd,1,,,,,12,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,3,,,,,,1,,78,,5,,,,1,,,,,,1,,,,,3
swa,cl1,sd,2,,,,,3,,,,,9,14,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,11,,,,,,,,60,,17,,,,,,,,,,,,,,,7
swa,cl1,sd,3,,,,,11,,,,,1,29,,,,,,,,,,,,,,2,,,,,,,,,,,,,,17,,,,,,4,,35,,24,,,,,,,,,,2,,,,,12
swa,cl2,ll,1,,,,,,,,,,21,16,,,,,,,,,,,,,,14,,,,11,,,1,5,,,,,,,,,,,,,,16,,25,,,1,,,,,,,,,,,,34
swa,cl2,ll,2,,1,,,2,,,,,8,67,,,,,,,,,1,,,,,14,,4,,8,,,,,,,,,,,,,,,,,,6,,30,,,,,,,,,,,,,,,17
swa,cl2,ll,3,,,,,6,,,,,,57,,,,,,,,,,,,,,,,1,,30,,,,,,,,,,12,,,,,,,,10,,22,,,,,,,,,,,,,,,39
swa,cl2,re,1,,,,,12,,,,,,36,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,28,,17,,,,,,,,,,1,,,,,22
swa,cl2,re,2,,,,,,,,,,,79,,,,,,,,,,,,,,26,,,,5,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,1,,36
swa,cl2,re,3,,,,,6,,,,,,45,,,,,,,,,,2,,,,1,,,,3,,,,1,,,,,,1,,,,,,,,28,,23,,,2,,,,,,,,,,,,25
swa,cl2,sd,1,,1,,,1,,,,,34,8,,,,,,,,,,,1,,,17,,,,9,,,4,2,,,1,,,,,,,,,,,42,1,38,,,1,,,,,,,,,,,,83
swa,cl2,sd,2,,,,,,,,,,,76,,,,,,,,,,1,,,,17,,,,2,,,,,,,,,,1,,,,,,,,6,,27,,,1,,,,,,,1,,,,,17
swa,cl2,sd,3,,,,,2,,,,,8,65,,,,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,,,,,,9,,31,,,,,,,,,,,,,,,12
swa,cl3,ll,1,,2,,,,,,,,36,11,,,4,,,1,2,,,1,6,,,6,,,,4,,,,5,,,,,,4,,,,,,,,13,33,28,,,4,,,,,,,,,,9,,16
swa,cl3,ll,2,,,,,8,,,,,1,31,,,2,,,,,,,,3,,,14,,13,2,7,,,,,,,,,,14,,,,,,,,,8,51,2,,,,,,,,,,,,4,,20
swa,cl3,ll,3,,,,,3,,,,,25,31,,,,,,,2,,,2,,,,1,,2,9,8,,,,,,,,,,13,,,,,,,,21,16,21,,,2,,,,,,,,,,3,,26
swa,cl3,re,1,5,2,,,10,,,,,1,3,,,20,,,,3,,,4,,,,2,1,27,1,10,,,,,2,,,,,,,,,,,,,2,3,30,,,2,,,,,,3,,,4,12,,14
swa,cl3,re,2,3,2,,,5,,,,,2,11,,,,,,,,,,1,2,,,1,,3,,1,,,,5,,,,,,4,,,,,,,,25,31,13,,,,,,,,,,,,,14,,12
swa,cl3,re,3,1,,,,9,,,,,6,6,,,,,,,,,,,16,,,4,,11,,2,,,,,,,,,,1,,,,,,,,25,2,12,,,,,,,,,,,,,,,20
swa,cl3,sd,1,,,,,1,,,,,,53,,,,,1,,,,,,3,,,2,,21,,1,,,,,,,,,,1,,,,,,3,,6,7,25,2,,,1,,,,,,,,,5,,56
swa,cl3,sd,2,,,,,16,,,,,3,6,,,,,,,,,,2,16,,,9,,2,,2,,,,1,,,,,,3,,,,,,1,,31,8,7,,,,7,,,,,,,,,2,,12
swa,cl3,sd,3,,,,,25,,,,,,15,,,,,,,,,,,,,,,,,,2,,,,,,,,,,10,,,,,,5,,36,,16,,,,,,,,,,,,,1,,1
swa,con,none,1,,,,,5,,,,,1,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,54,,,,2,21
swa,con,none,2,,1,,,2,,,,,,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,39,1,,,,,,,,,10,,,,,60
swa,con,none,3,,,,,2,,,,,,14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,60,,,,,18
swa,graz,none,1,,2,,,18,,,,,,14,,,,,,,,,,,,,,,,8,,,1,,,,,,,,,49,,,,,,,,3,,,,,,,,,,,,1,,,4,,20
swa,graz,none,2,,,,,9,,,,,,1,,,2,,,,,,,,,,,,,4,,1,,,,,,,,,,73,,,,,,,,1,,7,,,,,,,,,1,1,,1,5,1,6
swa,graz,none,3,,,,,22,,,,,,5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,62,,,,,,,,,1,6,,,,,,,,,,,,,6,,8
ucsc,cl1,ll,1,,,,,,53,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,7,,,,,37
ucsc,cl1,ll,2,,1,,,11,35,,,,,8,,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,,,47
ucsc,cl1,ll,3,,12,,,4,61,,,,,,,,,,,,,,,,,,,13,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,51
ucsc,cl1,re,1,,,,,3,65,,,,,,,,,,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,4,,12,,2,,,,,,,,,,2,,,,,23
ucsc,cl1,re,2,,,,,2,67,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,5,,,,,27
ucsc,cl1,re,3,,1,,,12,51,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,29,,5,,,,,,,,,,1,,,,,15
ucsc,cl1,sd,1,,,,,8,47,,,,,1,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,4,,,,,47
ucsc,cl1,sd,2,,,,,30,40,,,,,1,,,,,,,,,,,,,,6,1,,1,,,,,,,,,,,1,,,,,,,,2,,1,,,,1,,,,,,8,,,,,25
ucsc,cl1,sd,3,,,,,11,53,,,,,,,,,,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,,2,,13,,5,,,,1,,,,,,1,,,,,30
ucsc,cl2,ll,1,,,,,17,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,64,,,,,3
ucsc,cl2,ll,2,,,,,1,44,,,,,5,,,,,,,,,,,,,,8,,,3,2,,,,,,,,,,,,,,,,,,6,,3,,,,,,,,,,7,,,,,37
ucsc,cl2,ll,3,,9,,,2,13,,,,,13,,,,,,,,,,,,,,13,,,,9,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,5,,,,,73
ucsc,cl2,re,1,,2,,,1,46,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,17,,,,,,,,,,4,,,,,50
ucsc,cl2,re,2,,3,,,,31,,,,,1,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,2,,,,,83
ucsc,cl2,re,3,,,,,1,22,,,,,1,,,,,,,,,,,,,,5,,,11,2,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,1,,,,,85
ucsc,cl2,sd,1,,,,,1,25,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,21,,9,,,,,,1,,,,,,5,,,,,56
ucsc,cl2,sd,2,,,,,12,25,,,,,5,,,,,,,,,,,,,,12,,,7,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,61
ucsc,cl2,sd,3,,1,,,9,49,,,,,1,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,,,,,4,,,,,43
ucsc,cl3,ll,1,,,,,2,61,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,3,,11,,,,,,,,,,6,,,,,41
ucsc,cl3,ll,2,,3,,,2,57,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,6,,,,,46
ucsc,cl3,ll,3,,4,,,6,30,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,,14,,,,,48
ucsc,cl3,re,1,,,,,5,55,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,10,,,,,44
ucsc,cl3,re,2,,2,,,2,51,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,2,,,,,47
ucsc,cl3,re,3,,3,,,10,51,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,56
ucsc,cl3,sd,1,,2,,,18,22,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,6,,2,,9,,,,4,,,,,,1,,,,,56
ucsc,cl3,sd,2,,,,,6,37,,,,,,,,,,,,,,,,,,,1,1,,2,1,,,,,,,,,,,,,,,,6,,,,3,,,,4,,,,,,1,,,,,61
ucsc,cl3,sd,3,,,,,7,33,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,8,,4,,,,,,3,,,,,,6,,,,,52
ucsc,con,none,1,,,,,8,60,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,23,,,,,5
ucsc,con,none,2,,,,,11,44,,,,,10,,,,,,,,,,,,,,2,,,4,6,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,13,,,,,1
ucsc,con,none,3,,,,,7,26,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,38,,,,,13
ucsc,graz,none,1,,,,,4,34,,,,,10,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,6,,,,,,,,15,,6,,,,,,,,,,4,,,,,54
ucsc,graz,none,2,,,,,7,35,,,,,4,,,,,,,,,,,,,,1,,,3,5,,,,,,,,,,7,,,,,,,,8,,3,,,,,,,,,,11,,,,,46
ucsc,graz,none,3,,,,,1,59,,,,,7,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,6,,,,,,,,6,,,,,,,,,,,,4,,,,,44
