site,guild,sig
Angelo,Native forbs,No
Carrizo,Native forbs,Yes
Elkhorn,Native forbs,No
Jasper,Native forbs,Yes
McL Ann,Native forbs,No
McL Serp,Native forbs,No
Swanton,Native forbs,No
UCSC,Native forbs,Yes
Angelo,Native grasses,No
Carrizo,Native grasses,Yes
Elkhorn,Native grasses,Yes
Jasper,Native grasses,No
McL Ann,Native grasses,No
McL Serp,Native grasses,No
Swanton,Native grasses,No
UCSC,Native grasses,No
Angelo,Non-native forbs,Yes
Carrizo,Non-native forbs,No
Elkhorn,Non-native forbs,Yes
Jasper,Non-native forbs,No
McL Ann,Non-native forbs,Yes
McL Serp,Non-native forbs,No
Swanton,Non-native forbs,No
UCSC,Non-native forbs,No
Angelo,Non-native grasses,Yes
Carrizo,Non-native grasses,No
Elkhorn,Non-native grasses,Yes
Jasper,Non-native grasses,No
McL Ann,Non-native grasses,No
McL Serp,Non-native grasses,No
Swanton,Non-native grasses,No
UCSC,Non-native grasses,Yes
