"","year","plot","CTI","CPI","Site"
"1",1999,1,16.0351009020302,562.030917061524,"Swanton"
"2",1999,2,15.688114089352,620.762374630937,"Swanton"
"3",1999,3,16.30292649081,513.706932347545,"Swanton"
"4",2000,1,16.2729165504971,525.330614189147,"Swanton"
"5",2000,2,16.1637562083701,525.265289464942,"Swanton"
"6",2000,3,16.1047796793393,536.907679641667,"Swanton"
"7",2001,1,16.2685646536825,518.453083638105,"Swanton"
"8",2001,2,15.9465401120421,554.784584978591,"Swanton"
"9",2001,3,16.2847884476633,522.591757414935,"Swanton"
"10",2002,1,15.8956473137528,551.258585506241,"Swanton"
"11",2002,2,16.0545213663976,544.108711687025,"Swanton"
"12",2002,3,16.2349154649235,519.817781547764,"Swanton"
"13",2003,1,16.1818928113988,539.980762453011,"Swanton"
"14",2003,2,14.3160803077107,646.108896914006,"Swanton"
"15",2003,3,14.8268179547481,618.788112466132,"Swanton"
"16",2004,1,15.5419086450885,584.536917374553,"Swanton"
"17",2004,2,16.0990345106028,531.865154742569,"Swanton"
"18",2004,3,16.1659907489565,510.699332300044,"Swanton"
"19",2005,1,16.0563643311324,548.560033681418,"Swanton"
"20",2005,2,15.9870207229179,552.067342218586,"Swanton"
"21",2005,3,15.949681556428,520.149595878497,"Swanton"
"22",2006,1,16.1035714233875,547.914638953431,"Swanton"
"23",2006,2,15.3284490303715,629.948743806158,"Swanton"
"24",2006,3,16.1689884663778,535.478530894054,"Swanton"
"25",2007,1,15.9821010340175,560.289425311656,"Swanton"
"26",2007,2,15.7420103982663,586.276473758677,"Swanton"
"27",2007,3,16.2254180507776,528.862799639133,"Swanton"
"28",2008,1,16.1830451974141,539.589426568257,"Swanton"
"29",2008,2,16.1211860897789,544.306049171767,"Swanton"
"30",2008,3,16.3845284184589,509.866523993017,"Swanton"
"31",2009,1,16.2688773118563,526.521903974193,"Swanton"
"32",2009,2,16.0441664605,546.51938913578,"Swanton"
"33",2009,3,16.220117165136,529.472989527406,"Swanton"
"34",2010,1,16.2936750928576,520.866523611359,"Swanton"
"35",2010,2,15.4379568186884,614.120605493884,"Swanton"
"36",2010,3,16.259122334832,523.59720946718,"Swanton"
"37",2011,1,15.6312154280726,598.560146989994,"Swanton"
"38",2011,2,15.8123286905809,581.34245353334,"Swanton"
"39",2011,3,15.9428918867327,560.190739972603,"Swanton"
"40",2012,1,15.8016584643461,590.66521043231,"Swanton"
"41",2012,2,15.3466961210921,625.299450810652,"Swanton"
"42",2012,3,15.6800336673699,593.658595651738,"Swanton"
