"","year","plot","CTI","CPI","Site"
"1",2006,1,15.5931178527938,628.457464572142,"McL Serp"
"2",2006,2,15.7908804991891,612.925865285676,"McL Serp"
"3",2006,3,15.7065543020112,606.0838251068,"McL Serp"
"4",2006,4,15.9017979667365,577.908575509467,"McL Serp"
"5",2006,5,15.8590839195672,585.699314348823,"McL Serp"
"6",2006,6,15.5252233966483,597.039065468041,"McL Serp"
"7",2006,7,16.234768949898,619.771307429743,"McL Serp"
"8",2006,8,15.580345597647,635.069527523858,"McL Serp"
"9",2006,9,16.0799783626147,577.183521342744,"McL Serp"
"10",2006,10,15.8101608671354,609.89471887496,"McL Serp"
"11",2006,11,15.8023342240946,615.23041785101,"McL Serp"
"12",2006,12,15.8796829662809,613.078827633675,"McL Serp"
"13",2006,13,15.3854465308927,666.390769513775,"McL Serp"
"14",2006,14,15.0140991292427,676.427227372983,"McL Serp"
"15",2006,15,15.4141404164509,654.059653733837,"McL Serp"
"16",2006,16,15.9654198157585,570.326138559737,"McL Serp"
"17",2006,18,16.1598186084556,562.005242899837,"McL Serp"
"18",2006,19,15.6376229837376,614.483848275356,"McL Serp"
"19",2006,20,16.1126187353517,581.634039694353,"McL Serp"
"20",2006,21,16.1108421512856,559.237816816452,"McL Serp"
"21",2006,22,15.6508474483257,644.797516478157,"McL Serp"
"22",2006,23,15.8460132657567,604.480454006544,"McL Serp"
"23",2006,24,15.8344823777662,613.166708627792,"McL Serp"
"24",2006,26,15.9464090255177,578.544794938641,"McL Serp"
"25",2006,27,15.7590420157684,603.275265812362,"McL Serp"
"26",2006,28,15.9279566057706,584.795365395217,"McL Serp"
"27",2006,29,15.2901438761773,635.084040475889,"McL Serp"
"28",2006,30,15.458104273877,652.341069748741,"McL Serp"
"29",2006,31,15.7442713139825,584.914380910829,"McL Serp"
"30",2006,32,16.342956671694,536.864668055466,"McL Serp"
"31",2006,33,15.1976338069181,671.179172324917,"McL Serp"
"32",2006,44,16.0449078522764,567.767052033619,"McL Serp"
"33",2006,45,16.3222835450277,543.331394770198,"McL Serp"
"34",2006,46,16.1723124763662,555.737440364319,"McL Serp"
"35",2006,47,15.9339719001409,570.573453213367,"McL Serp"
"36",2006,48,15.8247051952638,591.21828834964,"McL Serp"
"37",2006,49,16.1833884418199,573.20130449166,"McL Serp"
"38",2006,55,15.5541736139678,628.288231121068,"McL Serp"
"39",2007,1,15.5826380586457,632.530580296424,"McL Serp"
"40",2007,2,15.5886724292168,636.9709012557,"McL Serp"
"41",2007,3,15.8904061982559,592.557544265852,"McL Serp"
"42",2007,4,16.0264755420231,571.191650361631,"McL Serp"
"43",2007,5,16.0048472621523,563.305499360058,"McL Serp"
"44",2007,6,15.3825248834156,598.875933519269,"McL Serp"
"45",2007,7,15.8519529198875,641.356245796316,"McL Serp"
"46",2007,8,15.2585728407897,660.910374860618,"McL Serp"
"47",2007,9,15.8788224982855,596.242988971042,"McL Serp"
"48",2007,10,16.026193409898,587.180480192194,"McL Serp"
"49",2007,11,15.7430786868965,613.797747447528,"McL Serp"
"50",2007,12,15.8089502313825,622.709433387962,"McL Serp"
"51",2007,13,15.1390446872356,690.672864594096,"McL Serp"
"52",2007,14,14.6813516608017,677.75429479887,"McL Serp"
"53",2007,15,15.235819507137,662.572269594169,"McL Serp"
"54",2007,16,15.9180265028017,591.688724667326,"McL Serp"
"55",2007,18,16.3017015723656,550.926781904566,"McL Serp"
"56",2007,19,15.6501276053115,605.323844963431,"McL Serp"
"57",2007,20,15.935059236437,607.355851045106,"McL Serp"
"58",2007,21,16.1277123637103,556.13034874723,"McL Serp"
"59",2007,22,15.6335521152967,635.496238862122,"McL Serp"
"60",2007,23,15.7709367693785,597.628557959088,"McL Serp"
"61",2007,24,15.608552976989,626.800535996674,"McL Serp"
"62",2007,26,16.1101016171243,556.182706720998,"McL Serp"
"63",2007,27,15.9176309239402,573.289262391653,"McL Serp"
"64",2007,28,16.1143167524842,570.120067343265,"McL Serp"
"65",2007,29,15.272994024774,670.039973675148,"McL Serp"
"66",2007,30,15.2722717200799,658.931082173083,"McL Serp"
"67",2007,31,15.8504107021939,566.450657777146,"McL Serp"
"68",2007,32,16.3153944284711,517.720112255221,"McL Serp"
"69",2007,33,15.1896979346593,676.259732631178,"McL Serp"
"70",2007,44,16.0173702999494,568.510184564154,"McL Serp"
"71",2007,45,16.3268921946307,524.299235258082,"McL Serp"
"72",2007,46,16.3534750173734,516.420263744636,"McL Serp"
"73",2007,47,16.027861463557,562.392547816588,"McL Serp"
"74",2007,48,16.0015222643494,563.23717542924,"McL Serp"
"75",2007,49,16.1065619259064,551.21878550864,"McL Serp"
"76",2007,55,15.4781936960966,668.317201010863,"McL Serp"
"77",2008,1,15.8616011116997,591.117933374407,"McL Serp"
"78",2008,2,15.6778933861807,609.513306625608,"McL Serp"
"79",2008,3,16.186036428998,554.204951810839,"McL Serp"
"80",2008,4,16.2476762514836,551.131206253632,"McL Serp"
"81",2008,5,16.2496232442379,542.476839889848,"McL Serp"
"82",2008,6,15.7560406897844,579.736594521553,"McL Serp"
"83",2008,7,16.1981748011989,689.808801162611,"McL Serp"
"84",2008,8,14.8306723809903,723.14669439849,"McL Serp"
"85",2008,9,16.1694087129565,586.652271171422,"McL Serp"
"86",2008,10,15.9095978098341,583.382446618362,"McL Serp"
"87",2008,11,15.7376900096556,600.775656133065,"McL Serp"
"88",2008,12,15.8457746009472,618.366033370254,"McL Serp"
"89",2008,13,14.7781069095517,765.91683022576,"McL Serp"
"90",2008,14,14.7136207646586,662.603640092252,"McL Serp"
