"","site","year","plot","guild","meanrich"
"95","Angelo",2004,"6","Forbs",8
"96","Angelo",2004,"6","Grasses",5
"97","Angelo",2004,"6","Nat",7
"98","Angelo",2004,"6","NatAnns",5
"99","Angelo",2004,"6","NatPers",2
"100","Angelo",2004,"17","All",12
"101","Angelo",2004,"17","Exo",7
"102","Angelo",2004,"17","ExoAnns",6
"103","Angelo",2004,"17","ExoPers",1
"104","Angelo",2004,"17","Forbs",7
"105","Angelo",2004,"17","Grasses",5
"106","Angelo",2004,"17","Nat",5
"107","Angelo",2004,"17","NatAnns",3
"108","Angelo",2004,"17","NatPers",2
"109","Angelo",2004,"24","All",15
"110","Angelo",2004,"24","Exo",9
"111","Angelo",2004,"24","ExoAnns",7
"112","Angelo",2004,"24","ExoPers",2
"113","Angelo",2004,"24","Forbs",9
"114","Angelo",2004,"24","Grasses",6
"115","Angelo",2004,"24","Nat",6
"116","Angelo",2004,"24","NatAnns",4
"117","Angelo",2004,"24","NatPers",2
"118","Angelo",2004,"28","All",9
"119","Angelo",2004,"28","Exo",7
"120","Angelo",2004,"28","ExoAnns",6
"121","Angelo",2004,"28","ExoPers",1
"122","Angelo",2004,"28","Forbs",6
"123","Angelo",2004,"28","Grasses",3
"124","Angelo",2004,"28","Nat",2
"125","Angelo",2004,"28","NatAnns",1
"126","Angelo",2004,"28","NatPers",1
"127","Angelo",2004,"33","All",12
"128","Angelo",2004,"33","Exo",7
"129","Angelo",2004,"33","ExoAnns",6
"130","Angelo",2004,"33","ExoPers",1
"131","Angelo",2004,"33","Forbs",8
"132","Angelo",2004,"33","Grasses",4
"133","Angelo",2004,"33","Nat",5
"134","Angelo",2004,"33","NatAnns",3
"135","Angelo",2004,"33","NatPers",2
"136","Angelo",2005,"6","All",11
"137","Angelo",2005,"6","Exo",8
"138","Angelo",2005,"6","ExoAnns",7
"139","Angelo",2005,"6","ExoPers",1
"140","Angelo",2005,"6","Forbs",5
"141","Angelo",2005,"6","Grasses",6
"142","Angelo",2005,"6","Nat",3
"143","Angelo",2005,"6","NatAnns",2
"144","Angelo",2005,"6","NatPers",1
"145","Angelo",2005,"17","All",13
"146","Angelo",2005,"17","Exo",7
"147","Angelo",2005,"17","ExoAnns",6
"148","Angelo",2005,"17","ExoPers",1
"149","Angelo",2005,"17","Forbs",8
"150","Angelo",2005,"17","Grasses",5
"151","Angelo",2005,"17","Nat",6
"152","Angelo",2005,"17","NatAnns",4
"153","Angelo",2005,"17","NatPers",2
"154","Angelo",2005,"24","All",14
"155","Angelo",2005,"24","Exo",7
"156","Angelo",2005,"24","ExoAnns",6
"157","Angelo",2005,"24","ExoPers",1
"158","Angelo",2005,"24","Forbs",9
"159","Angelo",2005,"24","Grasses",5
"160","Angelo",2005,"24","Nat",7
"161","Angelo",2005,"24","NatAnns",5
"162","Angelo",2005,"24","NatPers",2
"163","Angelo",2005,"28","All",10
"164","Angelo",2005,"28","Exo",7
"165","Angelo",2005,"28","ExoAnns",6
"166","Angelo",2005,"28","ExoPers",1
"167","Angelo",2005,"28","Forbs",6
"168","Angelo",2005,"28","Grasses",4
"169","Angelo",2005,"28","Nat",3
"170","Angelo",2005,"28","NatAnns",2
"171","Angelo",2005,"28","NatPers",1
"172","Angelo",2005,"33","All",13
"173","Angelo",2005,"33","Exo",8
"174","Angelo",2005,"33","ExoAnns",7
"175","Angelo",2005,"33","ExoPers",1
"176","Angelo",2005,"33","Forbs",8
"177","Angelo",2005,"33","Grasses",5
"178","Angelo",2005,"33","Nat",5
"179","Angelo",2005,"33","NatAnns",3
"180","Angelo",2005,"33","NatPers",2
"181","Angelo",2006,"6","All",10
"182","Angelo",2006,"6","Exo",7
"183","Angelo",2006,"6","ExoAnns",7
"184","Angelo",2006,"6","ExoPers",0
"185","Angelo",2006,"6","Forbs",2
"186","Angelo",2006,"6","Grasses",8
"187","Angelo",2006,"6","Nat",3
"188","Angelo",2006,"6","NatAnns",1
"189","Angelo",2006,"6","NatPers",2
"190","Angelo",2006,"17","All",6
"191","Angelo",2006,"17","Exo",3
"192","Angelo",2006,"17","ExoAnns",3
"193","Angelo",2006,"17","ExoPers",0
"194","Angelo",2006,"17","Forbs",3
"195","Angelo",2006,"17","Grasses",3
"196","Angelo",2006,"17","Nat",3
"197","Angelo",2006,"17","NatAnns",1
"198","Angelo",2006,"17","NatPers",2
"199","Angelo",2006,"24","All",8
"200","Angelo",2006,"24","Exo",5
"201","Angelo",2006,"24","ExoAnns",4
"202","Angelo",2006,"24","ExoPers",1
"203","Angelo",2006,"24","Forbs",4
"204","Angelo",2006,"24","Grasses",4
"205","Angelo",2006,"24","Nat",3
"206","Angelo",2006,"24","NatAnns",1
"207","Angelo",2006,"24","NatPers",2
"208","Angelo",2006,"28","All",5
"209","Angelo",2006,"28","Exo",5
"210","Angelo",2006,"28","ExoAnns",4
"211","Angelo",2006,"28","ExoPers",1
"212","Angelo",2006,"28","Forbs",2
"213","Angelo",2006,"28","Grasses",3
"214","Angelo",2006,"28","Nat",0
"215","Angelo",2006,"28","NatAnns",0
"216","Angelo",2006,"28","NatPers",0
"217","Angelo",2006,"33","All",8
"218","Angelo",2006,"33","Exo",5
"219","Angelo",2006,"33","ExoAnns",4
"220","Angelo",2006,"33","ExoPers",1
"221","Angelo",2006,"33","Forbs",4
"222","Angelo",2006,"33","Grasses",4
"223","Angelo",2006,"33","Nat",3
"224","Angelo",2006,"33","NatAnns",2
"225","Angelo",2006,"33","NatPers",1
"226","Angelo",2007,"6","All",10
"227","Angelo",2007,"6","Exo",5
"228","Angelo",2007,"6","ExoAnns",5
"229","Angelo",2007,"6","ExoPers",0
"230","Angelo",2007,"6","Forbs",5
"231","Angelo",2007,"6","Grasses",5
"232","Angelo",2007,"6","Nat",5
"233","Angelo",2007,"6","NatAnns",4
"234","Angelo",2007,"6","NatPers",1
"235","Angelo",2007,"17","All",14
"236","Angelo",2007,"17","Exo",8
"237","Angelo",2007,"17","ExoAnns",7
"238","Angelo",2007,"17","ExoPers",1
"239","Angelo",2007,"17","Forbs",9
"240","Angelo",2007,"17","Grasses",5
"241","Angelo",2007,"17","Nat",6
"242","Angelo",2007,"17","NatAnns",5
"243","Angelo",2007,"17","NatPers",1
"244","Angelo",2007,"24","All",12
"245","Angelo",2007,"24","Exo",6
"246","Angelo",2007,"24","ExoAnns",5
"247","Angelo",2007,"24","ExoPers",1
"248","Angelo",2007,"24","Forbs",9
"249","Angelo",2007,"24","Grasses",3
"250","Angelo",2007,"24","Nat",6
"251","Angelo",2007,"24","NatAnns",4
"252","Angelo",2007,"24","NatPers",2
"253","Angelo",2007,"28","All",13
"254","Angelo",2007,"28","Exo",7
"255","Angelo",2007,"28","ExoAnns",6
"256","Angelo",2007,"28","ExoPers",1
"257","Angelo",2007,"28","Forbs",9
"258","Angelo",2007,"28","Grasses",4
"259","Angelo",2007,"28","Nat",6
"260","Angelo",2007,"28","NatAnns",6
"261","Angelo",2007,"28","NatPers",0
"262","Angelo",2007,"33","All",13
"263","Angelo",2007,"33","Exo",7
"264","Angelo",2007,"33","ExoAnns",6
"265","Angelo",2007,"33","ExoPers",1
"266","Angelo",2007,"33","Forbs",9
"267","Angelo",2007,"33","Grasses",4
"268","Angelo",2007,"33","Nat",6
"269","Angelo",2007,"33","NatAnns",5
"270","Angelo",2007,"33","NatPers",1
"271","Angelo",2008,"6","All",15
"272","Angelo",2008,"6","Exo",8
"273","Angelo",2008,"6","ExoAnns",7
"274","Angelo",2008,"6","ExoPers",1
"275","Angelo",2008,"6","Forbs",9
"276","Angelo",2008,"6","Grasses",6
"277","Angelo",2008,"6","Nat",7
"278","Angelo",2008,"6","NatAnns",5
"279","Angelo",2008,"6","NatPers",2
"280","Angelo",2008,"17","All",19
"281","Angelo",2008,"17","Exo",10
"282","Angelo",2008,"17","ExoAnns",9
"283","Angelo",2008,"17","ExoPers",1
"284","Angelo",2008,"17","Forbs",13
"285","Angelo",2008,"17","Grasses",6
"286","Angelo",2008,"17","Nat",9
"287","Angelo",2008,"17","NatAnns",7
"288","Angelo",2008,"17","NatPers",2
"289","Angelo",2008,"24","All",17
"290","Angelo",2008,"24","Exo",10
"291","Angelo",2008,"24","ExoAnns",8
"292","Angelo",2008,"24","ExoPers",2
"293","Angelo",2008,"24","Forbs",12
"294","Angelo",2008,"24","Grasses",5
"295","Angelo",2008,"24","Nat",7
"296","Angelo",2008,"24","NatAnns",5
"297","Angelo",2008,"24","NatPers",2
"298","Angelo",2008,"28","All",11
"299","Angelo",2008,"28","Exo",6
"300","Angelo",2008,"28","ExoAnns",5
"301","Angelo",2008,"28","ExoPers",1
"302","Angelo",2008,"28","Forbs",8
"303","Angelo",2008,"28","Grasses",3
"304","Angelo",2008,"28","Nat",5
"305","Angelo",2008,"28","NatAnns",4
"306","Angelo",2008,"28","NatPers",1
"307","Angelo",2008,"33","All",14
"308","Angelo",2008,"33","Exo",9
"309","Angelo",2008,"33","ExoAnns",7
"310","Angelo",2008,"33","ExoPers",2
"311","Angelo",2008,"33","Forbs",9
"312","Angelo",2008,"33","Grasses",5
"313","Angelo",2008,"33","Nat",5
"314","Angelo",2008,"33","NatAnns",4
"315","Angelo",2008,"33","NatPers",1
"316","Angelo",2009,"6","All",14
"317","Angelo",2009,"6","Exo",7
"318","Angelo",2009,"6","ExoAnns",6
"319","Angelo",2009,"6","ExoPers",1
"320","Angelo",2009,"6","Forbs",9
"321","Angelo",2009,"6","Grasses",5
"322","Angelo",2009,"6","Nat",7
"323","Angelo",2009,"6","NatAnns",5
"324","Angelo",2009,"6","NatPers",2
"325","Angelo",2009,"17","All",16
"326","Angelo",2009,"17","Exo",8
"327","Angelo",2009,"17","ExoAnns",7
"328","Angelo",2009,"17","ExoPers",1
"329","Angelo",2009,"17","Forbs",12
"330","Angelo",2009,"17","Grasses",4
"331","Angelo",2009,"17","Nat",8
"332","Angelo",2009,"17","NatAnns",6
"333","Angelo",2009,"17","NatPers",2
"334","Angelo",2009,"24","All",14
"335","Angelo",2009,"24","Exo",7
"336","Angelo",2009,"24","ExoAnns",6
"337","Angelo",2009,"24","ExoPers",1
"338","Angelo",2009,"24","Forbs",10
"339","Angelo",2009,"24","Grasses",4
"340","Angelo",2009,"24","Nat",7
"341","Angelo",2009,"24","NatAnns",6
"342","Angelo",2009,"24","NatPers",1
"343","Angelo",2009,"28","All",12
"344","Angelo",2009,"28","Exo",7
"345","Angelo",2009,"28","ExoAnns",6
"346","Angelo",2009,"28","ExoPers",1
"347","Angelo",2009,"28","Forbs",9
"348","Angelo",2009,"28","Grasses",3
"349","Angelo",2009,"28","Nat",5
"350","Angelo",2009,"28","NatAnns",5
"351","Angelo",2009,"28","NatPers",0
"352","Angelo",2009,"33","All",15
"353","Angelo",2009,"33","Exo",7
"354","Angelo",2009,"33","ExoAnns",6
"355","Angelo",2009,"33","ExoPers",1
"356","Angelo",2009,"33","Forbs",11
"357","Angelo",2009,"33","Grasses",4
"358","Angelo",2009,"33","Nat",8
"359","Angelo",2009,"33","NatAnns",7
"360","Angelo",2009,"33","NatPers",1
"361","Angelo",2010,"6","All",20
"362","Angelo",2010,"6","Exo",8
"363","Angelo",2010,"6","ExoAnns",7
"364","Angelo",2010,"6","ExoPers",1
"365","Angelo",2010,"6","Forbs",14
"366","Angelo",2010,"6","Grasses",6
"367","Angelo",2010,"6","Nat",12
"368","Angelo",2010,"6","NatAnns",9
"369","Angelo",2010,"6","NatPers",3
"370","Angelo",2010,"17","All",20
"371","Angelo",2010,"17","Exo",11
"372","Angelo",2010,"17","ExoAnns",9
"373","Angelo",2010,"17","ExoPers",2
"374","Angelo",2010,"17","Forbs",14
"375","Angelo",2010,"17","Grasses",6
"376","Angelo",2010,"17","Nat",9
"377","Angelo",2010,"17","NatAnns",6
"378","Angelo",2010,"17","NatPers",3
"379","Angelo",2010,"24","All",20
"380","Angelo",2010,"24","Exo",10
"381","Angelo",2010,"24","ExoAnns",7
"382","Angelo",2010,"24","ExoPers",3
"383","Angelo",2010,"24","Forbs",15
"384","Angelo",2010,"24","Grasses",5
"385","Angelo",2010,"24","Nat",10
"386","Angelo",2010,"24","NatAnns",8
"387","Angelo",2010,"24","NatPers",2
"388","Angelo",2010,"28","All",20
"389","Angelo",2010,"28","Exo",9
"390","Angelo",2010,"28","ExoAnns",7
"391","Angelo",2010,"28","ExoPers",2
"392","Angelo",2010,"28","Forbs",16
"393","Angelo",2010,"28","Grasses",4
"394","Angelo",2010,"28","Nat",11
"395","Angelo",2010,"28","NatAnns",9
"396","Angelo",2010,"28","NatPers",2
"397","Angelo",2010,"33","All",20
"398","Angelo",2010,"33","Exo",10
"399","Angelo",2010,"33","ExoAnns",8
"400","Angelo",2010,"33","ExoPers",2
"401","Angelo",2010,"33","Forbs",15
"402","Angelo",2010,"33","Grasses",5
"403","Angelo",2010,"33","Nat",10
"404","Angelo",2010,"33","NatAnns",8
"405","Angelo",2010,"33","NatPers",2
"406","Angelo",2011,"6","All",17
"407","Angelo",2011,"6","Exo",10
"408","Angelo",2011,"6","ExoAnns",8
"409","Angelo",2011,"6","ExoPers",2
"410","Angelo",2011,"6","Forbs",11
"411","Angelo",2011,"6","Grasses",6
"412","Angelo",2011,"6","Nat",7
"413","Angelo",2011,"6","NatAnns",4
"414","Angelo",2011,"6","NatPers",3
"415","Angelo",2011,"17","All",14
"416","Angelo",2011,"17","Exo",9
"417","Angelo",2011,"17","ExoAnns",7
"418","Angelo",2011,"17","ExoPers",2
"419","Angelo",2011,"17","Forbs",10
"420","Angelo",2011,"17","Grasses",4
"421","Angelo",2011,"17","Nat",5
"422","Angelo",2011,"17","NatAnns",3
"423","Angelo",2011,"17","NatPers",2
"424","Angelo",2011,"24","All",14
"425","Angelo",2011,"24","Exo",10
"426","Angelo",2011,"24","ExoAnns",8
"427","Angelo",2011,"24","ExoPers",2
"428","Angelo",2011,"24","Forbs",9
"429","Angelo",2011,"24","Grasses",5
"430","Angelo",2011,"24","Nat",4
"431","Angelo",2011,"24","NatAnns",2
"432","Angelo",2011,"24","NatPers",2
"433","Angelo",2011,"28","All",14
"434","Angelo",2011,"28","Exo",8
"435","Angelo",2011,"28","ExoAnns",6
"436","Angelo",2011,"28","ExoPers",2
"437","Angelo",2011,"28","Forbs",11
"438","Angelo",2011,"28","Grasses",3
"439","Angelo",2011,"28","Nat",6
"440","Angelo",2011,"28","NatAnns",4
"441","Angelo",2011,"28","NatPers",2
"442","Angelo",2011,"33","All",13
"443","Angelo",2011,"33","Exo",9
"444","Angelo",2011,"33","ExoAnns",7
"445","Angelo",2011,"33","ExoPers",2
"446","Angelo",2011,"33","Forbs",8
"447","Angelo",2011,"33","Grasses",5
"448","Angelo",2011,"33","Nat",4
"449","Angelo",2011,"33","NatAnns",3
"450","Angelo",2011,"33","NatPers",1
"451","Angelo",2012,"6","All",11
"452","Angelo",2012,"6","Exo",7
"453","Angelo",2012,"6","ExoAnns",6
"454","Angelo",2012,"6","ExoPers",1
"455","Angelo",2012,"6","Forbs",6
"456","Angelo",2012,"6","Grasses",5
"457","Angelo",2012,"6","Nat",4
"458","Angelo",2012,"6","NatAnns",2
"459","Angelo",2012,"6","NatPers",2
"460","Angelo",2012,"17","All",9
"461","Angelo",2012,"17","Exo",7
"462","Angelo",2012,"17","ExoAnns",5
"463","Angelo",2012,"17","ExoPers",2
"464","Angelo",2012,"17","Forbs",5
"465","Angelo",2012,"17","Grasses",4
"466","Angelo",2012,"17","Nat",2
"467","Angelo",2012,"17","NatAnns",1
"468","Angelo",2012,"17","NatPers",1
"469","Angelo",2012,"24","All",7
"470","Angelo",2012,"24","Exo",5
"471","Angelo",2012,"24","ExoAnns",3
"472","Angelo",2012,"24","ExoPers",2
"473","Angelo",2012,"24","Forbs",4
"474","Angelo",2012,"24","Grasses",3
"475","Angelo",2012,"24","Nat",2
"476","Angelo",2012,"24","NatAnns",1
"477","Angelo",2012,"24","NatPers",1
"478","Angelo",2012,"28","All",10
"479","Angelo",2012,"28","Exo",6
"480","Angelo",2012,"28","ExoAnns",5
"481","Angelo",2012,"28","ExoPers",1
"482","Angelo",2012,"28","Forbs",7
"483","Angelo",2012,"28","Grasses",3
"484","Angelo",2012,"28","Nat",4
"485","Angelo",2012,"28","NatAnns",3
"486","Angelo",2012,"28","NatPers",1
"487","Angelo",2012,"33","All",10
"488","Angelo",2012,"33","Exo",8
"489","Angelo",2012,"33","ExoAnns",5
"490","Angelo",2012,"33","ExoPers",3
"491","Angelo",2012,"33","Forbs",6
"492","Angelo",2012,"33","Grasses",4
"493","Angelo",2012,"33","Nat",2
"494","Angelo",2012,"33","NatAnns",1
"495","Angelo",2012,"33","NatPers",1
"496","Angelo",2013,"6","All",19
"497","Angelo",2013,"6","Exo",10
"498","Angelo",2013,"6","ExoAnns",8
"499","Angelo",2013,"6","ExoPers",2
"500","Angelo",2013,"6","Forbs",13
"501","Angelo",2013,"6","Grasses",6
"502","Angelo",2013,"6","Nat",9
"503","Angelo",2013,"6","NatAnns",6
"504","Angelo",2013,"6","NatPers",3
"505","Angelo",2013,"17","All",19
"506","Angelo",2013,"17","Exo",11
"507","Angelo",2013,"17","ExoAnns",9
"508","Angelo",2013,"17","ExoPers",2
"509","Angelo",2013,"17","Forbs",13
"510","Angelo",2013,"17","Grasses",6
"511","Angelo",2013,"17","Nat",8
"512","Angelo",2013,"17","NatAnns",6
"513","Angelo",2013,"17","NatPers",2
"514","Angelo",2013,"24","All",15
"515","Angelo",2013,"24","Exo",9
"516","Angelo",2013,"24","ExoAnns",7
"517","Angelo",2013,"24","ExoPers",2
"518","Angelo",2013,"24","Forbs",11
"519","Angelo",2013,"24","Grasses",4
"520","Angelo",2013,"24","Nat",6
"521","Angelo",2013,"24","NatAnns",5
"522","Angelo",2013,"24","NatPers",1
"523","Angelo",2013,"28","All",14
"524","Angelo",2013,"28","Exo",8
"525","Angelo",2013,"28","ExoAnns",6
"526","Angelo",2013,"28","ExoPers",2
"527","Angelo",2013,"28","Forbs",11
"528","Angelo",2013,"28","Grasses",3
"529","Angelo",2013,"28","Nat",6
"530","Angelo",2013,"28","NatAnns",5
"531","Angelo",2013,"28","NatPers",1
"532","Angelo",2013,"33","All",15
"533","Angelo",2013,"33","Exo",9
"534","Angelo",2013,"33","ExoAnns",7
"535","Angelo",2013,"33","ExoPers",2
"536","Angelo",2013,"33","Forbs",10
"537","Angelo",2013,"33","Grasses",5
"538","Angelo",2013,"33","Nat",6
"539","Angelo",2013,"33","NatAnns",5
"540","Angelo",2013,"33","NatPers",1
"541","Angelo",2014,"6","All",17
"542","Angelo",2014,"6","Exo",10
"543","Angelo",2014,"6","ExoAnns",9
"544","Angelo",2014,"6","ExoPers",1
"545","Angelo",2014,"6","Forbs",11
"546","Angelo",2014,"6","Grasses",6
"547","Angelo",2014,"6","Nat",7
"548","Angelo",2014,"6","NatAnns",5
"549","Angelo",2014,"6","NatPers",2
"550","Angelo",2014,"17","All",15
"551","Angelo",2014,"17","Exo",8
"552","Angelo",2014,"17","ExoAnns",6
"553","Angelo",2014,"17","ExoPers",2
"554","Angelo",2014,"17","Forbs",12
"555","Angelo",2014,"17","Grasses",3
"556","Angelo",2014,"17","Nat",7
"557","Angelo",2014,"17","NatAnns",5
"558","Angelo",2014,"17","NatPers",2
"559","Angelo",2014,"24","All",12
"560","Angelo",2014,"24","Exo",7
"561","Angelo",2014,"24","ExoAnns",5
"562","Angelo",2014,"24","ExoPers",2
"563","Angelo",2014,"24","Forbs",9
"564","Angelo",2014,"24","Grasses",3
"565","Angelo",2014,"24","Nat",5
"566","Angelo",2014,"24","NatAnns",4
"567","Angelo",2014,"24","NatPers",1
"568","Angelo",2014,"28","All",11
"569","Angelo",2014,"28","Exo",5
"570","Angelo",2014,"28","ExoAnns",4
"571","Angelo",2014,"28","ExoPers",1
"572","Angelo",2014,"28","Forbs",10
"573","Angelo",2014,"28","Grasses",1
"574","Angelo",2014,"28","Nat",6
"575","Angelo",2014,"28","NatAnns",5
"576","Angelo",2014,"28","NatPers",1
"577","Angelo",2014,"33","All",13
"578","Angelo",2014,"33","Exo",6
"579","Angelo",2014,"33","ExoAnns",4
"580","Angelo",2014,"33","ExoPers",2
"581","Angelo",2014,"33","Forbs",12
"582","Angelo",2014,"33","Grasses",1
"583","Angelo",2014,"33","Nat",7
"584","Angelo",2014,"33","NatAnns",5
"585","Angelo",2014,"33","NatPers",2
"586","Angelo",2015,"6","All",17
"587","Angelo",2015,"6","Exo",8
"588","Angelo",2015,"6","ExoAnns",6
"589","Angelo",2015,"6","ExoPers",2
"590","Angelo",2015,"6","Forbs",12
"591","Angelo",2015,"6","Grasses",5
"592","Angelo",2015,"6","Nat",9
"593","Angelo",2015,"6","NatAnns",7
"594","Angelo",2015,"6","NatPers",2
"595","Angelo",2015,"17","All",16
"596","Angelo",2015,"17","Exo",8
"597","Angelo",2015,"17","ExoAnns",6
"598","Angelo",2015,"17","ExoPers",2
"599","Angelo",2015,"17","Forbs",12
"600","Angelo",2015,"17","Grasses",4
"601","Angelo",2015,"17","Nat",8
"602","Angelo",2015,"17","NatAnns",6
"603","Angelo",2015,"17","NatPers",2
"604","Angelo",2015,"24","All",15
"605","Angelo",2015,"24","Exo",8
"606","Angelo",2015,"24","ExoAnns",6
"607","Angelo",2015,"24","ExoPers",2
"608","Angelo",2015,"24","Forbs",11
"609","Angelo",2015,"24","Grasses",4
"610","Angelo",2015,"24","Nat",7
"611","Angelo",2015,"24","NatAnns",6
"612","Angelo",2015,"24","NatPers",1
"613","Angelo",2015,"28","All",15
"614","Angelo",2015,"28","Exo",7
"615","Angelo",2015,"28","ExoAnns",6
"616","Angelo",2015,"28","ExoPers",1
"617","Angelo",2015,"28","Forbs",11
"618","Angelo",2015,"28","Grasses",4
"619","Angelo",2015,"28","Nat",8
"620","Angelo",2015,"28","NatAnns",7
"621","Angelo",2015,"28","NatPers",1
"622","Angelo",2015,"33","All",15
"623","Angelo",2015,"33","Exo",8
"624","Angelo",2015,"33","ExoAnns",6
"625","Angelo",2015,"33","ExoPers",2
"626","Angelo",2015,"33","Forbs",10
"627","Angelo",2015,"33","Grasses",5
"628","Angelo",2015,"33","Nat",7
"629","Angelo",2015,"33","NatAnns",5
"630","Angelo",2015,"33","NatPers",2
"631","Carrizo",2007,"EP1","All",10
"632","Carrizo",2007,"EP1","Exo",6
"633","Carrizo",2007,"EP1","ExoAnns",6
"634","Carrizo",2007,"EP1","ExoPers",0
"635","Carrizo",2007,"EP1","Forbs",3
"636","Carrizo",2007,"EP1","Grasses",7
"637","Carrizo",2007,"EP1","Nat",4
"638","Carrizo",2007,"EP1","NatAnns",2
"639","Carrizo",2007,"EP1","NatPers",2
"640","Carrizo",2007,"EP10","All",13
"641","Carrizo",2007,"EP10","Exo",4
"642","Carrizo",2007,"EP10","ExoAnns",4
"643","Carrizo",2007,"EP10","ExoPers",0
"644","Carrizo",2007,"EP10","Forbs",9
"645","Carrizo",2007,"EP10","Grasses",4
"646","Carrizo",2007,"EP10","Nat",9
"647","Carrizo",2007,"EP10","NatAnns",9
"648","Carrizo",2007,"EP10","NatPers",0
"649","Carrizo",2007,"EP2","All",12
"650","Carrizo",2007,"EP2","Exo",5
"651","Carrizo",2007,"EP2","ExoAnns",5
"652","Carrizo",2007,"EP2","ExoPers",0
"653","Carrizo",2007,"EP2","Forbs",7
"654","Carrizo",2007,"EP2","Grasses",5
"655","Carrizo",2007,"EP2","Nat",7
"656","Carrizo",2007,"EP2","NatAnns",6
"657","Carrizo",2007,"EP2","NatPers",1
"658","Carrizo",2007,"EP3","All",13
"659","Carrizo",2007,"EP3","Exo",6
"660","Carrizo",2007,"EP3","ExoAnns",6
"661","Carrizo",2007,"EP3","ExoPers",0
"662","Carrizo",2007,"EP3","Forbs",8
"663","Carrizo",2007,"EP3","Grasses",5
