"","site","year","plot","guild","meanrich"
"1","Angelo",2002,"6","All",12
"2","Angelo",2002,"6","Exo",6
"3","Angelo",2002,"6","ExoAnns",5
"4","Angelo",2002,"6","ExoPers",1
"5","Angelo",2002,"6","Forbs",7
"6","Angelo",2002,"6","Grasses",5
"7","Angelo",2002,"6","Nat",6
"8","Angelo",2002,"6","NatAnns",6
"9","Angelo",2002,"6","NatPers",0
"10","Angelo",2002,"17","All",14
"11","Angelo",2002,"17","Exo",8
"12","Angelo",2002,"17","ExoAnns",7
"13","Angelo",2002,"17","ExoPers",1
"14","Angelo",2002,"17","Forbs",8
"15","Angelo",2002,"17","Grasses",6
"16","Angelo",2002,"17","Nat",6
"17","Angelo",2002,"17","NatAnns",5
"18","Angelo",2002,"17","NatPers",1
"19","Angelo",2002,"24","All",16
"20","Angelo",2002,"24","Exo",8
"21","Angelo",2002,"24","ExoAnns",7
"22","Angelo",2002,"24","ExoPers",1
"23","Angelo",2002,"24","Forbs",10
"24","Angelo",2002,"24","Grasses",6
"25","Angelo",2002,"24","Nat",8
"26","Angelo",2002,"24","NatAnns",6
"27","Angelo",2002,"24","NatPers",2
"28","Angelo",2002,"28","All",12
"29","Angelo",2002,"28","Exo",6
"30","Angelo",2002,"28","ExoAnns",5
"31","Angelo",2002,"28","ExoPers",1
"32","Angelo",2002,"28","Forbs",9
"33","Angelo",2002,"28","Grasses",3
"34","Angelo",2002,"28","Nat",6
"35","Angelo",2002,"28","NatAnns",5
"36","Angelo",2002,"28","NatPers",1
"37","Angelo",2002,"33","All",10
"38","Angelo",2002,"33","Exo",7
"39","Angelo",2002,"33","ExoAnns",5
"40","Angelo",2002,"33","ExoPers",2
"41","Angelo",2002,"33","Forbs",7
"42","Angelo",2002,"33","Grasses",3
"43","Angelo",2002,"33","Nat",3
"44","Angelo",2002,"33","NatAnns",2
"45","Angelo",2002,"33","NatPers",1
"46","Angelo",2003,"6","All",14
"47","Angelo",2003,"6","Exo",8
"48","Angelo",2003,"6","ExoAnns",7
"49","Angelo",2003,"6","ExoPers",1
"50","Angelo",2003,"6","Forbs",7
"51","Angelo",2003,"6","Grasses",7
"52","Angelo",2003,"6","Nat",6
"53","Angelo",2003,"6","NatAnns",4
"54","Angelo",2003,"6","NatPers",2
"55","Angelo",2003,"17","All",14
"56","Angelo",2003,"17","Exo",7
"57","Angelo",2003,"17","ExoAnns",6
"58","Angelo",2003,"17","ExoPers",1
"59","Angelo",2003,"17","Forbs",9
"60","Angelo",2003,"17","Grasses",5
"61","Angelo",2003,"17","Nat",7
"62","Angelo",2003,"17","NatAnns",5
"63","Angelo",2003,"17","NatPers",2
"64","Angelo",2003,"24","All",11
"65","Angelo",2003,"24","Exo",7
"66","Angelo",2003,"24","ExoAnns",6
"67","Angelo",2003,"24","ExoPers",1
"68","Angelo",2003,"24","Forbs",7
"69","Angelo",2003,"24","Grasses",4
"70","Angelo",2003,"24","Nat",4
"71","Angelo",2003,"24","NatAnns",3
"72","Angelo",2003,"24","NatPers",1
"73","Angelo",2003,"28","All",11
"74","Angelo",2003,"28","Exo",8
"75","Angelo",2003,"28","ExoAnns",7
"76","Angelo",2003,"28","ExoPers",1
"77","Angelo",2003,"28","Forbs",7
"78","Angelo",2003,"28","Grasses",4
"79","Angelo",2003,"28","Nat",3
"80","Angelo",2003,"28","NatAnns",3
"81","Angelo",2003,"28","NatPers",0
"82","Angelo",2003,"33","All",14
"83","Angelo",2003,"33","Exo",7
"84","Angelo",2003,"33","ExoAnns",6
"85","Angelo",2003,"33","ExoPers",1
"86","Angelo",2003,"33","Forbs",10
"87","Angelo",2003,"33","Grasses",4
"88","Angelo",2003,"33","Nat",7
"89","Angelo",2003,"33","NatAnns",6
"90","Angelo",2003,"33","NatPers",1
"91","Angelo",2004,"6","All",13
"92","Angelo",2004,"6","Exo",6
"93","Angelo",2004,"6","ExoAnns",5
"94","Angelo",2004,"6","ExoPers",1
